era,tr_category,n_total,n_malignant,rom_pct,tp_thr3,fp_thr3,tp_thr4,fp_thr4,tp_thr5,fp_thr5,lo_95,hi_95
post_2017,TR1,271,79.0,29.15,0.0,0.0,0.0,0.0,0.0,0.0,24.06,34.82
post_2017,TR2,228,72.0,31.58,0.0,0.0,0.0,0.0,0.0,0.0,25.89,37.88
post_2017,TR3,740,207.0,27.97,207.0,533.0,0.0,0.0,0.0,0.0,24.86,31.31
post_2017,TR4,440,212.0,48.18,212.0,228.0,212.0,228.0,0.0,0.0,43.55,52.85
post_2017,TR5,1274,740.0,58.08,740.0,534.0,740.0,534.0,740.0,534.0,55.35,60.77
post_2017,,2953,1310.0,44.36,1159.0,1295.0,952.0,762.0,740.0,534.0,42.58,46.16
pre_2017,TR1,69,17.0,24.64,0.0,0.0,0.0,0.0,0.0,0.0,15.99,35.96
pre_2017,TR2,71,24.0,33.8,0.0,0.0,0.0,0.0,0.0,0.0,23.88,45.38
pre_2017,TR3,105,26.0,24.76,26.0,79.0,0.0,0.0,0.0,0.0,17.49,33.81
pre_2017,TR4,52,21.0,40.38,21.0,31.0,21.0,31.0,0.0,0.0,28.16,53.93
pre_2017,TR5,125,81.0,64.8,81.0,44.0,81.0,44.0,81.0,44.0,56.1,72.62
pre_2017,,422,169.0,40.05,128.0,154.0,102.0,75.0,81.0,44.0,35.48,44.79
