schema,table,n_rows,n_cols
archive_legacy,__view_ddl_preservation_v1,44,8
archive_legacy,canonical_patient_master_v1_pre265_20260417T033947Z,10871,1374
archive_legacy,main__analysis_cancer_cohort_v1_20260417T073708Z,4136,137
archive_legacy,main__analysis_recurrence_subset_v1_20260417T073708Z,1946,133
archive_legacy,main__analysis_tirads_subset_v1_20260417T073708Z,3474,131
archive_legacy,main__data_dictionary_v221_20260417T073708Z,1374,8
archive_legacy,main__duckdb_columns_20260417T073708Z_view_materialized,51690,18
archive_legacy,main__duckdb_constraints_20260417T073708Z_view_materialized,22,15
archive_legacy,main__duckdb_databases_20260417T073708Z_view_materialized,4,8
archive_legacy,main__duckdb_indexes_20260417T073708Z_view_materialized,0,14
archive_legacy,main__duckdb_schemas_20260417T073708Z_view_materialized,6,8
archive_legacy,main__duckdb_tables_20260417T073708Z_view_materialized,536,16
archive_legacy,main__duckdb_types_20260417T073708Z_view_materialized,439,13
archive_legacy,main__duckdb_views_20260417T073708Z_view_materialized,125,12
archive_legacy,main__episode_completeness_summary_v_20260417T073708Z_view_materialized,4,3
archive_legacy,main__event_date_audit_v2_20260417T073708Z,61055,8
archive_legacy,main__fna_molecular_linkage_v3_20260417T073708Z,809,15
archive_legacy,main__gold_master_episode_events_v1_20260417T073708Z_view_materialized,9368,46
archive_legacy,main__gold_master_patient_facts_v1_20260417T073708Z_view_materialized,10871,146
archive_legacy,main__imaging_fna_linkage_mm_v1_20260417T073708Z,7305,24
archive_legacy,main__linkage_ambiguity_review_v1_20260417T073708Z,5593,10
archive_legacy,main__linkage_master_v1_20260417T073708Z,11506,6
archive_legacy,main__linkage_summary_v3_20260417T073708Z,5,12
archive_legacy,main__linkage_summary_v_20260417T073708Z_view_materialized,10871,5
archive_legacy,main__ln_x_marker_audit_v1_20260417T073708Z,53,9
archive_legacy,main__md_extracted_fna_bethesda_v1_20260417T073708Z,5249,15
archive_legacy,main__md_path_synoptics_encounter_qc_v1_20260417T073708Z,11688,274
archive_legacy,main__md_synoptic_tumor_long_v1_20260417T073708Z,11103,22
archive_legacy,main__md_val_path_synoptic_encounter_isolation_v1_20260417T073708Z,3,8
archive_legacy,main__molecular_normalization_review_v1_20260417T073708Z_view_materialized,116,27
archive_legacy,main__molecular_qc_summary_v_20260417T073708Z_view_materialized,2,8
archive_legacy,main__molecular_results_contract_v1_20260417T073708Z_view_materialized,10861,27
archive_legacy,main__molecular_results_contract_v_20260417T073708Z_view_materialized,10861,27
archive_legacy,main__molecular_results_enriched_v1_20260417T073708Z_view_materialized,10861,28
archive_legacy,main__molecular_variant_long_contract_v1_20260417T073708Z_view_materialized,1640,22
archive_legacy,main__note_extraction_runs_20260417T073708Z,3,14
archive_legacy,main__notes_entity_summary_20260417T073708Z_view_materialized,5272,11
archive_legacy,main__path_synoptics_encounter_qc_v1_20260417T073708Z_view_materialized,11688,274
archive_legacy,main__pathology_rai_linkage_v3_20260417T073708Z,23,15
archive_legacy,main__patient_refined_master_clinical_v12_20260417T073708Z,12886,272
archive_legacy,main__pragma_database_list_20260417T073708Z_view_materialized,4,3
archive_legacy,main__preop_surgery_linkage_v3_20260417T073708Z,3554,16
archive_legacy,main__rai_dose_recovery_v1_20260417T073708Z,4,15
archive_legacy,main__raw_imaging_12_slots_v1_20260417T073708Z,21079,16
archive_legacy,main__raw_us_tirads_excel_v1_20260417T073708Z,19891,40
archive_legacy,main__raw_us_tirads_scored_v1_20260417T073708Z,19549,10
archive_legacy,main__sqlite_master_20260417T073708Z_view_materialized,696,5
archive_legacy,main__sqlite_schema_20260417T073708Z_view_materialized,697,5
archive_legacy,main__sqlite_temp_master_20260417T073708Z_view_materialized,698,5
archive_legacy,main__sqlite_temp_schema_20260417T073708Z_view_materialized,699,5
archive_legacy,main__surgery_pathology_linkage_v3_20260417T073708Z,9409,16
archive_legacy,main__thyroid_scoring_py_v1_20260417T073708Z,10871,51
archive_legacy,main__v_canonical_us_nodule_scope_v1_20260417T073708Z_view_materialized,1,4
archive_legacy,main__v_imaging_nodule_tirads_gap_v1_20260417T073708Z_view_materialized,37016,7
