covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
"C(ete_group, Treatment(reference='Microscopic ETE'))[T.Gross ETE]",-0.09400208582074117,0.9102808635560813,0.32744186641525413,-0.7357763510252148,0.5477721793837323,0.47913333888681914,1.7293959390960676,0.0,-0.28708022846879916,0.7740508906797761,0.369499674101961
"C(ete_group, Treatment(reference='Microscopic ETE'))[T.No/negative ETE]",0.8933189158251463,2.443225068198415,0.6772654565193881,-0.43409698692593224,2.220734818576225,0.6478494195146004,9.214099070036475,0.0,1.319008532364995,0.18716625998772768,2.417607707698542
age10,-0.06527613766899926,0.936808739475723,0.08869690446882486,-0.23911887596808576,0.10856660063008725,0.7873212832297154,1.1146791443995985,0.0,-0.7359460632805114,0.4617635228405863,1.1147738834373482
"C(sex_lc, Treatment(reference='female'))[T.male]",0.2566489231553074,1.292591248233988,0.2660015037884544,-0.264704444103558,0.7780022904141728,0.7674327357304391,2.177118667502301,0.0,0.9648401212025294,0.33462489684103736,1.5793833057787146
tumor_size_cm,-0.03203566504921768,0.9684720408602409,0.07242011229141247,-0.1739764768967326,0.10990514679829724,0.8403166642816156,1.1161721929313881,0.0,-0.44235867683149743,0.658229676744901,0.6033370220447856
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.N1a]",-0.3691556932400442,0.6913177685676808,0.32557721482240154,-1.0072753084788115,0.26896392199872304,0.36521271713638886,1.308607928236294,0.0,-1.1338499023692865,0.2568575144361521,1.960959814150937
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.N1b]",-275.79780362649836,1.669305268165391e-120,13.06440333773149,-301.40356364795696,-250.19204360503977,1.2650144363680566e-131,2.202804962704766e-109,0.0,-21.1106314231713,6.351843715822425e-99,326.2037059777757
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.Nx]",-2.3788060651584098,0.09266114286021986,1.8400085688420869,-5.985156591333989,1.2275444610171693,0.0025158197320641275,3.4128388798022256,0.0,-1.292823362586505,0.19607215821969495,2.350543404079707
"C(histology_fac, Treatment(reference='PTC'))[T.FTC]",-0.19522346618547837,0.8226508028771761,0.5094466995782787,-1.1937206494017014,0.8032737170307447,0.3030914664962339,2.232838658566692,0.0,-0.3832068523499806,0.7015663976844336,0.511348444959567
"C(histology_fac, Treatment(reference='PTC'))[T.High-grade DTC]",-6.926443876079064,0.0009814849519229308,34.99694123415497,-75.51918826408755,61.66630051192942,1.5937979324195055e-33,6.0441332696973466e+26,0.0,-0.19791569296688308,0.8431110258271137,0.24620546862719586
"C(histology_fac, Treatment(reference='PTC'))[T.Metastatic-PTC]",1.5097597308643966,4.525643291271133,0.6846791160427655,0.16781332245385583,2.8517061392749374,1.1827158035545955,17.31730238005733,0.0,2.2050617515404047,0.02744976158969223,5.187062570776032
"C(histology_fac, Treatment(reference='PTC'))[T.Poorly-differentiated DTC]",4.413939586746681,82.59421045665907,0.41047430528631973,3.609424731806395,5.2184544416869665,36.944793535874794,184.6485782721904,0.0,10.753266477100944,5.7199382582573634e-27,87.17605898750523
"C(lvi_clean, Treatment(reference='missing'))[T.extensive]",5.1246264979237734,168.11133998977655,0.48234720329005765,4.179243351431641,6.070009644415906,65.31641294157042,432.6848545470469,0.0,10.624352049662654,2.2960104452461753e-26,85.17100126178666
"C(lvi_clean, Treatment(reference='missing'))[T.focal]",-9.596028892205643,6.799822934266519e-05,49.87824235348325,-107.35558751719316,88.16352973278188,2.3771727313346987e-47,1.945066562807834e+38,0.0,-0.192389074663043,0.8474374497066779,0.23882120962161837
"C(lvi_clean, Treatment(reference='missing'))[T.indeterminate]",-0.9907458632433445,0.37129964895671896,1.3752580802656789,-3.6862021700117698,1.704710443525081,0.025067021780694632,5.499792935974478,0.0,-0.7204072293485071,0.4712743001833367,1.0853610853121283
"C(lvi_clean, Treatment(reference='missing'))[T.present]",-1.298296251517488,0.2729965144346066,0.7802071583567526,-2.8274741823770615,0.2308816793420856,0.05916209777758018,1.2597101808936673,0.0,-1.6640404251762035,0.09610435110541203,3.3792544395655426
"C(vasc_clean, Treatment(reference='missing'))[T.extensive]",0.6089241462626034,1.8384524285149968,0.5464268913956737,-0.4620528810570965,1.6799011735823033,0.6299890245754654,5.365025738647318,0.0,1.1143744128465207,0.2651185955914953,1.9152902295605303
"C(vasc_clean, Treatment(reference='missing'))[T.focal]",-0.24780424473694612,0.7805127177967276,0.5978914983775391,-1.4196500482196108,0.9240415587457185,0.24179861995022572,2.5194523557158353,0.0,-0.4144635697436693,0.6785346416122111,0.5595056226384216
"C(vasc_clean, Treatment(reference='missing'))[T.indeterminate]",0.8010372979802025,2.2278506753432175,1.2897092417625906,-1.7267463664029365,3.3288209623633414,0.17786216787897835,27.905420758192886,0.0,0.6210991377292598,0.5345343965720899,0.9036453084620228
"C(vasc_clean, Treatment(reference='missing'))[T.present_ungraded]",0.3919370336127842,1.4798445280050387,0.5192433852172604,-0.6257613006237038,1.4096353678492721,0.5348540887333044,4.094462159301975,0.0,0.7548233540785328,0.4503549791478004,1.1508654828480134
