covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
"C(ete_group, Treatment(reference='Microscopic ETE'))[T.Gross ETE]",0.024873811532806454,1.0251857457439537,0.19118536070876962,-0.3498426098276812,0.39959023289329404,0.7047990094271923,1.4912135221795575,0.0,0.1301031179405856,0.8964848433300046,0.15764890291193132
"C(ete_group, Treatment(reference='Microscopic ETE'))[T.No/negative ETE]",-0.4346432773909358,0.6474956022062716,0.9297333693758413,-2.2568871965926594,1.387600641810788,0.10467581337860118,4.005228536988559,0.0,-0.4674923926660019,0.6401476335369112,0.6435234310101338
age10,-0.03684835925600748,0.9638222789955712,0.05951624916068464,-0.1534980641058616,0.07980134559384663,0.8577024246183169,1.0830718892996098,0.0,-0.6191310738773647,0.5358300140766238,0.9001527000700044
"C(sex_lc, Treatment(reference='female'))[T.male]",0.7575707594226667,2.1330881372389556,0.20334949694101712,0.35901306914393527,1.1561284497013982,1.431915515359345,3.1776071649644075,0.0,3.7254616845322475,0.00019495806570072143,12.324548537172339
tumor_size_cm,-0.00984014567704113,0.9902081101452836,0.052621223246771764,-0.11297584806315564,0.09329555670907339,0.8931722316948478,1.0977861453853235,0.0,-0.18699956158173894,0.8516609766894032,0.2316488482229202
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.N1a]",3.086836807352413,21.90767007744524,0.6489868130702547,1.8148460272932851,4.3588275874115405,6.1401306921150915,78.16543853675897,0.0,4.756393728170027,1.9708191204468676e-06,18.952773195788524
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.N1b]",3.4661951714430885,32.01469997194729,0.8553874850701075,1.7896665078793845,5.142723835006793,5.987455364206204,171.18140377647472,0.0,4.05219299082801,5.073978280604224e-05,14.266523130543758
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.Nx]",0.32150497813319817,1.3792018718596566,1.651919039291941,-2.916196844255013,3.559206800521409,0.05413919605625715,35.135316774275104,0.0,0.19462514232598485,0.8456864186987447,0.241805285033207
"C(histology_fac, Treatment(reference='PTC'))[T.FTC]",2.5106096237180178,12.31243372469729,0.22231716362542037,2.074875989867096,2.9463432575689397,7.963558835808774,19.036215761149354,0.0,11.292918561826001,1.4223386548682685e-29,95.82764974420927
"C(histology_fac, Treatment(reference='PTC'))[T.High-grade DTC]",-6.216431180358385,0.0019963571577365307,32.557141442144065,-70.02725584653719,57.59439348582042,3.8685588065632717e-31,1.0302136016348794e+25,0.0,-0.19093909676945517,0.8485733088426775,0.23688879430008042
"C(histology_fac, Treatment(reference='PTC'))[T.Metastatic-PTC]",-0.582445800445112,0.5585306401659619,0.9297213559695396,-2.404666173803153,1.2397745729129288,0.09029563362704018,3.45483456368127,0.0,-0.6264735091921397,0.5310044072235816,0.91320425974641
"C(histology_fac, Treatment(reference='PTC'))[T.Poorly-differentiated DTC]",0.06537692281454134,1.0675613367828245,1.5113181372432867,-2.896752195364463,3.0275060409935457,0.05520221523892011,20.64567885293848,0.0,0.04325821361066429,0.9654957007284513,0.05065825989740511
rai_received_flag,1.1219783421679028,3.07092353522997,0.18854492685402646,0.7524370760662721,1.4915196082695337,2.1221655985868795,4.443843291734172,0.0,5.950721458745749,2.669630795986853e-09,28.480712619799732
"C(lvi_clean, Treatment(reference='missing'))[T.extensive]",-0.34225531822662536,0.7101668630161693,1.8528929468758546,-3.973858761311588,3.2893481248583374,0.01880074539406787,26.825371162430514,0.0,-0.18471402722089197,0.8534533433730029,0.2286158087980841
"C(lvi_clean, Treatment(reference='missing'))[T.focal]",-7.287994014540047,0.0006836981666639703,49.936168232635,-105.1610852764378,90.58509724735771,2.1336390610318068e-46,2.190825953821933e+39,0.0,-0.14594620036899614,0.8839638594141704,0.17794070820029032
"C(lvi_clean, Treatment(reference='missing'))[T.indeterminate]",-0.23137845401397508,0.7934391289837374,0.709980966732572,-1.6229155785187466,1.1601586704907962,0.19732255019946784,3.190439464552236,0.0,-0.3258938828723957,0.7445046440307495,0.42564724688692374
"C(lvi_clean, Treatment(reference='missing'))[T.present]",1.0732058059905893,2.9247406380218925,0.2430749460877317,0.5967876661146199,1.5496239458665588,1.8162749376692244,4.7096987478525465,0.0,4.415123085549274,1.0095253285474645e-05,16.59596336672789
"C(vasc_clean, Treatment(reference='missing'))[T.extensive]",-1.1325267549713087,0.32221806086911553,0.4470308338848633,-2.0086910893645484,-0.256362420578069,0.1341641686980543,0.773861454647531,0.0,-2.5334421456552163,0.011294838351408272,6.468192566347
"C(vasc_clean, Treatment(reference='missing'))[T.focal]",0.13124911064931583,1.1402517948001156,0.24548745300550737,-0.3498974558979477,0.6123956771965793,0.7047603550312281,1.8448457639012255,0.0,0.5346469200052001,0.5928940322947128,0.7541538193641542
"C(vasc_clean, Treatment(reference='missing'))[T.indeterminate]",-1.069883703570972,0.3430484104040695,1.384132602922037,-3.7827337551258444,1.6429663479839003,0.022760384979510054,5.170484242103192,0.0,-0.7729632994066787,0.43954410102569175,1.1859201715229402
"C(vasc_clean, Treatment(reference='missing'))[T.present_ungraded]",-2.0414653509830183,0.1298383127132583,0.4131579673070298,-2.8512400868305736,-1.2316906151354627,0.0577726333528609,0.29179884090208336,0.0,-4.941125459323275,7.767290633018164e-07,20.29608521512252
