group_variable,group_value,n,events,observed_event_rate,cure_fraction
braf_status,False,48224,161,0.003338586595885866,0.9939906187506704
ete_type,microscopic,15067,117,0.007765314926660914,0.9818271922831554
ete_type,none,33152,44,0.0013272200772200772,0.9978641155887092
ajcc_stage_8,I,33295,138,0.0041447664814536715,0.992106036554804
ajcc_stage_8,II,9013,12,0.0013314101852879175,0.998350214749556
ajcc_stage_8,III,248,4,0.016129032258064516,0.9810916833244832
ajcc_stage_8,nan,5696,7,0.0012289325842696629,0.998506307120715
recurrence_risk_band,high,26440,148,0.0055975794251134645,0.9926936086965781
recurrence_risk_band,intermediate,4394,6,0.0013654984069185253,0.9971453756508633
recurrence_risk_band,nan,5554,7,0.0012603528988116672,0.9984659295984692
