object,scope,row_count
main.canonical_extracted_fact_long_v2,canonical,55500
main.canonical_fact_quarantine_v2,canonical,199
main.note_extraction_runs,canonical,3
main.master_fact_long_verified_v1,canonical,55500
main.master_patient_rollup_verified_v1,canonical,5141
main.master_source_lineage_v1,canonical,55500
main.longitudinal_lab_canonical_v1,canonical,77960
main.longitudinal_lab_deduped_v,canonical,56198
main.imaging_nodule_master_v1,adjunct,37016
main.fna_episode_master_v2,adjunct,8119
main.v_fna_episode_bethesda_resolved_v1,adjunct,8119
main.v_imaging_nodule_linkage_classification_v1,adjunct,37016
main.specimen_master_v1,adjunct,10139
main.specimen_tumor_focus_v1,adjunct,11103
main.specimen_genomic_assay_v1,adjunct,10370
main.fhir_bundle_specimen_export_v1,adjunct,10139
qa.release_manifest,governance,12
qa.manual_review_queue,governance,5622
qa.promotion_review_decisions,governance,6
