release_tag,git_sha,created_at
20260408r4,d9b9dc9,2026-04-08 08:56:49.086697
20260408r3,a593544,2026-04-08 05:20:40.752314
20260408r2,a593544,2026-04-08 05:18:04.189662
20260411,de13c33,2026-04-07 19:15:39.106720
20260410,618086b,2026-04-07 16:22:53.465299
20260407_tier,7793059,2026-04-07 15:25:17.363482
20260407_final2,4ad9052,2026-04-07 05:11:41.171561
20260407_final,4ad9052,2026-04-07 05:08:12.328508
20260406,4b2d076,2026-04-07 04:07:52.519215
20260409,b77b4be,2026-04-07 02:05:07.189573
20260408,b77b4be,2026-04-07 02:03:20.732093
20260407,83f64ee,2026-04-07 01:09:57.717289
