row,md_target,source_name,md_count,src_count,md_is_duplicate,src_is_duplicate
1,md_tumor_episode_master_v2,tumor_episode_master_v2,1,1,NO,NO
2,md_molecular_test_episode_v2,molecular_test_episode_v2,1,1,NO,NO
3,md_rai_treatment_episode_v2,rai_treatment_episode_v2,1,1,NO,NO
4,md_imaging_nodule_long_v2,imaging_nodule_long_v2,1,1,NO,NO
5,md_imaging_exam_summary_v2,imaging_exam_summary_v2,1,1,NO,NO
6,md_oper_episode_detail_v2,operative_episode_detail_v2,1,1,NO,NO
7,md_fna_episode_master_v2,fna_episode_master_v2,1,1,NO,NO
8,md_event_date_audit_v2,event_date_audit_v2,1,1,NO,NO
9,md_patient_cross_domain_timeline_v2,patient_cross_domain_timeline_v2,1,1,NO,NO
10,md_imaging_fna_linkage_v2,imaging_fna_linkage_v2,1,1,NO,NO
11,md_fna_molecular_linkage_v2,fna_molecular_linkage_v2,1,1,NO,NO
12,md_preop_surgery_linkage_v2,preop_surgery_linkage_v2,1,1,NO,NO
13,md_surgery_pathology_linkage_v2,surgery_pathology_linkage_v2,1,1,NO,NO
14,md_pathology_rai_linkage_v2,pathology_rai_linkage_v2,1,1,NO,NO
15,md_linkage_summary_v2,linkage_summary_v2,1,1,NO,NO
16,md_date_quality_summary_v2,qa_date_completeness_v2,1,1,NO,NO
17,md_qa_issues_v2,qa_issues_v2,1,1,NO,NO
18,md_qa_summary_v2,qa_summary_by_domain_v2,1,1,NO,NO
19,md_qa_high_priority_v2,qa_high_priority_review_v2,1,1,NO,NO
20,md_pathology_recon_review_v2,pathology_reconciliation_review_v2,1,1,NO,NO
21,md_molecular_linkage_review_v2,molecular_linkage_review_v2,1,1,NO,NO
22,md_rai_adjudication_review_v2,rai_adjudication_review_v2,1,1,NO,NO
23,md_imaging_path_concordance_v2,imaging_pathology_concordance_review_v2,1,1,NO,NO
24,md_op_path_recon_review_v2,operative_pathology_reconciliation_review_v2,1,1,NO,NO
25,md_streamlit_cohort_qc_summary,streamlit_cohort_qc_summary_v,1,1,NO,NO
26,md_patient_reconciliation_summary,patient_reconciliation_summary_v,1,1,NO,NO
27,md_streamlit_patient_header,streamlit_patient_header_v,1,1,NO,NO
28,md_streamlit_patient_timeline,streamlit_patient_timeline_v,1,1,NO,NO
29,md_streamlit_patient_conflicts,streamlit_patient_conflicts_v,1,1,NO,NO
30,md_streamlit_patient_manual_review,streamlit_patient_manual_review_v,1,1,NO,NO
31,md_histology_reconciliation_v2,histology_reconciliation_v2,1,1,NO,NO
32,md_validation_failures_v3,validation_failures_v3,1,1,NO,NO
33,md_patient_validation_rollup_v2,patient_validation_rollup_v2_mv,1,1,NO,NO
34,md_molecular_episode_v2,molecular_episode_v2,1,1,NO,NO
35,md_rai_episode_v2,rai_episode_v2,1,1,NO,NO
36,md_patient_master_timeline_v2,patient_master_timeline_v2,1,1,NO,NO
37,md_patient_manual_review_summary,patient_manual_review_summary_v,1,1,NO,NO
38,md_histology_analysis_cohort,histology_analysis_cohort_v,1,1,NO,NO
39,md_histology_discordance_summary,histology_discordance_summary_v,1,1,NO,NO
40,md_molecular_episode_v3,molecular_episode_v3,1,1,NO,NO
41,md_molecular_analysis_cohort,molecular_analysis_cohort_v,1,1,NO,NO
