term,gamma,se,z,p_value,OR,OR_ci_lower,OR_ci_upper
intercept,-1.6814516629984047,0.3016516099561086,-5.57415113164177,2.48739728814229e-08,0.18610362011485138,0.1030347655065995,0.336144380487133
braf_status,0.13509994071725512,0.7075320582573423,0.19094532769300582,0.8485684270927492,1.1446511758945586,0.2860287658093445,4.5807501590596695
tert_status,0.0006210625834907969,0.0,,,1.0006212554827891,1.0006212554827891,1.0006212554827891
ajcc_stage_8_II,-1.6465148341041211,0.42678599849224774,-3.8579401384322334,0.00011434664321785526,0.19272040212445973,0.08349108734972399,0.44485171500328113
ajcc_stage_8_III,0.963547410395559,1.2631798516965793,0.7627951072061644,0.445585599544259,2.6209776850432878,0.22040575312639651,31.167625745029408
ajcc_stage_8_IVB,-2.8452913530247943,0.61035350314932,-4.6617105306082065,3.135920547236992e-06,0.05811733161253271,0.017569616232971434,0.19224234547722158
ete_type_microscopic,2.90593955330398,0.3784306980356604,7.6789213147558835,1.5987211554602254e-14,18.28241288667307,8.70776699255323,38.384883431611456
ete_type_none,0.4498703114147723,0.24101512888128296,1.8665646156858697,0.06196241277905079,1.5681088064898896,0.9777323265012776,2.514967708790319
recurrence_risk_band_intermediate,-0.8735741226420219,0.37278392734233345,-2.3433792569061187,0.019109946577742454,0.4174568377618092,0.2010441747422405,0.8668254706584857
recurrence_risk_band_low,-1.5145695581485796,0.23364949414228306,-6.482229134321464,9.037726123040102e-11,0.21990281985577778,0.1391055103310339,0.34763001167563623
