metric_id,metric_name,metric_group,canonical_sql,canonical_table,numerator_def,denominator_def,use_tier,source_limitation,canonical_value,environment,last_verified_at,git_sha
total_surgical_patients,Total Surgical Patients,cohort,SELECT COUNT(DISTINCT research_id) FROM path_synoptics,path_synoptics,Distinct patients with at least one path_synoptic row,N/A — universe,primary,,10871,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
master_cohort_rows,Master Cohort Rows,cohort,SELECT COUNT(*) FROM master_cohort,master_cohort,Total rows in master_cohort (one per patient-source join),N/A,descriptive,,11673,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
manuscript_cohort_size,Manuscript Cohort Size,cohort,SELECT COUNT(*) FROM manuscript_cohort_v1,manuscript_cohort_v1,Patients in frozen manuscript cohort,N/A — frozen,primary,,10871,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
cancer_cohort_size,Analysis-Eligible Cancer Cohort,cohort,SELECT COUNT(*) FROM analysis_cancer_cohort_v1,analysis_cancer_cohort_v1,Patients with confirmed cancer + scoring eligibility,manuscript_cohort_v1,primary,,4136,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
dedup_episodes,Deduplicated Episodes,cohort,SELECT COUNT(*) FROM episode_analysis_resolved_v1_dedup,episode_analysis_resolved_v1_dedup,Surgery episodes after multi-path dedup,N/A,primary,,9368,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
multi_surgery_patients,Multi-Surgery Patients,cohort,SELECT COUNT(DISTINCT research_id) FROM tumor_episode_master_v2 WHERE surgery_episode_id > 1,tumor_episode_master_v2,Patients with 2+ surgeries,total_surgical_patients,primary,,763,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
multi_surgery_episodes,Multi-Surgery Episodes,cohort,SELECT COUNT(*) FROM tumor_episode_master_v2 WHERE surgery_episode_id > 1,tumor_episode_master_v2,Episode rows for patients with 2+ surgeries,N/A,descriptive,,819,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
survival_cohort_enriched,Survival Cohort (Enriched),cohort,SELECT COUNT(*) FROM survival_cohort_enriched,survival_cohort_enriched,All patients in survival analytic table,N/A,descriptive,,61134,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
master_clinical_v12_rows,Master Clinical V12 Rows,cohort,SELECT COUNT(*) FROM patient_refined_master_clinical_v12,patient_refined_master_clinical_v12,Patients in final master clinical table,N/A,descriptive,,12886,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
braf_positive,BRAF Positive Patients,molecular,SELECT COUNT(*) FROM patient_refined_master_clinical_v12 WHERE braf_positive_final IS TRUE,patient_refined_master_clinical_v12,Patients with confirmed BRAF V600E,molecular_tested,primary,NLP false-positive correction applied (659→546); see reviewer_defense/06,546,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
ras_positive,RAS Positive Patients,molecular,SELECT COUNT(*) FROM patient_refined_master_clinical_v12 WHERE ras_positive_final IS TRUE,patient_refined_master_clinical_v12,Patients with confirmed RAS (NRAS/HRAS/KRAS),molecular_tested,primary,Includes Phase 11 recovery + Phase 13 subtype resolution,337,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
tert_positive,TERT Positive Patients,molecular,SELECT COUNT(*) FROM patient_refined_master_clinical_v12 WHERE tert_positive_v9 IS TRUE,patient_refined_master_clinical_v12,Patients with TERT promoter mutation,molecular_tested,primary,,108,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
molecular_tested_patients,Molecular-Tested Patients,molecular,SELECT COUNT(DISTINCT research_id) FROM extracted_fna_bethesda_v1,extracted_fna_bethesda_v1,Patients with any molecular/Bethesda testing,total_surgical_patients,descriptive,,5249,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
recurrence_flagged,Recurrence Any Flagged,recurrence,SELECT COUNT(*) FROM extracted_recurrence_refined_v1 WHERE recurrence_any IS TRUE,extracted_recurrence_refined_v1,Patients with any recurrence flag (structural or biochemical),total_surgical_patients,primary,,1986,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
recurrence_exact_date,Recurrence Exact-Date Tier,recurrence,SELECT COUNT(*) FROM extracted_recurrence_refined_v1 WHERE recurrence_date_status = 'exact_source_date' AND recurrence_any IS TRUE,extracted_recurrence_refined_v1,Recurrence patients with day-level exact source date,recurrence_flagged,primary,Only 2-3% of recurrence cases; rest unresolved — source limitation,54,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
recurrence_biochem_inferred,Recurrence Biochemical-Inferred,recurrence,SELECT COUNT(*) FROM extracted_recurrence_refined_v1 WHERE recurrence_date_status = 'biochemical_inflection_inferred' AND recurrence_any IS TRUE,extracted_recurrence_refined_v1,Recurrence patients with biochemical Tg inflection date,recurrence_flagged,sensitivity,Rising Tg > 1.0 and > 2x nadir; conditional for TTE analysis,168,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
recurrence_unresolved,Recurrence Unresolved Date,recurrence,SELECT COUNT(*) FROM extracted_recurrence_refined_v1 WHERE recurrence_date_status = 'unresolved_date' AND recurrence_any IS TRUE,extracted_recurrence_refined_v1,Recurrence patients with no day-level date,recurrence_flagged,descriptive,88.8% — requires manual chart review; prioritized queue deployed,1764,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
rai_episodes,RAI Treatment Episodes,rai,SELECT COUNT(*) FROM rai_treatment_episode_v2,rai_treatment_episode_v2,Total RAI treatment episode rows,N/A,primary,,1857,prod,2026-03-15T06:32:57.688065+00:00,e68c7f1
