metric,n
any_reported_and_derived_points_or_cat_missing,7317
any_reported_and_descriptor_not_complete,24371
any_reported_descriptor_complete_but_not_strict,13
any_reported_descriptor_incomplete_and_derived_missing,7304
any_reported_descriptor_not_complete_but_derived_present,17067
any_reported_has_reported_text_only_no_acr_no_updated,5098
base_nonaggregate_nonshell,34371
current_minus_doc_expected,16128
doc_expected_reported_not_fully_parsed,8243
view_any_reported,29504
view_reported_not_fully_parsed_current,24371
view_strict_acr2017,5120
