metric,value
total_patients_patient_analysis,10871
total_patients_path_synoptics,10871
surgical_cohort_manuscript,10871
analysis_cancer_cohort,4136
episode_dedup_rows,9368
scoring_table_rows,10871
survival_cohort_enriched,61134
recurrence_total_flagged,1986
recurrence_date_exact,54
recurrence_date_biochem,168
recurrence_date_unresolved,1764
rai_episodes_total,1857
rai_with_dose,761
molecular_tested_patients,10025
braf_positive_final,546
ras_positive_final,292
tert_positive,96
tirads_patients,3474
imaging_nodule_master_rows,19891
imaging_fna_linkage_rows,9024
lab_canonical_rows,39961
lab_canonical_patients,3349
tg_lab_patients,2569
adjudication_decisions_rows,0
complications_refined_rows,358
complications_patients,287
master_clinical_v12_rows,12886
demographics_harmonized_rows,11673
motherduck_table_count,605
