object,row_count
canonical_extracted_fact_long_v2,55500
canonical_fact_quarantine_v2,199
note_extraction_runs,3
master_fact_long_verified_v1,55500
master_patient_rollup_verified_v1,5141
master_source_lineage_v1,55500
longitudinal_lab_canonical_v1,77960
longitudinal_lab_deduped_v,56198
imaging_nodule_master_v1,37016
fna_episode_master_v2,8119
v_fna_episode_bethesda_resolved_v1,8119
specimen_master_v1,10139
specimen_tumor_focus_v1,11103
specimen_genomic_assay_v1,10370
fhir_bundle_specimen_export_v1,10139
