table,tier,description,expected_rows,actual_rows,drift_pct,status
manuscript_cohort_v1,tier1,Primary manuscript cohort (1 row/patient),10871,10871,0.0,OK
patient_analysis_resolved_v1,tier1,Resolved patient-level table,10871,10871,0.0,OK
episode_analysis_resolved_v1_dedup,tier1,Deduplicated episode-level table,9368,9368,0.0,OK
lesion_analysis_resolved_v1,tier1,Lesion-level resolved table,,11851,,OK
thyroid_scoring_py_v1,tier1,AJCC8/ATA/MACIS/AGES/AMES scoring,10871,10871,0.0,OK
analysis_cancer_cohort_v1,tier1,Cancer-eligible analytic subset,4136,4136,0.0,OK
complication_phenotype_v1,tier1,Complication phenotyping (long format),,5928,,OK
complication_patient_summary_v1,tier1,Wide complication flags per patient,,2892,,OK
recurrence_event_clean_v1,tier1,Cleaned recurrence events,1946,1946,0.0,OK
longitudinal_lab_canonical_v1,tier1,Canonical longitudinal labs,,39961,,OK
survival_cohort_enriched,tier1,Survival analysis cohort,,61134,,OK
analysis_molecular_subset_v1,tier2,Molecular-tested analytic subset,10025,10025,0.0,OK
analysis_tirads_subset_v1,tier2,TIRADS-scored analytic subset,3474,3474,0.0,OK
analysis_recurrence_subset_v1,tier2,Recurrence analytic subset,1946,1946,0.0,OK
patient_refined_master_clinical_v12,tier2,Master clinical table (all phases),12886,12886,0.0,OK
extracted_tirads_validated_v1,tier2,Validated TIRADS scores,3474,3474,0.0,OK
extracted_braf_recovery_v1,tier2,BRAF recovery audit,,730,,OK
extracted_ras_patient_summary_v1,tier2,RAS per-patient summary,,321,,OK
extracted_rln_injury_refined_v2,tier2,Refined RLN injury,,92,,OK
extracted_complications_refined_v5,tier2,Refined complications union,,358,,OK
operative_episode_detail_v2,tier2,Operative episodes,9371,9371,0.0,OK
rai_treatment_episode_v2,tier2,RAI treatment episodes,1857,1857,0.0,OK
molecular_test_episode_v2,tier2,Molecular test episodes,,10126,,OK
tumor_episode_master_v2,tier2,Tumor episode master,,11691,,OK
imaging_nodule_master_v1,tier2,Imaging nodule per-exam,,19891,,OK
extracted_ete_subgraded_v1,tier2,ETE sub-grading,,3558,,OK
extracted_postop_labs_expanded_v1,tier2,Post-op lab expansion,,1395,,OK
val_dataset_integrity_summary_v1,tier3,Dataset integrity summary,,30,,OK
val_episode_linkage_v2_scorecard,tier3,Episode linkage scorecard,,5,,OK
val_operative_truth_state_v1,tier3,Operative truth state,,39,,OK
val_phase12_tirads_validation,tier3,TIRADS validation,,4,,OK
val_complication_refinement,tier3,Complication refinement audit,,9,,OK
val_provenance_hardening_summary_v1,tier3,Provenance hardening,,3,,OK
