table_name,column_name,semantic_family,column_class,canonical_code_draft,suggested_display_label,n_rows,pct_of_nonnull,raw_variant_count,top_raw_variants,review_status,notes
canonical_patient_master,ajcc8_m_stage,stage,controlled_vocab_candidate,m0,M0,9053,83.277,1,M0,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_m_stage,stage,controlled_vocab_candidate,m1,M1,1818,16.723,1,M1,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_missing_components,stage,degenerate_single_value,size,size,6789,100.0,1,size,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_n_stage,stage,controlled_vocab_candidate,n0,N0,2640,48.087,1,N0,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_n_stage,stage,controlled_vocab_candidate,n1a,N1a,2562,46.667,1,N1a,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_n_stage,stage,controlled_vocab_candidate,nx,Nx,205,3.734,1,Nx,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_n_stage,stage,controlled_vocab_candidate,n1b,N1b,83,1.512,1,N1b,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_stage_group,stage,controlled_vocab_candidate,ii,II,1728,41.83,1,II,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_stage_group,stage,controlled_vocab_candidate,i,I,1635,39.579,1,I,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_stage_group,stage,controlled_vocab_candidate,ivb,IVB,759,18.373,1,IVB,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_stage_group,stage,controlled_vocab_candidate,iii,III,9,0.218,1,III,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_t_stage_with_microete_t3b_DEPRECATED,stage,controlled_vocab_candidate,t3b,T3b,1318,31.851,1,T3b,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_t_stage_with_microete_t3b_DEPRECATED,stage,controlled_vocab_candidate,t1a,T1a,1027,24.819,1,T1a,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_t_stage_with_microete_t3b_DEPRECATED,stage,controlled_vocab_candidate,t1b,T1b,764,18.463,1,T1b,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_t_stage_with_microete_t3b_DEPRECATED,stage,controlled_vocab_candidate,t2,T2,707,17.086,1,T2,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ajcc8_t_stage_with_microete_t3b_DEPRECATED,stage,controlled_vocab_candidate,t3a,T3a,322,7.782,1,T3a,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ames_risk,risk_scoring,controlled_vocab_candidate,high,high,7484,68.844,1,high,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ames_risk,risk_scoring,controlled_vocab_candidate,low,low,3387,31.156,1,low,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ames_risk_group,risk_scoring,controlled_vocab_candidate,high,high,7484,68.844,1,high,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ames_risk_group,risk_scoring,controlled_vocab_candidate,low,low,3387,31.156,1,low,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ata_initial_risk,risk_scoring,controlled_vocab_candidate,high,high,1835,58.365,1,high,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
canonical_patient_master,ata_initial_risk,risk_scoring,controlled_vocab_candidate,intermediate,intermediate,1202,38.232,1,intermediate,draft_from_observed_values,Read-only observed value; requires owner approval before normalization.
