table_name,column_name,semantic_family,norm_value,n_rows,pct_of_nonnull,issue_types,raw_variant_count,top_raw_variants,suggested_canonical_code,suggested_display_label
canonical_patient_master,best_ene_grade,other,microscopic,2,0.125,rare_value_review,1,microscopic,microscopic,microscopic
canonical_patient_master,comp_hematoma_timing_window,complication,pre_surgery,1,0.395,rare_value_review,1,pre_surgery,pre_surgery,pre_surgery
canonical_patient_master,comp_hypoparathyroidism_timing_window,complication,31_180d,2,0.465,rare_value_review,1,31_180d,31_180d,31_180d
canonical_patient_master,comp_hypoparathyroidism_timing_window,complication,181_365d,1,0.233,rare_value_review,1,181_365d,181_365d,181_365d
canonical_patient_master,comp_hypoparathyroidism_timing_window,complication,pre_surgery,1,0.233,rare_value_review,1,pre_surgery,pre_surgery,pre_surgery
canonical_patient_master,comp_rln_injury_timing_window,complication,pre_surgery,2,0.274,rare_value_review,1,pre_surgery,pre_surgery,pre_surgery
canonical_patient_master,comp_rln_injury_timing_window,complication,181_365d,1,0.137,rare_value_review,1,181_365d,181_365d,181_365d
canonical_patient_master,comp_seroma_timing_window,complication,181_365d,1,0.114,rare_value_review,1,181_365d,181_365d,181_365d
canonical_patient_master,completion_histology_type,histology,ptc,153,81.383,raw_variant_drift;leading_trailing_whitespace,2,PTC || PTC ,ptc,PTC
canonical_patient_master,completion_histology_type,histology,follicular carcinoma,10,5.319,raw_variant_drift,2,follicular carcinoma || Follicular carcinoma,follicular carcinoma,follicular carcinoma
canonical_patient_master,completion_histology_type,histology,metastatic mtc,2,1.064,raw_variant_drift;rare_value_review,2,Metastatic MTC || metastatic MTC,metastatic mtc,Metastatic MTC
canonical_patient_master,completion_histology_type,histology,ftump,1,0.532,rare_value_review,1,FTUMP,ftump,FTUMP
canonical_patient_master,completion_histology_type,histology,metastatic/recurrent ptc,1,0.532,rare_value_review,1,metastatic/recurrent PTC,metastatic/recurrent ptc,metastatic/recurrent PTC
canonical_patient_master,completion_prior_histology,histology,ptc,235,61.039,raw_variant_drift;leading_trailing_whitespace,2,PTC || PTC ,ptc,PTC
canonical_patient_master,completion_prior_histology,histology,follicular carcinoma,119,30.909,raw_variant_drift,2,follicular carcinoma || Follicular carcinoma,follicular carcinoma,follicular carcinoma
canonical_patient_master,completion_prior_histology,histology,poorly differentiated thyroid carcinoma,8,2.078,raw_variant_drift,2,poorly differentiated thyroid carcinoma || Poorly differentiated thyroid carcinoma,poorly differentiated thyroid carcinoma,poorly differentiated thyroid carcinoma
canonical_patient_master,completion_prior_histology,histology,differentiated high grade thyroid carcinoma,2,0.519,rare_value_review,1,differentiated high grade thyroid carcinoma,differentiated high grade thyroid carcinoma,differentiated high grade thyroid carcinoma
canonical_patient_master,completion_prior_histology,histology,ftump,2,0.519,rare_value_review,1,FTUMP,ftump,FTUMP
canonical_patient_master,completion_prior_histology,histology,metastatic ptc,2,0.519,rare_value_review,1,metastatic PTC,metastatic ptc,metastatic PTC
canonical_patient_master,completion_prior_histology,histology,atypical hurthle cell neoplasm,1,0.26,rare_value_review,1,Atypical hurthle cell neoplasm,atypical hurthle cell neoplasm,Atypical hurthle cell neoplasm
canonical_patient_master,completion_prior_histology,histology,metastatic follicular carcinoma,1,0.26,rare_value_review,1,metastatic follicular carcinoma,metastatic follicular carcinoma,metastatic follicular carcinoma
canonical_patient_master,completion_prior_histology,histology,metastatic thyroid carcinoma,1,0.26,rare_value_review,1,metastatic thyroid carcinoma,metastatic thyroid carcinoma,metastatic thyroid carcinoma
canonical_patient_master,completion_prior_histology,histology,mtc ptc mixed composit,1,0.26,rare_value_review,1,"MTC
PTC mixed composit",mtc ptc mixed composit,MTC PTC mixed composit
canonical_patient_master,completion_t_stage,stage,3a,2,1.818,rare_value_review,1,3a,3a,3a
canonical_patient_master,completion_t_stage,stage,x,1,0.909,rare_value_review,1,x,x,x
canonical_patient_master,demo_source,provenance,demographics_harmonized_v3_partial,9,0.083,rare_value_review,1,demographics_harmonized_v3_partial,demographics_harmonized_v3_partial,demographics_harmonized_v3_partial
