column_name,n_tables_with_col,n_distinct_dtypes,dtypes,table_dtype_pairs,tables_with_col
research_id,55,3,BIGINT | INTEGER | VARCHAR,canonical_airway_invasion_events_v1:VARCHAR | canonical_airway_invasion_patient_rollup_v1:VARCHAR | canonical_cervical_ln_clinical_events_v1:VARCHAR | canonical_cervical_ln_clinical_patient_rollup_v1:VARCHAR | canonical_complications_events_v1:VARCHAR | canonical_complications_patient_rollup_v1:VARCHAR | canonical_esophageal_invasion_events_v1:VARCHAR | canonical_esophageal_invasion_patient_rollup_v1:VARCHAR | canonical_ete_event_resolved_v1:INTEGER | canonical_ete_inline_adjudication_v1:VARCHAR | canonical_ete_subgrade_events_v1:VARCHAR | canonical_ete_subgrade_patient_rollup_v1:VARCHAR | canonical_fna_events_v1:VARCHAR | canonical_fna_patient_rollup_v1:VARCHAR | canonical_frozen_section_events_v1:VARCHAR | canonical_frozen_section_patient_rollup_v1:VARCHAR | canonical_invasion_events_v1:BIGINT | canonical_invasion_patient_rollup_v1:BIGINT | canonical_labs_calcium_v1:BIGINT | canonical_labs_pth_v1:BIGINT | canonical_labs_thyroglobulin_v1:BIGINT | canonical_labs_tsh_v1:BIGINT | canonical_labs_vitamin_d_v1:BIGINT | canonical_medications_events_v1:VARCHAR | canonical_medications_patient_rollup_v1:VARCHAR | canonical_molecular_genetics_from_notes_v2:VARCHAR | canonical_molecular_genetics_v2:VARCHAR | canonical_operative_events_v1:BIGINT | canonical_operative_patient_rollup_v1:BIGINT | canonical_operative_procedure_codes_v1:BIGINT | canonical_parathyroid_events_v1:VARCHAR | canonical_parathyroid_patient_rollup_v1:VARCHAR | canonical_path_benign_events_v1:BIGINT | canonical_path_benign_patient_rollup_v1:BIGINT | canonical_path_gland_events_v1:BIGINT | canonical_path_gland_patient_rollup_v1:BIGINT | canonical_path_malignant_events_v1:INTEGER | canonical_path_malignant_patient_rollup_v1:BIGINT | canonical_pathology_clinical_events_v1:VARCHAR | canonical_pathology_clinical_patient_rollup_v1:VARCHAR | canonical_patient_master:VARCHAR | canonical_pmh_events_v1:VARCHAR | canonical_pmh_patient_rollup_v1:VARCHAR | canonical_psh_events_v1:VARCHAR | canonical_psh_patient_rollup_v1:VARCHAR | canonical_recurrence_resolved_v1:VARCHAR | canonical_recurrence_v1:VARCHAR | canonical_survival_followup_v1:VARCHAR | canonical_t4b_invasion_events_v1:VARCHAR | canonical_t4b_invasion_patient_rollup_v1:VARCHAR | canonical_us_lymph_node_v2:INTEGER | canonical_us_nodule_v2:INTEGER | canonical_us_thyroid_gland_v2:INTEGER | canonical_vascular_invasion_events_v1:VARCHAR | canonical_vascular_invasion_patient_rollup_v1:VARCHAR,canonical_airway_invasion_events_v1 | canonical_airway_invasion_patient_rollup_v1 | canonical_cervical_ln_clinical_events_v1 | canonical_cervical_ln_clinical_patient_rollup_v1 | canonical_complications_events_v1 | canonical_complications_patient_rollup_v1 | canonical_esophageal_invasion_events_v1 | canonical_esophageal_invasion_patient_rollup_v1 | canonical_ete_event_resolved_v1 | canonical_ete_inline_adjudication_v1 | canonical_ete_subgrade_events_v1 | canonical_ete_subgrade_patient_rollup_v1 | canonical_fna_events_v1 | canonical_fna_patient_rollup_v1 | canonical_frozen_section_events_v1 | canonical_frozen_section_patient_rollup_v1 | canonical_invasion_events_v1 | canonical_invasion_patient_rollup_v1 | canonical_labs_calcium_v1 | canonical_labs_pth_v1 | canonical_labs_thyroglobulin_v1 | canonical_labs_tsh_v1 | canonical_labs_vitamin_d_v1 | canonical_medications_events_v1 | canonical_medications_patient_rollup_v1 | canonical_molecular_genetics_from_notes_v2 | canonical_molecular_genetics_v2 | canonical_operative_events_v1 | canonical_operative_patient_rollup_v1 | canonical_operative_procedure_codes_v1 | canonical_parathyroid_events_v1 | canonical_parathyroid_patient_rollup_v1 | canonical_path_benign_events_v1 | canonical_path_benign_patient_rollup_v1 | canonical_path_gland_events_v1 | canonical_path_gland_patient_rollup_v1 | canonical_path_malignant_events_v1 | canonical_path_malignant_patient_rollup_v1 | canonical_pathology_clinical_events_v1 | canonical_pathology_clinical_patient_rollup_v1 | canonical_patient_master | canonical_pmh_events_v1 | canonical_pmh_patient_rollup_v1 | canonical_psh_events_v1 | canonical_psh_patient_rollup_v1 | canonical_recurrence_resolved_v1 | canonical_recurrence_v1 | canonical_survival_followup_v1 | canonical_t4b_invasion_events_v1 | canonical_t4b_invasion_patient_rollup_v1 | canonical_us_lymph_node_v2 | canonical_us_nodule_v2 | canonical_us_thyroid_gland_v2 | canonical_vascular_invasion_events_v1 | canonical_vascular_invasion_patient_rollup_v1
bethesda_final,4,2,BIGINT | INTEGER,canonical_fna_patient_rollup_v1:INTEGER | canonical_path_benign_patient_rollup_v1:BIGINT | canonical_path_malignant_patient_rollup_v1:BIGINT | canonical_patient_master:BIGINT,canonical_fna_patient_rollup_v1 | canonical_path_benign_patient_rollup_v1 | canonical_path_malignant_patient_rollup_v1 | canonical_patient_master
first_surgery_date,3,2,DATE | TIMESTAMP,canonical_patient_master:TIMESTAMP | canonical_recurrence_v1:TIMESTAMP | canonical_survival_followup_v1:DATE,canonical_patient_master | canonical_recurrence_v1 | canonical_survival_followup_v1
bethesda_category,2,2,INTEGER | VARCHAR,canonical_molecular_genetics_v2:INTEGER | canonical_patient_master:VARCHAR,canonical_molecular_genetics_v2 | canonical_patient_master
bethesda_index_nodule,2,2,BIGINT | INTEGER,canonical_fna_patient_rollup_v1:INTEGER | canonical_patient_master:BIGINT,canonical_fna_patient_rollup_v1 | canonical_patient_master
bethesda_max_preop_2010,2,2,BIGINT | INTEGER,canonical_fna_patient_rollup_v1:INTEGER | canonical_patient_master:BIGINT,canonical_fna_patient_rollup_v1 | canonical_patient_master
bethesda_max_preop_2015,2,2,BIGINT | INTEGER,canonical_fna_patient_rollup_v1:INTEGER | canonical_patient_master:BIGINT,canonical_fna_patient_rollup_v1 | canonical_patient_master
bethesda_max_preop_2023,2,2,BIGINT | INTEGER,canonical_fna_patient_rollup_v1:INTEGER | canonical_patient_master:BIGINT,canonical_fna_patient_rollup_v1 | canonical_patient_master
n_surgeries,2,2,BIGINT | INTEGER,canonical_operative_patient_rollup_v1:BIGINT | canonical_patient_master:INTEGER,canonical_operative_patient_rollup_v1 | canonical_patient_master
vessel_count,2,2,DOUBLE | INTEGER,canonical_patient_master:DOUBLE | canonical_vascular_invasion_events_v1:INTEGER,canonical_patient_master | canonical_vascular_invasion_events_v1
