source_table,column_name,non_null_rows,total_rows,non_null_pct
canonical_path_malignant_events_v1,t_stage_ajcc7,6443,6689,96.32
canonical_path_malignant_events_v1,n_stage_ajcc7,6632,6689,99.15
canonical_path_malignant_events_v1,m_stage_ajcc7,6689,6689,100.0
canonical_path_malignant_events_v1,overall_stage_ajcc7,6224,6689,93.05
canonical_path_malignant_events_v1,stage_group_ajcc7,6224,6689,93.05
canonical_path_malignant_events_v1,t_stage_ajcc8,6443,6689,96.32
canonical_path_malignant_events_v1,n_stage_ajcc8,6632,6689,99.15
canonical_path_malignant_events_v1,m_stage_ajcc8,6689,6689,100.0
canonical_path_malignant_events_v1,overall_stage_ajcc8,5851,6689,87.47
canonical_path_malignant_events_v1,stage_group_ajcc8,5851,6689,87.47
canonical_path_malignant_events_v1,size_greatest_dimension_cm,6088,6689,91.02
canonical_path_malignant_events_v1,extrathyroidal_extension,6244,6689,93.35
canonical_path_malignant_events_v1,gross_ete,1571,6689,23.49
canonical_path_malignant_events_v1,ln_examined,4421,6689,66.09
canonical_path_malignant_events_v1,ln_involved,2576,6689,38.51
canonical_path_malignant_events_v1,extranodal_extension,1706,6689,25.5
canonical_path_malignant_events_v1,multifocality_flag,0,6689,0.0
