ordinal_position,column_name,data_type
1,data_source_layer,VARCHAR
2,extraction_phase,VARCHAR
3,source_note_type,VARCHAR
4,note_row_id,VARCHAR
5,research_id,VARCHAR
6,note_date,VARCHAR
7,source_workbook,VARCHAR
8,source_sheet,VARCHAR
9,original_llm_model,VARCHAR
10,entity_index,DOUBLE
11,entity_type,VARCHAR
12,entity_value,VARCHAR
13,entity_date,VARCHAR
14,date_confidence,DOUBLE
15,date_source_keyword,VARCHAR
16,present_or_negated,VARCHAR
17,confidence,DOUBLE
18,evidence_text,VARCHAR
19,source_line,DOUBLE
20,evidence_source_modality,VARCHAR
21,modality_classification_method,VARCHAR
22,ln_level,VARCHAR
23,laterality,VARCHAR
24,size_cm,DOUBLE
25,count_positive,DOUBLE
26,count_total_examined,DOUBLE
27,ln_status,VARCHAR
28,extranodal_extension,BOOLEAN
29,extraction_status,VARCHAR
30,extraction_error,VARCHAR
