table_schema,table_name,has_result_json,has_llm_model,has_research_id,columns_preview
main,note_entities_llm_airway_invasion_v2,False,True,True,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts"
main,note_entities_llm_cervical_ln_detail,True,True,True,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version"
main,note_entities_llm_dynamic_risk_response,True,True,True,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
main,note_entities_llm_esophageal_invasion,True,True,True,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version"
main,note_entities_llm_ete_subgrade_v1,False,True,True,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts"
main,note_entities_llm_frozen_section_detail,True,True,True,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
main,note_entities_llm_parathyroid_detail_v1,False,True,True,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts"
main,note_entities_llm_past_medical_hx,True,True,True,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
main,note_entities_llm_past_surgical_hx,True,True,True,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
main,note_entities_llm_pathology,True,True,True,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version"
main,note_entities_llm_presenting_symptoms,True,True,True,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
main,note_entities_llm_rai_detailed,True,True,True,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
main,note_entities_llm_recurrence,True,True,True,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
main,note_entities_llm_t4b_invasion_v1,False,True,True,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts"
main,note_entities_llm_tirads_granular,True,True,True,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version"
main,note_entities_llm_vascular_invasion_v2,False,True,True,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts"
