triage_priority_tier,source_queue,triage_decision,absorption_status,n
tier_1_malignant_fna_path_molecular,qc_tir03_llm_candidates_v1,document_as_limitation,not_absorbed_ambiguous_multi_nodule_attribution,70
tier_1_malignant_fna_path_molecular,us_llm_absorption_deferred_multi_nodule_v1,document_as_limitation,not_absorbed_ambiguous_multi_nodule_attribution,152
tier_2_malignant_fna_path,qc_tir03_llm_candidates_v1,document_as_limitation,not_absorbed_ambiguous_multi_nodule_attribution,109
tier_2_malignant_fna_path,us_llm_absorption_deferred_multi_nodule_v1,document_as_limitation,not_absorbed_ambiguous_multi_nodule_attribution,202
tier_3_malignant_other,qc_tir03_llm_candidates_v1,document_as_limitation,not_absorbed_ambiguous_multi_nodule_attribution,23
tier_3_malignant_other,us_llm_absorption_deferred_multi_nodule_v1,document_as_limitation,not_absorbed_ambiguous_multi_nodule_attribution,114
tier_4_benign_or_unknown_with_diagnostic_events,qc_tir03_llm_candidates_v1,document_as_limitation,not_absorbed_ambiguous_multi_nodule_attribution,216
tier_4_benign_or_unknown_with_diagnostic_events,us_llm_absorption_deferred_multi_nodule_v1,document_as_limitation,not_absorbed_ambiguous_multi_nodule_attribution,253
tier_5_lowest_publication_risk,qc_tir03_llm_candidates_v1,document_as_limitation,not_absorbed_ambiguous_multi_nodule_attribution,30
tier_5_lowest_publication_risk,us_llm_absorption_deferred_multi_nodule_v1,document_as_limitation,not_absorbed_ambiguous_multi_nodule_attribution,104
