family,cohort,column_name,n_patients,non_null,non_zero_or_non_blank
lvi,stable_true,lvi_grade,890,852,852
lvi,stable_true,lvi_ordinal_worst,890,890,890
lvi,stable_true,n_tumors_lvi_present,890,890,890
lvi,false_or_null_to_true,lvi_grade,99,5,5
lvi,false_or_null_to_true,lvi_ordinal_worst,99,0,0
lvi,false_or_null_to_true,n_tumors_lvi_present,99,92,0
lvi,true_to_false,lvi_grade,2502,2460,2460
lvi,true_to_false,lvi_ordinal_worst,2502,2502,2502
lvi,true_to_false,n_tumors_lvi_present,2502,2502,2502
vi,stable_true,vasc_grade,1118,1118,1117
vi,stable_true,vasc_grade_final_v13,1118,1117,1117
vi,stable_true,vascular_invasion_final,1118,1117,1117
vi,stable_true,vascular_invasion_grade,1118,1117,1117
vi,stable_true,vascular_who_2022_grade,1118,392,392
vi,stable_true,vi_ordinal_worst,1118,1118,1118
vi,stable_true,vasc_vessel_count_v13,1118,46,46
vi,stable_true,vascular_vessel_count,1118,46,46
vi,stable_true,vi_vessels_max,1118,46,46
vi,stable_true,vasc_confidence_final_v13,1118,1117,1117
vi,stable_true,vasc_source_final_v13,1118,1117,1117
vi,stable_true,n_tumors_vi_present,1118,1118,1118
vi,false_or_null_to_true,vasc_grade,60,60,28
vi,false_or_null_to_true,vasc_grade_final_v13,60,28,28
vi,false_or_null_to_true,vascular_invasion_final,60,28,28
vi,false_or_null_to_true,vascular_invasion_grade,60,28,28
vi,false_or_null_to_true,vascular_who_2022_grade,60,8,8
vi,false_or_null_to_true,vi_ordinal_worst,60,0,0
vi,false_or_null_to_true,vasc_vessel_count_v13,60,0,0
vi,false_or_null_to_true,vascular_vessel_count,60,0,0
vi,false_or_null_to_true,vi_vessels_max,60,0,0
vi,false_or_null_to_true,vasc_confidence_final_v13,60,28,28
vi,false_or_null_to_true,vasc_source_final_v13,60,28,28
vi,false_or_null_to_true,n_tumors_vi_present,60,48,0
vi,true_to_false,vasc_grade,2580,2580,2579
vi,true_to_false,vasc_grade_final_v13,2580,2579,2579
vi,true_to_false,vascular_invasion_final,2580,2579,2579
vi,true_to_false,vascular_invasion_grade,2580,2579,2579
vi,true_to_false,vascular_who_2022_grade,2580,0,0
vi,true_to_false,vi_ordinal_worst,2580,2580,2580
vi,true_to_false,vasc_vessel_count_v13,2580,0,0
vi,true_to_false,vascular_vessel_count,2580,0,0
vi,true_to_false,vi_vessels_max,2580,0,0
vi,true_to_false,vasc_confidence_final_v13,2580,2579,2579
vi,true_to_false,vasc_source_final_v13,2580,2579,2579
vi,true_to_false,n_tumors_vi_present,2580,2580,2580
