x_var,description,park_overall,park_malignant,park_benign,this_cohort_overall,this_cohort_malignant,this_cohort_benign,prevalence_delta_overall,abs_delta_overall,shift_severity,provenance
X8_homogeneous,Homogeneous echotexture,0.58,0.62,0.57,0.0021,0.0017,0.0017,-0.5779,0.5779,large_shift,park_2009_secondary_literature
X10_solid,Solid composition,0.73,0.85,0.7,0.3909,0.491,0.4359,-0.3391,0.3391,large_shift,park_2009_secondary_literature
X2_halo,Perinodular halo,0.31,0.14,0.37,0.0059,0.0082,0.0061,-0.3041,0.3041,large_shift,park_2009_secondary_literature
X1_taller,Taller-than-wide shape,0.22,0.5,0.12,0.0661,0.1687,0.067,-0.1539,0.1539,moderate_shift,park_2009_secondary_literature
X3_well_circumscribed,Well-circumscribed margin,0.37,0.14,0.45,0.5129,0.655,0.4823,0.1429,0.1429,moderate_shift,park_2009_secondary_literature
X7_hypo,Hypoechogenicity,0.33,0.5,0.28,0.1905,0.3313,0.199,-0.1395,0.1395,moderate_shift,park_2009_secondary_literature
X4_microlobulation,Microlobulated margin,0.14,0.3,0.09,0.0075,0.0288,0.0065,-0.1325,0.1325,moderate_shift,park_2009_secondary_literature
X6_marked_hypo,Marked hypoechogenicity,0.09,0.22,0.05,0.0034,0.0015,0.003,-0.0866,0.0866,mild_shift,park_2009_secondary_literature
X9_mainly_cystic,Mainly cystic,0.09,0.02,0.12,0.0109,0.0032,0.0119,-0.0791,0.0791,mild_shift,park_2009_secondary_literature
X11_microcalc,Microcalcification,0.12,0.3,0.06,0.0505,0.1544,0.0472,-0.0695,0.0695,mild_shift,park_2009_secondary_literature
X5_infiltrative_margin,Infiltrative margin,0.1,0.22,0.06,0.0742,0.1469,0.0857,-0.0258,0.0258,comparable,park_2009_secondary_literature
X12_abnormal_ln,Abnormal lymph node at exam,0.03,0.09,0.01,0.0303,0.1198,0.0466,0.0003,0.0003,comparable,park_2009_secondary_literature
