Metric,Canonical_Value,Live_Value,Source_Table,Denominator,Status
Surgical cohort,10871,10871,manuscript_cohort_v1,Full cohort,MATCH
Cancer subcohort,4136,4136,analysis_cancer_cohort_v1,Analysis eligible,MATCH
Dedup episodes,9368,9368,episode_analysis_resolved_v1_dedup,Surgical episodes,MATCH
RAI episodes,1857,1857,rai_treatment_episode_v2,All RAI mentions,MATCH
RAI with dose,761,761,rai_treatment_episode_v2,RAI episodes,MATCH
RAI dose coverage %,41.0,41.0,rai_treatment_episode_v2,RAI episodes,MATCH
RAI treated strict,35,35,rai_treatment_episode_v2,likely_received,MATCH
Molecular tested,10025,10026,molecular_test_episode_v2,Distinct patients,NEAR-MATCH (±1)
BRAF positive (curated),376,376,extracted_braf_recovery_v1,Molecular tested,MATCH
BRAF flag (master),546,546,patient_refined_master_clinical_v12,All patients,MATCH
RAS positive (curated),292,292,extracted_ras_patient_summary_v1,Molecular tested,MATCH
RAS flag (master),337,337,patient_refined_master_clinical_v12,All patients,MATCH
TERT positive,108,108,patient_refined_master_clinical_v12,All patients,MATCH
Clinical notes patients,5641,5641,clinical_notes_long,Distinct research_ids,MATCH
Notes coverage %,51.9,51.9,clinical_notes_long,Full cohort,MATCH
TIRADS patients,3474,3474,extracted_tirads_validated_v1,Validated TIRADS,MATCH
Recurrence patients,1946,1946,recurrence_event_clean_v1,Any recurrence flag,MATCH
RLN refined patients,92,92,extracted_rln_injury_refined_v2,Refined RLN,MATCH
AJCC8 calculable %,37.6,37.6,thyroid_scoring_py_v1,Full cohort,MATCH
ATA calculable %,28.9,28.9,thyroid_scoring_py_v1,Full cohort,MATCH
MACIS calculable %,37.5,37.5,thyroid_scoring_py_v1,Full cohort,MATCH
AGES calculable %,100.0,100.0,thyroid_scoring_py_v1,Full cohort,MATCH
AMES calculable %,100.0,100.0,thyroid_scoring_py_v1,Full cohort,MATCH
Vascular positive,5570,5570,patient_refined_master_clinical_v12,Non-absent,MATCH
Vascular graded,819,819,patient_refined_master_clinical_v12,Graded subset,MATCH
Vascular ungraded,4652,4652,patient_refined_master_clinical_v12,Present ungraded,MATCH
ETE microscopic,5393,5393,patient_refined_master_clinical_v12,ETE graded,MATCH
ETE gross,278,278,patient_refined_master_clinical_v12,ETE graded,MATCH
ETE present ungraded,66,66,patient_refined_master_clinical_v12,ETE remaining,MATCH
Lab canonical total,39961,39961,longitudinal_lab_canonical_v1,All rows,MATCH
Lab Tg/anti-Tg patients,2578,2578,longitudinal_lab_canonical_v1,Tumor markers,MATCH
Lab PTH patients,673,673,longitudinal_lab_canonical_v1,Parathyroid,MATCH
Lab Ca patients,562,562,longitudinal_lab_canonical_v1,Calcium metabolism,MATCH
