covariate,beta,se,z,p_value,exp_beta,ci_lower,ci_upper
high_risk_band,2.829325156286729,0.28069360062605553,10.079763663924783,0.0,16.934029144567624,9.76852711749237,29.355637714877815
ete_microscopic,0.6477748812449338,0.21438663261344953,3.021526451291887,0.002515036651708824,1.9112832617422113,1.2555542158037836,2.9094750833020444
ajcc_4,0.0,0.0,,,1.0,1.0,1.0
ajcc_2,0.0,0.0,,,1.0,1.0,1.0
ajcc_3,0.0,0.0,,,1.0,1.0,1.0
tert_pos,-0.004778113934938131,0.01793386587519488,-0.2664296682148689,0.7899083187595966,0.9952332830921261,0.9608581466525519,1.0308382056446204
age_z,-1.71486934231628,0.10150272888275158,-16.89481023014829,0.0,0.17998723589220017,0.1475165817426572,0.21960517727172066
braf_pos,-4.697337682210584,5.191131067948356,-0.9048774960072566,0.3655302902797488,0.00911952388171859,3.476899942222535e-07,239.1950220346973
intercept,-8.357814094557403,2.09347067833932,-3.992324411817115,6.542877792670154e-05,0.00023455649211307633,3.8747995555283486e-06,0.01419860490948412
ete_gross,-30.316089608208397,33.55593488203324,-0.9034494111037406,0.36628742594661734,6.821652153122301e-14,1.8642371391701e-42,2496191987619863.5
