column_name,data_type,null_count,null_pct,domain,notes
age_at_surgery,BIGINT,0,0.0,metadata,
ages_score,DOUBLE,10871,100.0,ages,
ajcc8_calculable_flag,BOOLEAN,10871,100.0,ajcc8,
ajcc8_m_stage,VARCHAR,10871,100.0,ajcc8,
ajcc8_missing_components,VARCHAR,10871,100.0,ajcc8,
ajcc8_n_stage,VARCHAR,10871,100.0,ajcc8,
ajcc8_stage_group,VARCHAR,10871,100.0,ajcc8,
ajcc8_t_stage,VARCHAR,10871,100.0,ajcc8,
ames_risk_group,VARCHAR,10871,100.0,ames,
analysis_eligible_flag,BOOLEAN,0,0.0,analysis,
anti_tg_nadir,DOUBLE,10871,100.0,anti_tg,
anti_tg_rising_flag,BOOLEAN,10871,100.0,anti_tg,
any_confirmed_complication,BOOLEAN,0,0.0,metadata,
any_recurrence_flag,BOOLEAN,0,0.0,metadata,
ata_calculable_flag,BOOLEAN,10871,100.0,ata,
ata_response_calculable_flag,BOOLEAN,10871,100.0,ata,
ata_response_category,VARCHAR,10871,100.0,ata,
ata_risk_category,VARCHAR,10871,100.0,ata,
biochemical_recurrence_flag,BOOLEAN,10871,100.0,metadata,
braf_positive_final,BOOLEAN,0,0.0,braf,
braf_source,VARCHAR,10495,96.5,braf,
braf_variant_raw,VARCHAR,10698,98.4,braf,
calcium_nadir,DOUBLE,10871,100.0,calcium,
calcium_supplement_required,BOOLEAN,0,0.0,calcium,
chyle_leak_status,VARCHAR,0,0.0,chyle,
closest_margin_mm,DOUBLE,9992,91.9,metadata,
date_traceability_status,VARCHAR,0,0.0,metadata,
demo_confidence,INTEGER,0,0.0,demo,
demo_source,VARCHAR,0,0.0,demo,
ete_grade_final,VARCHAR,6796,62.5,ete,
ete_grade_source,VARCHAR,0,0.0,ete,
first_surgery_date,DATE,1,0.0,metadata,
fna_bethesda_confidence,"DECIMAL(3,2)",5622,51.7,fna,
fna_bethesda_final,BIGINT,5622,51.7,fna,
fna_bethesda_source,VARCHAR,5622,51.7,fna,
hematoma_status,VARCHAR,0,0.0,hematoma,
histology_final,VARCHAR,6734,61.9,metadata,
histology_source,VARCHAR,0,0.0,metadata,
hypocalcemia_status,VARCHAR,0,0.0,hypocalcemia,
hypoparathyroidism_status,VARCHAR,0,0.0,metadata,
imaging_n_nodule_records,BIGINT,7397,68.0,imaging,
imaging_nodule_size_cm,DOUBLE,7432,68.4,imaging,
imaging_tirads_best,BIGINT,7397,68.0,imaging,
imaging_tirads_category,VARCHAR,7397,68.0,imaging,
imaging_tirads_source,VARCHAR,7397,68.0,imaging,
imaging_tirads_worst,BIGINT,7397,68.0,imaging,
lab_completeness_score,INTEGER,0,0.0,lab,
lateral_neck_dissected,BOOLEAN,0,0.0,metadata,
ln_burden_band,VARCHAR,10871,100.0,ln,
ln_positive_final,INTEGER,6811,62.7,ln,
ln_ratio,DOUBLE,10871,100.0,ln,
macis_calculable_flag,BOOLEAN,10871,100.0,macis,
macis_risk_group,VARCHAR,10871,100.0,macis,
macis_score,DOUBLE,10871,100.0,macis,
margin_status_final,VARCHAR,6914,63.6,margin,
mol_n_tests,BIGINT,846,7.8,mol,
mol_platform,VARCHAR,846,7.8,mol,
mol_test_date,DATE,10062,92.6,mol,
molecular_eligible_flag,BOOLEAN,846,7.8,mol,
molecular_risk_tier,VARCHAR,10871,100.0,mol,
n_confirmed_complications,INTEGER,0,0.0,metadata,
path_ene_raw,VARCHAR,9644,88.7,path,
path_ete_raw,VARCHAR,6796,62.5,path,
path_gross_ete_flag,BIGINT,9888,91.0,path,
path_histology_raw,VARCHAR,6734,61.9,path,
path_histology_variant_raw,VARCHAR,7554,69.5,path,
path_laterality,VARCHAR,533,4.9,path,
path_ln_examined_raw,INTEGER,3141,28.9,path,
path_ln_positive_raw,INTEGER,7268,66.9,path,
path_lvi_raw,VARCHAR,7505,69.0,path,
path_m_stage_raw,VARCHAR,6866,63.2,path,
path_margin_raw,VARCHAR,6987,64.3,path,
path_multifocal_flag,BOOLEAN,10871,100.0,path,
path_n_stage_raw,VARCHAR,6856,63.1,path,
path_n_tumors,INTEGER,10871,100.0,path,
path_pni_raw,VARCHAR,9433,86.8,path,
path_stage_raw,VARCHAR,10871,100.0,path,
path_t_stage_raw,VARCHAR,6862,63.1,path,
path_tumor_size_cm,DOUBLE,6741,62.0,path,
path_vascular_invasion_raw,VARCHAR,7189,66.1,path,
postop_low_calcium_flag,BOOLEAN,10871,100.0,metadata,
postop_low_pth_flag,BOOLEAN,10871,100.0,metadata,
provenance_confidence,INTEGER,0,0.0,provenance,
pth_nadir,DOUBLE,10871,100.0,pth,
race,VARCHAR,9,0.1,metadata,
rai_assertion_statuses,VARCHAR,10836,99.7,rai,
rai_eligible_flag,BOOLEAN,0,0.0,rai,
rai_first_date,DATE,10838,99.7,rai,
rai_max_dose_mci,DOUBLE,10836,99.7,rai,
rai_received_flag,BOOLEAN,0,0.0,rai,
ras_positive_final,BOOLEAN,0,0.0,ras,
ras_subtype_raw,VARCHAR,10697,98.4,ras,
recurrence_date,DATE,10871,100.0,recurrence,
recurrence_site_primary,VARCHAR,10871,100.0,recurrence,
recurrence_source,VARCHAR,10871,100.0,recurrence,
recurrence_type_primary,VARCHAR,10871,100.0,recurrence,
research_id,BIGINT,0,0.0,metadata,
resolved_at,TIMESTAMP WITH TIME ZONE,0,0.0,metadata,
resolved_layer_version,VARCHAR,0,0.0,metadata,
rln_permanent_flag,BOOLEAN,0,0.0,rln,
rln_status,VARCHAR,0,0.0,rln,
rln_transient_flag,BOOLEAN,0,0.0,rln,
scoring_ajcc8_flag,BOOLEAN,0,0.0,scoring,
scoring_ata_flag,BOOLEAN,0,0.0,scoring,
scoring_macis_flag,BOOLEAN,0,0.0,scoring,
seroma_status,VARCHAR,0,0.0,seroma,
sex,VARCHAR,0,0.0,metadata,
source_script,VARCHAR,0,0.0,metadata,
structural_recurrence_flag,BOOLEAN,10871,100.0,metadata,
surg_first_date,DATE,2140,19.7,surg,
surg_hemithyroidectomy,BOOLEAN,2138,19.7,surg,
surg_n_procedures,BIGINT,2138,19.7,surg,
surg_procedure_type,VARCHAR,2138,19.7,surg,
surg_total_thyroidectomy,BOOLEAN,2138,19.7,surg,
survival_eligible_flag,BOOLEAN,0,0.0,metadata,
tert_positive_final,BOOLEAN,0,0.0,tert,
tg_below_threshold_ever,BOOLEAN,10871,100.0,tg,
tg_last_value,DOUBLE,10871,100.0,tg,
tg_n_measurements,INTEGER,10871,100.0,tg,
tg_nadir,DOUBLE,10871,100.0,tg,
tg_peak,DOUBLE,10871,100.0,tg,
tg_rising_flag,BOOLEAN,10871,100.0,tg,
tsh_suppressed_ever,BOOLEAN,10871,100.0,tsh,
vascular_invasion_final,VARCHAR,7120,65.5,vascular,
vascular_vessel_count,DOUBLE,10825,99.6,vascular,
wound_infection_status,VARCHAR,0,0.0,wound,
