term,coef_logit,se,or,or_ci_low,or_ci_high,pvalue
"C(lvi_clean, Treatment(reference='missing'))[T.focal]",-20.0465024068746,32319.94918499725,1.9674994663400778e-09,1.3887943864964021e-11,72004899337.38588,0.9995051108016468
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.missing]",-19.695135465021302,14077.821034777073,2.7958337759009765e-09,1.3887943864964021e-11,72004899337.38588,0.9988837449101355
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.Nx]",-0.851344932708333,0.7498086740450947,0.426840474016942,0.09818096425209297,1.8556834478749153,0.2562009655028388
"C(histology_grouped, Treatment(reference='PTC'))[T.follicular-like]",-0.6348766592779601,0.3737275974977639,0.5300008549744346,0.254776321232212,1.10253929766734,0.08936281649689017
"C(lvi_clean, Treatment(reference='missing'))[T.present]",-0.35755288965790477,0.28863664194286787,0.6993857076936871,0.39721788803731456,1.2314157616190986,0.21543264186323297
"C(lvi_clean, Treatment(reference='missing'))[T.indeterminate]",-0.24555955910980054,0.5049619159297611,0.7822666912992599,0.29075719896808455,2.104646689705737,0.6267592813543801
age10,-0.03938034589847044,0.057237327163953716,0.9613849807648458,0.8593633576239019,1.0755183742017578,0.4914410663063964
"C(histology_grouped, Treatment(reference='PTC'))[T.MTC-like]",0.011105358352245423,0.5369098374962623,1.0111672517482337,0.353024229326487,2.8962862208034905,0.9834978583234898
"C(ete_group, Treatment(reference='Microscopic ETE'))[T.No/negative ETE]",0.024741331978553868,0.3996756457163545,1.0250499385893659,0.4683176194958094,2.243621279364367,0.9506396590407793
tumor_size_cm,0.06646124232688357,0.03962499414786314,1.0687195421898015,0.9888601932405232,1.1550282513804937,0.0934925157815503
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.N1a]",0.11731767152888134,0.22789754399094253,1.1244765871547873,0.7193888068432835,1.7576692645632632,0.6067050029762702
"C(vasc_clean, Treatment(reference='missing'))[T.indeterminate]",0.14607340399581564,0.7847055047239171,1.1572811339925895,0.2485972594914993,5.3874271415327915,0.8523266587803517
"C(ete_group, Treatment(reference='Microscopic ETE'))[T.Gross ETE]",0.3321377296770014,0.20048214121476193,1.3939448228621412,0.9410113793459441,2.064887005441653,0.09758118595054122
"C(sex_lc, Treatment(reference='female'))[T.male]",0.33249101241343737,0.19573510651209602,1.3944373665020622,0.9501430309170151,2.0464872191090504,0.0893797811198527
"C(vasc_clean, Treatment(reference='missing'))[T.extensive]",0.5695252503847048,0.39492276807440624,1.767427766572174,0.8150472828021214,3.832662197597566,0.14926907515872506
"C(vasc_clean, Treatment(reference='missing'))[T.focal]",0.6132711799168131,0.3448903643797031,1.8464616386340802,0.9392237780518167,3.6300407449428476,0.0753771378553825
"C(lvi_clean, Treatment(reference='missing'))[T.extensive]",0.6243549154938471,0.4797211714615316,1.8670411695481781,0.7291459923331521,4.780719863293334,0.19308892552055523
"C(vasc_clean, Treatment(reference='missing'))[T.present_ungraded]",0.6686157014629253,0.2800184344559222,1.9515339443435125,1.1272597131075466,3.378533528379185,0.01695159136087427
"C(histology_grouped, Treatment(reference='PTC'))[T.other]",1.2078096888915917,0.29430110224825373,3.346147516101704,1.8794705745010796,5.957370842310664,4.060796033651886e-05
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.N1b]",1.2878210367382295,0.3817921935613532,3.6248794650685174,1.7151869574716885,7.660827339571414,0.000743285167779062
rai_received_flag,1.5077270103309315,0.18666501497348825,4.51645326676598,3.132621844155952,6.511590330934817,6.628142749372525e-16
