note_type,source_sheet,source_column,row_count,unique_patients,avg_char_count,max_char_count
dc_sum,Sheet2,dc_sum_1,166,166,5313,29794
dc_sum,Sheet2,dc_sum_2,17,17,5228,21586
dc_sum,Sheet2,dc_sum_3,1,1,521,521
dc_sum,Sheet2,dc_sum_4,1,1,7246,7246
ed_note,Sheet2,ed_note_1,495,495,760,32767
ed_note,Sheet2,ed_note_2,3,3,9841,10997
endocrine_note,Sheet2,last_endocrine_fm_note,519,519,6527,32772
h_p,Sheet2,h_p_1,3973,3973,6702,32767
h_p,Sheet2,h_p_2,229,229,5498,14255
h_p,Sheet2,h_p_3,18,18,6652,17478
h_p,Sheet2,h_p_4,1,1,10805,10805
history_summary,Sheet1,thyroid_cx_history_summary,249,249,981,6360
op_note,Sheet2,opnote_1,4415,4415,4799,16396
op_note,Sheet2,opnote_2,246,246,4712,12476
op_note,Sheet2,opnote_3,18,18,5933,10299
op_note,Sheet2,opnote_4,1,1,5420,5420
other_history,Sheet2,other_history,525,525,2228,15963
other_notes,Sheet2,other_notes,160,160,1944,19503
