# generated_by,scripts/270b_phase_a_step_2_registry.py --execute,generated_at,2026-04-17T06:28:01.072314+00:00
cpm_col,resolved_feeder,match_method,source_set
ages_calculable_flag,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ages_score,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc7_m_stage,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc7_missing_components,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc7_n_stage,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc7_stage_calculable_flag,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc7_stage_group,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc7_t_stage,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_calculable_flag,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_m_stage,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_m_stage_v2,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_missing_components,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_n_stage,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_n_stage_note,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_n_stage_v2,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_stage_calculable_flag,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_stage_group,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_stage_group_corrected,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_stage_group_v2,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_t_stage,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_t_stage_calculable_flag,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_t_stage_corrected,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ajcc8_t_stage_v2,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ames_calculable_flag,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ames_risk,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ames_risk_group,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
any_fusion_positive_inferred_negative,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ata_calculable_flag,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ata_initial_risk,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ata_response_calculable_flag,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ata_response_category,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ata_response_is_provisional,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ata_risk_calculable_flag,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ata_risk_category,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
days_between_first_second_surgery_v2,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
distant_mets_proxy_v2,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
first_surgery_date_v2,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
macis_calculable_flag,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
macis_missing_components,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
macis_risk_group,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
macis_score,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
n_molecular_tests_v7,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
n_surgeries_v2,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
n_tumors_v10,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
ret_positive_v7_inferred_negative,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
second_surgery_date_v2,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
third_surgery_date_v2,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
total_ln_positive_v10,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
worst_ete_v10,build_pipeline,bucket_b_auto_build_pipeline,B_computed_score
