# generated_by,scripts/270b_phase_a_step_2_registry.py --dry-run,generated_at,2026-04-17T06:22:36.422106+00:00
cpm_col,reason_no_feeder,stage_attempts_json
any_disease_concern_flag,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
benign_rai_suspect_malignant,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
best_ene_grade,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
bmi_combined,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
bmi_missingness_reason,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
bmi_note_extracted,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
bmi_note_source,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""bmi_note"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
bmi_source,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""bmi"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
completion_prior_histology,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
completion_reason_confidence,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
