# generated_by,scripts/270c_phase_b_planning.py,generated_at,2026-04-17T06:46:38.421027+00:00
schema,name,object_type,row_count,disposition,identical_in_archive_pub_v1_0,identical_in_archive_legacy,proposed_target_name,justification
main,_specimen_path_surgery_link_v1,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name _specimen_synoptic_spine_v1 does not exist!
Did y); cannot recover content for migration"
main,_specimen_synoptic_spine_v1,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name path_synoptics_encounter_qc_v1 does not exist!
Di); cannot recover content for migration"
main,canonical_nodule_linkage_study_v1,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name imaging_fna_linkage_mm_v1 does not exist!
Did you); cannot recover content for migration"
main,longitudinal_lab_deduped_v,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,object not queryable (error: Binder Error: Contents of view were altered: types don't match! Expected [BIGINT); cannot recover content for migration
main,master_fact_long_verified_v1,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name canonical_extracted_fact_long_v2 does not exist!
); cannot recover content for migration"
main,master_patient_rollup_verified_v1,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name master_fact_long_verified_v1 does not exist!
Did ); cannot recover content for migration"
main,master_source_lineage_v1,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name master_fact_long_verified_v1 does not exist!
Did ); cannot recover content for migration"
main,molecular_fact_lineage_qa_duplicate_candidates_v,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name molecular_fact_long_base_v does not exist!
Did yo); cannot recover content for migration"
main,molecular_fact_long_base_v,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name canonical_extracted_fact_long_v2 does not exist!
); cannot recover content for migration"
main,molecular_fact_long_v,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name molecular_fact_long_base_v does not exist!
Did yo); cannot recover content for migration"
main,molecular_patient_rollup_v,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name molecular_results_contract_v does not exist!
Did ); cannot recover content for migration"
main,molecular_results_unified_v,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name molecular_fact_long_v does not exist!
Did you mea); cannot recover content for migration"
main,molecular_variant_contract_v,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name molecular_results_contract_v does not exist!
Did ); cannot recover content for migration"
main,mrn_crosswalk_v1,BASE TABLE,0,DROP_NO_RESTORE_VALUE,False,False,,empty base table (0 rows) in stray archive-DB schema — no clinical/audit value to preserve
main,serial_imaging_us,BASE TABLE,0,DROP_NO_RESTORE_VALUE,False,False,,empty base table (0 rows) in stray archive-DB schema — no clinical/audit value to preserve
main,v_fna_bethesda_episode_vs_resolved_v1,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,object not queryable (error: Catalog Error: Table with name v_fna_episode_bethesda_resolved_v1 does not exist); cannot recover content for migration
main,v_fna_bethesda_surface,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,object not queryable (error: Binder Error: Contents of view were altered: types don't match! Expected [INTEGE); cannot recover content for migration
main,v_fna_episode_bethesda_resolved_v1,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,object not queryable (error: Binder Error: Contents of view were altered: types don't match! Expected [INTEGE); cannot recover content for migration
main,v_fna_surgery_window,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name v_patient_surgery_timeline does not exist!
Did yo); cannot recover content for migration"
main,v_imaging_nodule_linkage_classification_v1,VIEW,,DROP_NO_RESTORE_VALUE,False,False,,"object not queryable (error: Catalog Error: Table with name imaging_fna_linkage_mm_v1 does not exist!
Did you); cannot recover content for migration"
main,analysis_cancer_cohort_v1,BASE TABLE,4136,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__analysis_cancer_cohort_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,analysis_molecular_subset_v1,BASE TABLE,10025,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__analysis_molecular_subset_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,analysis_recurrence_subset_v1,BASE TABLE,1946,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__analysis_recurrence_subset_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,analysis_tirads_subset_v1,BASE TABLE,3474,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__analysis_tirads_subset_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,canonical_benign_diagnosis_v1,BASE TABLE,6818,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__canonical_benign_diagnosis_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,canonical_diagnosis_unified_v1,BASE TABLE,11259,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__canonical_diagnosis_unified_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,canonical_malignant_diagnosis_v1,BASE TABLE,4441,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__canonical_malignant_diagnosis_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,canonical_molecular_tested_v1,BASE TABLE,1286,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__canonical_molecular_tested_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,canonical_recurrence_v1,BASE TABLE,10871,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__canonical_recurrence_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,canonical_survival_followup_v1,BASE TABLE,11504,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__canonical_survival_followup_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,clinical_note_ln_extracted_v1,BASE TABLE,7751,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__clinical_note_ln_extracted_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,clinical_notes_long,BASE TABLE,11050,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__clinical_notes_long_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,complication_patient_summary_v1,BASE TABLE,2892,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__complication_patient_summary_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,complication_phenotype_v1,BASE TABLE,5928,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__complication_phenotype_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,ct_imaging,BASE TABLE,7701,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__ct_imaging_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
