# generated_by,scripts/270d_stray_schema_migrate.py,generated_at,2026-04-17T07:36:53.491861+00:00
schema,name,object_type,source_row_count,source_column_count,target_name,target_fq,view_ddl_preserved,view_materialized_target,elapsed_seconds,status,error
main,analysis_cancer_cohort_v1,BASE TABLE,4136,137,main__analysis_cancer_cohort_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__analysis_cancer_cohort_v1_20260417T073708Z""",False,,1.55,OK,
main,analysis_recurrence_subset_v1,BASE TABLE,1946,133,main__analysis_recurrence_subset_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__analysis_recurrence_subset_v1_20260417T073708Z""",False,,1.08,OK,
main,analysis_tirads_subset_v1,BASE TABLE,3474,131,main__analysis_tirads_subset_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__analysis_tirads_subset_v1_20260417T073708Z""",False,,1.02,OK,
main,data_dictionary_v221,BASE TABLE,1374,8,main__data_dictionary_v221_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__data_dictionary_v221_20260417T073708Z""",False,,0.98,OK,
main,duckdb_columns,VIEW,51273,18,main__duckdb_columns_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_columns_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_columns_20260417T073708Z_view_materialized""",2.24,OK,
main,duckdb_constraints,VIEW,18,15,main__duckdb_constraints_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_constraints_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_constraints_20260417T073708Z_view_materialized""",1.2,OK,
main,duckdb_databases,VIEW,4,8,main__duckdb_databases_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_databases_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_databases_20260417T073708Z_view_materialized""",1.25,OK,
main,duckdb_indexes,VIEW,0,14,main__duckdb_indexes_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_indexes_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_indexes_20260417T073708Z_view_materialized""",1.2,OK,
main,duckdb_schemas,VIEW,6,8,main__duckdb_schemas_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_schemas_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_schemas_20260417T073708Z_view_materialized""",1.61,OK,
main,duckdb_tables,VIEW,526,16,main__duckdb_tables_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_tables_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_tables_20260417T073708Z_view_materialized""",1.41,OK,
main,duckdb_types,VIEW,439,13,main__duckdb_types_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_types_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_types_20260417T073708Z_view_materialized""",1.11,OK,
main,duckdb_views,VIEW,125,12,main__duckdb_views_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_views_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_views_20260417T073708Z_view_materialized""",1.15,OK,
main,episode_completeness_summary_v,VIEW,4,3,main__episode_completeness_summary_v_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__episode_completeness_summary_v_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__episode_completeness_summary_v_20260417T073708Z_view_materialized""",0.98,OK,
main,event_date_audit_v2,BASE TABLE,61055,8,main__event_date_audit_v2_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__event_date_audit_v2_20260417T073708Z""",False,,1.62,OK,
main,fna_molecular_linkage_v3,BASE TABLE,809,15,main__fna_molecular_linkage_v3_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__fna_molecular_linkage_v3_20260417T073708Z""",False,,1.01,OK,
main,gold_master_episode_events_v1,VIEW,9368,46,main__gold_master_episode_events_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__gold_master_episode_events_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__gold_master_episode_events_v1_20260417T073708Z_view_materialized""",1.17,OK,
