column_name,candidate_origin_scripts,needs_manual_assignment
age_at_surgery,02_build_duckdb_full.py; 02b_register_notes_entities.py; 03_research_views.py; 07_phase3_genetics_specimen.py; 100_canonical_metrics_registry.py,True
ajcc8_t_stage_with_microete_t3b_DEPRECATED,266b_per_tumor_ajcc_buildout.py; 266c_wide_format_slots_and_renames.py; 274_canonical_cleanup_phase4.py; 278_canonical_cleanup_phase3_2_and_4_6.py,True
alk_positive_v7,207_canonical_master_expansion.py,True
anti_tg_nadir,207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py; 53_longitudinal_lab_hardening.py,True
anti_tg_rising_flag,207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py; 53_longitudinal_lab_hardening.py,True
any_confirmed_complication_flag,207_canonical_master_expansion.py; 235_parathyroid_calcium_fix.py; 256_rebuild_confirmed_complication_flag.py; 259_final_verification_lock.py; 264_final_acceptance_addendum.py,True
bethesda_2010,205_canonical_consolidation.py,True
bethesda_2015,205_canonical_consolidation.py,True
bethesda_2023,205_canonical_consolidation.py,True
bethesda_confidence,207_canonical_master_expansion.py; 51_thyroid_scoring_systems.py; 51b_thyroid_scoring_python.py,True
bethesda_derivation_methods,268_bethesda_semantics.py; 269_post_validation.py; 270b_phase_a_preflight_audit.py,True
bethesda_final_name,115_path_outcome_classification.py; 207_canonical_master_expansion.py; 51b_thyroid_scoring_python.py,True
bethesda_index_nodule,268_bethesda_semantics.py; 270a_phase0_audit_backfill.py; 270b_phase_a_preflight_audit.py,True
bethesda_index_nodule_linkage_source,268_bethesda_semantics.py; 270b_phase_a_preflight_audit.py,True
bethesda_max_preop_2010,268_bethesda_semantics.py; 270a_phase0_audit_backfill.py; 270b_phase_a_preflight_audit.py,True
bethesda_max_preop_2015,268_bethesda_semantics.py; 270b_phase_a_preflight_audit.py,True
bethesda_max_preop_2023,268_bethesda_semantics.py; 270b_phase_a_preflight_audit.py,True
bethesda_num,03_research_views.py; 207_canonical_master_expansion.py; 51b_thyroid_scoring_python.py; 59_dataset_summary.py,True
bethesda_source,207_canonical_master_expansion.py; 51_thyroid_scoring_systems.py; 51b_thyroid_scoring_python.py,True
bilateral_path_flag,228_registry_backfill.py; 271b_laterality_normalization.py,True
biochemical_concern_first_date,224_canonical_etl_fixes.py; 250_registry_pointer_rebuild.py,True
biochemical_concern_flag,224_canonical_etl_fixes.py,True
biochemical_tg_at_recurrence,203_canonical_recurrence.py; 204_canonical_master_assembly.py; 205_canonical_consolidation.py; 250_registry_pointer_rebuild.py,True
biochemical_tg_nadir_after_surgery,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 250_registry_pointer_rebuild.py,True
braf_detection_method,202_canonical_molecular_tested.py; 207_canonical_master_expansion.py; 210_database_audit_backup.py; 48_build_analysis_resolved_layer.py; 82_provenance_date_hardening.py,True
braf_positive,03_research_views.py; 100_canonical_metrics_registry.py; 12_update_streamlit_dashboard.py; 204_canonical_master_assembly.py; 205_canonical_consolidation.py,True
braf_positive_v7,207_canonical_master_expansion.py; 46_provenance_audit.py,True
braf_source,207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py,True
braf_status_v7,207_canonical_master_expansion.py,True
braf_variant,111_llm_extraction_validation.py; 204_canonical_master_assembly.py; 205_canonical_consolidation.py; 22_canonical_episodes_v2.py; 269_backfill_molecular_episodes.py,True
braf_variant_raw,202_canonical_molecular_tested.py; 204_canonical_master_assembly.py; 205_canonical_consolidation.py; 48_build_analysis_resolved_layer.py,True
calcium_nadir,207_canonical_master_expansion.py; 210_database_audit_backup.py; 235_parathyroid_calcium_fix.py; 250_registry_pointer_rebuild.py; 48_build_analysis_resolved_layer.py,True
calcium_nadir_days_postop,207_canonical_master_expansion.py,True
calcium_supplement_required,207_canonical_master_expansion.py; 215_deep_nlp_entity_integration.py; 235_parathyroid_calcium_fix.py; 48_build_analysis_resolved_layer.py; 52_complication_phenotyping_v2.py,True
capsular_any_present_path,231_update_canonical_master.py,True
capsular_invasion_refined,03_research_views.py; 207_canonical_master_expansion.py; 221b_final_gap_resolution.py,True
capsular_invasion_v6,207_canonical_master_expansion.py,True
capsular_ordinal_worst,,True
chyle_leak_status,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 235_parathyroid_calcium_fix.py; 48_build_analysis_resolved_layer.py; 52_complication_phenotyping_v2.py,True
closest_margin_mm,03_research_views.py; 204_canonical_master_assembly.py; 205_canonical_consolidation.py; 213_data_dictionary.py; 29_validation_engine.py,True
closest_margin_mm_max,,True
closest_margin_mm_min,,True
comp_chyle_leak_days_postop_v2,,True
comp_chyle_leak_suspected,,True
comp_chyle_leak_timing_window,,True
comp_chyle_leak_treatment_req,,True
comp_hematoma_days_postop_v2,,True
comp_hematoma_suspected,,True
comp_hematoma_timing_window,,True
comp_hematoma_treatment_req,,True
comp_hypocalcemia_days_postop_v2,,True
comp_hypocalcemia_evidence_source,235_parathyroid_calcium_fix.py,True
comp_hypocalcemia_suspected,,True
comp_hypocalcemia_timing_window,,True
comp_hypocalcemia_treatment_req,,True
comp_hypopara_permanent_limitation_note,235_parathyroid_calcium_fix.py; 273_canonical_cleanup_phase2_3.py,True
comp_hypopara_permanent_source,273_canonical_cleanup_phase2_3.py; 277_canonical_cleanup_phase7_verification.py,True
comp_hypoparathyroidism_days_postop_v2,,True
comp_hypoparathyroidism_suspected,,True
comp_hypoparathyroidism_timing_window,,True
comp_hypoparathyroidism_treatment_req,,True
comp_rln_injury_days_postop_v2,,True
comp_rln_injury_suspected,,True
comp_rln_injury_timing_window,,True
comp_rln_injury_treatment_req,,True
comp_seroma_days_postop_v2,,True
comp_seroma_suspected,,True
comp_seroma_timing_window,,True
comp_seroma_treatment_req,,True
comp_vc_paralysis_days_postop_v2,,True
comp_vc_paralysis_suspected,,True
comp_vc_paralysis_timing_window,,True
comp_vc_paralysis_treatment_req,,True
comp_vc_paresis_days_postop_v2,,True
comp_vc_paresis_suspected,,True
comp_vc_paresis_timing_window,,True
comp_vc_paresis_treatment_req,,True
comp_voice_permanence_noted,211_canonical_gap_fill.py,True
comp_voice_resolution_noted,211_canonical_gap_fill.py,True
comp_wound_infection_days_postop_v2,,True
comp_wound_infection_suspected,,True
comp_wound_infection_timing_window,,True
comp_wound_infection_treatment_req,,True
cpm_built_at,276_canonical_cleanup_phase6_provenance.py; 277_canonical_cleanup_phase7_verification.py,True
ct_airway_comment_last,219_imaging_gap_resolution.py,True
ct_airway_compromise_any,219_imaging_gap_resolution.py,True
ct_contrast_first,219_imaging_gap_resolution.py,True
ct_exam_type_first,219_imaging_gap_resolution.py,True
ct_first_date,219_imaging_gap_resolution.py; 221_final_database_consolidation.py,True
ct_first_days_from_surg,,True
ct_goiter_present_any,207_canonical_master_expansion.py,True
ct_indication_first,219_imaging_gap_resolution.py,True
ct_indication_last,219_imaging_gap_resolution.py,True
ct_largest_ln_short_axis_mm,207_canonical_master_expansion.py; 219_imaging_gap_resolution.py,True
ct_last_date,219_imaging_gap_resolution.py,True
ct_last_days_from_surg,,True
ct_ln_details_last,219_imaging_gap_resolution.py,True
ct_ln_enlarged_any,207_canonical_master_expansion.py,True
ct_ln_locations_last,219_imaging_gap_resolution.py,True
ct_pathologic_ln_any,219_imaging_gap_resolution.py,True
ct_thyroid_details_last,219_imaging_gap_resolution.py,True
ct_thyroid_enlarged_any,219_imaging_gap_resolution.py,True
ct_thyroid_heterogeneous_any,219_imaging_gap_resolution.py,True
ct_thyroid_nodule_any,219_imaging_gap_resolution.py,True
ct_thyroid_normal_any,219_imaging_gap_resolution.py,True
ct_thyroid_not_visualized_any,219_imaging_gap_resolution.py,True
ct_thyroid_other_abnormality_any,219_imaging_gap_resolution.py,True
ct_thyroid_postsurgical_any,219_imaging_gap_resolution.py,True
ct_tracheal_narrowing_any,207_canonical_master_expansion.py,True
date_traceability_status,207_canonical_master_expansion.py; 250_registry_pointer_rebuild.py; 29_validation_engine.py; 46_provenance_audit.py; 48_build_analysis_resolved_layer.py,True
days_first_to_last_tg,113_tg_lab_ingestion.py; 207_canonical_master_expansion.py,True
death_days_from_surg,,True
death_integration_script,221a_death_date_integration.py,True
death_occurred,210_database_audit_backup.py; 221a_death_date_integration.py; 233_canonical_finalization.py; 233_phase0c_derivation.py,True
death_source,221a_death_date_integration.py,True
demo_confidence,207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py,True
demo_source,207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py,True
earliest_complication_days,207_canonical_master_expansion.py; 235_parathyroid_calcium_fix.py; 250_registry_pointer_rebuild.py; 52_complication_phenotyping_v2.py,True
eif1ax_positive,207_canonical_master_expansion.py,True
