detail_table_name,feed_col,resolves_bool,auto_repaired_bool,repair_mode,repair_source_name
build_pipeline,ajcc8_t_stage_corrected,False,False,,
build_pipeline,n_molecular_tests_v7,False,False,,
extracted_tirads_validated_v1,echogenicity,False,False,,
extracted_tirads_validated_v1,margin,False,False,,
extracted_tirads_validated_v1,shape,False,False,,
note_entities_complications,comp_* upstream,False,False,,
note_entities_llm_cervical_ln_detail,cnln_* columns,False,False,,
note_entities_llm_past_medical_hx,HTN,False,False,,
note_entities_llm_past_medical_hx,obesity,False,False,,
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,False,False,,
note_entities_llm_past_medical_hx,radiation,False,False,,
note_entities_llm_past_surgical_hx,FNA,False,False,,
note_entities_llm_presenting_symptoms,dysphagia,False,False,,
note_entities_operative_detail,op_nlp_* columns,False,False,,
note_entities_problem_list,pmhx_nlp_* columns (indirectly),False,False,,
nsqip_patient_summary,nsqip_* columns (full set of 80+),False,False,,
operative_episode_detail_v2,op_* columns,False,False,,
path_synoptics,syn_* columns (~50),False,False,,
