detail_table_name,wildcard_feed_col,like_pattern,match
operative_episode_detail_v2,op_* columns,op_%,op_drain_placed_any
operative_episode_detail_v2,op_* columns,op_%,op_esophageal_inv_any
operative_episode_detail_v2,op_* columns,op_%,op_findings_summary
operative_episode_detail_v2,op_* columns,op_%,op_intraop_gross_ete_any
operative_episode_detail_v2,op_* columns,op_%,op_local_invasion_any
operative_episode_detail_v2,op_* columns,op_%,op_n_surgeries_with_findings
operative_episode_detail_v2,op_* columns,op_%,op_nlp_berry_ligament_date
operative_episode_detail_v2,op_* columns,op_%,op_nlp_berry_ligament_days_from_surg
operative_episode_detail_v2,op_* columns,op_%,op_nlp_berry_ligament_dissected
operative_episode_detail_v2,op_* columns,op_%,op_nlp_berry_ligament_mentioned
operative_episode_detail_v2,op_* columns,op_%,op_nlp_berry_ligament_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_nlp_drain_date
operative_episode_detail_v2,op_* columns,op_%,op_nlp_drain_days_from_surg
operative_episode_detail_v2,op_* columns,op_%,op_nlp_drain_placed
operative_episode_detail_v2,op_* columns,op_%,op_nlp_drain_placed_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_nlp_ebl_date
operative_episode_detail_v2,op_* columns,op_%,op_nlp_ebl_days_from_surg
operative_episode_detail_v2,op_* columns,op_%,op_nlp_ebl_ml
operative_episode_detail_v2,op_* columns,op_%,op_nlp_ebl_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_nlp_esophageal_involvement
operative_episode_detail_v2,op_* columns,op_%,op_nlp_esophageal_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_nlp_extraction_method
operative_episode_detail_v2,op_* columns,op_%,op_nlp_gross_invasion
operative_episode_detail_v2,op_* columns,op_%,op_nlp_intraop_complication
operative_episode_detail_v2,op_* columns,op_%,op_nlp_intraop_complication_date
operative_episode_detail_v2,op_* columns,op_%,op_nlp_intraop_complication_days_from_surg
operative_episode_detail_v2,op_* columns,op_%,op_nlp_intraop_complication_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_nlp_n_source_notes
operative_episode_detail_v2,op_* columns,op_%,op_nlp_nerve_monitoring_date
operative_episode_detail_v2,op_* columns,op_%,op_nlp_nerve_monitoring_days_from_surg
operative_episode_detail_v2,op_* columns,op_%,op_nlp_nerve_monitoring_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_nlp_nerve_monitoring_type
operative_episode_detail_v2,op_* columns,op_%,op_nlp_nerve_monitoring_used
operative_episode_detail_v2,op_* columns,op_%,op_nlp_note_types
operative_episode_detail_v2,op_* columns,op_%,op_nlp_parathyroid_autograft
operative_episode_detail_v2,op_* columns,op_%,op_nlp_parathyroid_autograft_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_nlp_parathyroid_date
operative_episode_detail_v2,op_* columns,op_%,op_nlp_parathyroid_days_from_surg
operative_episode_detail_v2,op_* columns,op_%,op_nlp_parathyroid_managed
operative_episode_detail_v2,op_* columns,op_%,op_nlp_parathyroid_managed_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_nlp_reoperative_field
operative_episode_detail_v2,op_* columns,op_%,op_nlp_reoperative_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_nlp_rln_finding
operative_episode_detail_v2,op_* columns,op_%,op_nlp_rln_finding_date
operative_episode_detail_v2,op_* columns,op_%,op_nlp_rln_finding_days_from_surg
operative_episode_detail_v2,op_* columns,op_%,op_nlp_rln_finding_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_nlp_strap_muscle_involved
operative_episode_detail_v2,op_* columns,op_%,op_nlp_strap_muscle_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_nlp_tracheal_involvement
operative_episode_detail_v2,op_* columns,op_%,op_nlp_tracheal_n_mentions
operative_episode_detail_v2,op_* columns,op_%,op_parathyroid_autograft_any
operative_episode_detail_v2,op_* columns,op_%,op_reoperative_any
operative_episode_detail_v2,op_* columns,op_%,op_rln_monitoring_any
