column_name,data_type,ordinal_position,domain
age_at_surgery,BIGINT,1,Core/Other
ages_calculable_flag,BOOLEAN,2,Core/Other
ages_score,DOUBLE,3,Core/Other
aggressive_variant_flag,BOOLEAN,4,Core/Other
ajcc8_calculable_flag,BOOLEAN,5,Core/Other
ajcc8_m_stage,VARCHAR,6,Core/Other
ajcc8_missing_components,VARCHAR,7,Core/Other
ajcc8_n_stage,VARCHAR,8,Core/Other
ajcc8_stage_calculable_flag,BOOLEAN,9,Core/Other
ajcc8_stage_group,VARCHAR,10,Core/Other
ajcc8_t_stage,VARCHAR,11,Core/Other
ajcc8_t_stage_calculable_flag,BOOLEAN,12,Core/Other
alk_positive_v7,BOOLEAN,13,Core/Other
ames_calculable_flag,BOOLEAN,14,Core/Other
ames_risk,VARCHAR,15,Core/Other
ames_risk_group,VARCHAR,16,Core/Other
analysis_eligible_flag,BOOLEAN,17,Core/Other
anti_tg_nadir,DOUBLE,18,Core/Other
anti_tg_rising_flag,BOOLEAN,19,Core/Other
any_analysis_eligible_complication,BOOLEAN,20,Core/Other
any_confirmed_complication,BOOLEAN,21,Core/Other
any_confirmed_complication_flag,BOOLEAN,22,Core/Other
any_fusion_positive,BOOLEAN,23,Core/Other
any_recurrence_flag,BOOLEAN,24,Core/Other
ata_calculable_flag,BOOLEAN,25,Core/Other
ata_initial_risk,VARCHAR,26,Core/Other
ata_response_calculable_flag,BOOLEAN,27,Core/Other
ata_response_category,VARCHAR,28,Core/Other
ata_response_is_provisional,BOOLEAN,29,Core/Other
ata_risk_calculable_flag,BOOLEAN,30,Core/Other
ata_risk_category,VARCHAR,31,Core/Other
best_ene_grade,VARCHAR,32,Core/Other
bethesda_2010,BIGINT,33,Core/Other
bethesda_2015,BIGINT,34,Core/Other
bethesda_2023,BIGINT,35,Core/Other
bethesda_category,VARCHAR,36,Core/Other
bethesda_confidence,DOUBLE,37,Core/Other
bethesda_final,BIGINT,38,Core/Other
bethesda_final_name,VARCHAR,39,Core/Other
bethesda_num,DOUBLE,40,Core/Other
bethesda_source,VARCHAR,41,Core/Other
bilateral_disease_flag,BOOLEAN,42,Core/Other
biochemical_recurrence_flag,BOOLEAN,43,Core/Other
biochemical_tg_at_recurrence,DOUBLE,44,Core/Other
biochemical_tg_nadir_after_surgery,DOUBLE,45,Core/Other
bmi_combined,DOUBLE,46,Core/Other
bmi_note_extracted,DOUBLE,47,Core/Other
bmi_note_source,VARCHAR,48,Core/Other
bmi_source,VARCHAR,49,Core/Other
braf_detection_method,VARCHAR,50,Core/Other
braf_detection_method_v11,VARCHAR,51,Core/Other
braf_positive,BOOLEAN,52,Core/Other
braf_positive_final,BOOLEAN,53,Core/Other
braf_positive_v7,BOOLEAN,54,Core/Other
braf_recovered_status_v11,VARCHAR,55,Core/Other
braf_recovered_variant_v11,VARCHAR,56,Core/Other
braf_source,VARCHAR,57,Core/Other
braf_status_v7,VARCHAR,58,Core/Other
braf_variant,VARCHAR,59,Core/Other
calcium_nadir,DOUBLE,60,Core/Other
calcium_nadir_30d,DOUBLE,61,Core/Other
calcium_nadir_days_postop,INTEGER,62,Core/Other
calcium_supplement_required,BOOLEAN,63,Core/Other
capsular_invasion_refined,VARCHAR,64,Core/Other
capsular_invasion_v6,VARCHAR,65,Core/Other
chyle_leak_status,VARCHAR,66,Core/Other
closest_margin_mm,DOUBLE,67,Core/Other
comp_chyle_leak_confirmed,BOOLEAN,68,Complications
comp_chyle_leak_days_postop,BIGINT,69,Complications
comp_chyle_leak_evidence_tier,INTEGER,70,Complications
comp_chyle_leak_permanent,BOOLEAN,71,Complications
