histology_final,n_patients
PTC,3075
follicular carcinoma,486
MTC,149
metastatic PTC,144
NIFTP,117
poorly differentiated thyroid carcinoma,37
FTUMP,34
anaplastic carcinoma,22
differentiated high grade thyroid carcinoma,10
metastatic MTC,10
recurrent/metastatic PTC,5
metastatic PTC tall cell variant,5
follicular adenoma,5
metastatic PTC classical,4
metastatic thyroid carcinoma,4
metastatic PTC with tall cell features,4
metastatic follicular carcinoma,3
recurrent/metastatic follicular carcinoma,2
metastatic PTC follicular,2
metastatic thyroid carcinoma with hurthle cell and paillary features,1
angiosarcoma of the thyroid,1
metastatic anaplastic carcinoma,1
metastatic PTC with focal tall cell features,1
poorly differentiated PTC,1
metastatic PTC/anaplastic carcinoma,1
infiltrating carcinoma with thymus-like differentiation,1
Atypical hurthle cell neoplasm,1
metastatic PTC classical with extensive follicular growth pattern & oncocytic & focal tall cell features <5%,1
differentiated thyroid carcinoma,1
high grade carcinoma with focal squamous features,1
recurrent MTC,1
poorly differentiated carcinoma with neuroendocrine differntiation,1
atypical follicular adenoma,1
high-grade PTC with thymic-like features,1
adenoid cystic carcinoma,1
metastatic PTC classical with focal tall cell features,1
MTC/PTC mixed composite,1
NUT carcinoma,1
