# generated_by,scripts/271_v1_0_publication_snapshot.py,generated_at,2026-04-17T08:01:04.269224+00:00
table_name,row_count,parquet_bytes,sha256,exported_at
__readme,114,3192,939524aa58e29770e2fa37de9d32be184fc8dcb782395936fa3979f457dddba1,2026-04-17T08:01:04.621922+00:00
_molecular_patient_rollup_v227,10025,27585,25089031548c9e19a68d9dd6836a5388c0c9f9b6820a7e2a087d621a88e9fdf0,2026-04-17T08:01:04.752850+00:00
analysis_molecular_subset_v1,10025,333217,79291c38a17a9cdc59eb18068c768f274217a584978f02463d24dbf83571036a,2026-04-17T08:01:05.534103+00:00
canonical_benign_diagnosis_v1,6818,310779,38cad4175998ec9484db7c8bdefdba48cdbb45e92b7685c5a3197eae0145f2ee,2026-04-17T08:01:05.847176+00:00
canonical_diagnosis_unified_v1,11028,43597,1022b135c1a95aed29206f6a21ddd090f2238472443c0c564b7fb7273905cad5,2026-04-17T08:01:05.946599+00:00
canonical_malignant_diagnosis_v1,4441,25231,1461453286e6b1e2c60eee7169ede13f8293fcc7beca6c7691d51817e571b9f4,2026-04-17T08:01:06.039774+00:00
canonical_molecular_tested_v1,1286,16061,9f566c6c2425e2abb6541b05db5112ce3a55f88ac79e37d6bc479dd1e5e17b02,2026-04-17T08:01:06.190428+00:00
canonical_patient_master,10871,4008755,1ed348f583aadffc03285032a4b0169dc5f19e70b61637e6367b43a634a45ec6,2026-04-17T08:01:11.413923+00:00
canonical_recurrence_v1,10871,65333,e62055a64002bc025031fe46cd1e09b8a62f6e02941ceda727c7265b3ca8038c,2026-04-17T08:01:11.567256+00:00
canonical_survival_followup_v1,11504,192944,4887e69adff78643a4f9b32afdd18a9093ec9b16c7f6275ae8692692bc6954b7,2026-04-17T08:01:11.778149+00:00
canonical_tumor_characteristics_v1,11106,537822,61150a71777f2719c3bbb23b85f2cd0b5fff89706022efb6b42d6f17f8f1b65a,2026-04-17T08:01:12.255814+00:00
canonical_us_nodule_characteristics_v1,37016,1750507,17e00f4b86076e32350480cecfc9c356c1c35406d5b006001616a66074213a87,2026-04-17T08:01:13.483116+00:00
clinical_note_ln_extracted_v1,7751,357299,b6ac01b7bf9aa136a8a4e4a01f929e2c2be7d81bcba37f91d3a0f5d132e0e8cc,2026-04-17T08:01:13.828470+00:00
clinical_notes_long,11050,9955137,c2d601c14fb5b8c2a82fb6a60dc1edb5584abf79d635c41b550c26165b09f614,2026-04-17T08:01:19.948317+00:00
complication_patient_summary_v1,2938,11687,9487b6ee8327a21e47d5ac4290599ee30737460cb4ac8a8889d7edcba66b6da4,2026-04-17T08:01:20.037394+00:00
complication_phenotype_v1,5978,46315,138616dc49eedcec6071cef98078ae3103d32a6ad483c436e23e0bff45cee889,2026-04-17T08:01:20.382899+00:00
ct_imaging,7701,4605710,6d26bce648d40074de972d5291026219680c04defd0d172f05216de6e08aae6e,2026-04-17T08:01:23.466713+00:00
data_dictionary_v240,1529,25464,f52780108085cb83c132e04f918ebf9578f5adf4d9102781686d3d7254dfa4f1,2026-04-17T08:01:23.573772+00:00
episode_analysis_resolved_v1_dedup,9368,124947,be197925324af8972719bb9846973b5c48fc0858a2e508ebd48e5f4da3a2f1a7,2026-04-17T08:01:23.793348+00:00
ete_adjudication_v1,45,22687,de129e03b5309538411543df4d349a1f3f252290007cddfde399e3eb6233e514,2026-04-17T08:01:23.880186+00:00
extracted_braf_recovery_v1,730,3684,3534451fbcc9c8f14bcc8b220e2799f3b0f2561876086528daaf77ee53f52cb4,2026-04-17T08:01:24.037034+00:00
extracted_complications_refined_v5,358,4331,11ff6b2e6c42c32f07eff640d46f70953fa8ffc20ea88dac03c665a6fd6d1ce0,2026-04-17T08:01:24.107765+00:00
extracted_ete_subgraded_v1,3558,7313,7306335ddc346edcd31686e2edbbcd7ae70b6de5ed82a8bc5a0ac5dc4406e5e1,2026-04-17T08:01:24.191442+00:00
extracted_fna_bethesda_v1,5249,51230,72cd5c0e4139564c5b0c6dc9ba5c76a562d7e0551ef0ba872b591eb941fd1eb6,2026-04-17T08:01:24.285319+00:00
extracted_postop_labs_expanded_v1,1395,19109,79be2e27d8c80e17bcc1032dfcf0089650afb41c558f13c9a46c495b5d25859c,2026-04-17T08:01:24.445795+00:00
