# generated_by,scripts/271_v1_0_publication_snapshot.py,generated_at,2026-04-17T08:01:04.269224+00:00
table_name,row_count,parquet_bytes,sha256,exported_at
__conventions,16,9194,cdeed00a02c69800652c027427e94c9e3edf3d10ebb2501ef2edf317c7b5bab8,2026-04-17T08:02:04.799094+00:00
collision_resolution_v265,88,6764,7edfce876d65a53d9c0b948d1328bfff6694228de158751ea538240a4ec81e86,2026-04-17T08:02:04.943034+00:00
cpm_cols_unmapped_review_v265,223,4352,a714b380330ce79b9d58e928886e85847c014fd45ba793df053d10ca4c72b167,2026-04-17T08:02:05.010763+00:00
cpm_unmapped_triage_v265,223,5160,0494ea7a4f831259cd197f07feff15bc97214b39f488088b7f121ea6f2d7ce42,2026-04-17T08:02:05.433437+00:00
detail_table_registry_v1,117,24635,36d3cc0b8b4fd57d1f57b3f9d45b5b9b03eded4d18e7d4808fe326f0a327b417,2026-04-17T08:02:05.518091+00:00
fusion_flag_unparsed_review_v265,16,2166,4fa3632de261692f68ec12a5b4dca1abb9d88faa1a9c10be0b74062e40aac795,2026-04-17T08:02:05.591325+00:00
fusion_parse_error_review_v265,632,65823,cf1f02bc41f2b7078db4a563ef036eed821c0205d4b3936ea2f3291618ffa79e,2026-04-17T08:02:05.689055+00:00
lab_orphan_cohort_review_v1,403,9514,c34ff589ca98af7cb58ef89378d4a716c3a669069ce137230dbc8d593a2be2bb,2026-04-17T08:02:05.753755+00:00
legacy_column_sweep_v1_1,5,1961,65b3e78727b4a6a7f8ee78e9ea1e3eb925a8a04e1cd98bb3ca42595a4f7596fd,2026-04-17T08:02:05.971146+00:00
main_schema_keep_list_v1,2,2745,11264b52ca338515d5c02625b87ef9186f6450f54addb490c2fa9bf641539d85,2026-04-17T08:02:06.045182+00:00
manuscript_dive_map_v1,63,5250,3799254dad7b08d4dcd4c77be1c72e2a9169606099b9f171be7dc0f25dc17f42,2026-04-17T08:02:06.114737+00:00
manuscript_feasibility_v1,83,9866,75fc46375da53e14da31a439d4675889bf0b4168897142de6ca43f1baac27bad,2026-04-17T08:02:06.188110+00:00
nan_string_audit_v1_1,476,7564,8cdcf3ab20908a12dfebc84606b5b88faec53f9e5643574165f2df714d898e54,2026-04-17T08:02:06.344703+00:00
nlp_rollup_promotion_audit_v1,18,2765,0fd56f383374a9a74949111e3eebb6e771d0b1f81f1f487631bdf8f217c8c280,2026-04-17T08:02:06.502812+00:00
registry_normalization_review_v1_1,116,16213,00f67ab4c1864e94c6c824fbe045b754406190e0516b4de0cd9997278615d893,2026-04-17T08:02:06.571890+00:00
v1_1_finalization_audit_v1,48,8736,569305bd599f023c5a7835a45ffb11e59e62fe7acddc75d669bc2e0351e89c3f,2026-04-17T08:02:06.654582+00:00
v1_1_tech_debt_v1,3,6137,03b3384c1b83f3144da86f2967515ba6be40d0a9c06cff97c380cc270085e317,2026-04-17T08:02:06.723418+00:00
vc_paralysis_recalibration_v236,59,1554,916a662cab20bee3db1959dcfb72ac48870c2deb120c63aa683c9fb55e83b495,2026-04-17T08:02:06.801130+00:00
