predictor,hr,ci_lo,ci_hi,p_value,log_hr,se
Age (per year),0.993,0.987,0.999,0.0242,-0.007,0.003
Male sex,1.12,0.911,1.376,0.2829,0.113,0.105
ETE microscopic vs none,1.166,0.655,2.077,0.6018,0.154,0.295
ETE gross vs none,1.319,0.694,2.506,0.3981,0.277,0.327
T3-T4 vs T1-T2,1.056,0.737,1.514,0.7668,0.054,0.184
N1 vs N0,1.1,0.902,1.34,0.346,0.095,0.101
BRAF positive,1.232,0.889,1.707,0.2104,0.208,0.166
Total thyroidectomy,0.354,0.296,0.425,<0.0001,-1.037,0.093
RAI received,1.476,1.186,1.839,0.0005,0.39,0.112
Tumor size (per cm),1.129,1.078,1.182,<0.0001,0.121,0.024
