ete_strata,n_total,time_years,survival,ci_lo,ci_hi,n_at_risk,cumulative_events
none,106,0.5,0.8887,,,81,11
none,106,1.0,0.8887,,,76,11
none,106,2.0,0.7884,,,57,19
none,106,3.0,0.7263,,,45,23
none,106,5.0,0.6397,,,35,28
none,106,7.0,0.6026,,,27,30
none,106,10.0,0.5794,,,18,31
none,106,15.0,0.5794,,,11,31
microscopic,1594,0.5,0.8959,,,1240,159
microscopic,1594,1.0,0.8756,,,1060,185
microscopic,1594,2.0,0.8619,,,846,200
microscopic,1594,3.0,0.8484,,,700,212
microscopic,1594,5.0,0.83,,,508,225
microscopic,1594,7.0,0.8144,,,425,234
microscopic,1594,10.0,0.8061,,,269,238
microscopic,1594,15.0,0.8023,,,127,239
gross,978,0.5,0.9075,,,790,86
gross,978,1.0,0.871,,,675,116
gross,978,2.0,0.8222,,,527,150
gross,978,3.0,0.8019,,,428,162
gross,978,5.0,0.777,,,304,173
gross,978,7.0,0.7507,,,140,181
gross,978,10.0,0.6793,,,67,191
gross,978,15.0,0.6655,,,28,192
