registry_domain,parquet_stem,canonical_target,note_scope,linkage_anchor_family,qa_tier,tier,parquet_on_disk,parquet_path,md_stage_table,classification
staging,note_entities_staging,note_entities_staging,all,pathology,critical,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/note_entities_staging.parquet,main.note_entities_staging,standalone
genetics,note_entities_genetics,note_entities_genetics,all,molecular,critical,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/note_entities_genetics.parquet,main.note_entities_genetics,standalone
procedures,note_entities_procedures,note_entities_procedures,all,operative,standard,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/note_entities_procedures.parquet,main.note_entities_procedures,standalone
operative_detail,note_entities_operative_detail,note_entities_operative_detail,op_note,operative,standard,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/note_entities_operative_detail.parquet,main.note_entities_operative_detail,standalone
complications,note_entities_complications,note_entities_complications,all,operative,critical,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/note_entities_complications.parquet,main.note_entities_complications,standalone
medications,note_entities_medications,note_entities_medications,all,followup,standard,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/note_entities_medications.parquet,main.note_entities_medications,standalone
problem_list,note_entities_problem_list,note_entities_problem_list,all,demographics,informational,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/note_entities_problem_list.parquet,main.note_entities_problem_list,standalone
llm,note_entities_llm,note_entities_llm,all,audit,debug,v1_debug,False,,main.note_entities_llm,audit-only
imaging,note_entities_llm_imaging,note_entities_llm_imaging,all,imaging,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_imaging.parquet,v2_stage.note_entities_llm_imaging,standalone
tirads_granular,note_entities_llm_tirads_granular,note_entities_llm_tirads_granular,all,imaging,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_tirads_granular.parquet,v2_stage.note_entities_llm_tirads_granular,standalone
us_nodule_dynamics,note_entities_llm_us_nodule_dynamics,note_entities_llm_us_nodule_dynamics,all,imaging,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_us_nodule_dynamics.parquet,v2_stage.note_entities_llm_us_nodule_dynamics,standalone
labs,note_entities_llm_labs,note_entities_llm_labs,all,followup,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_labs.parquet,v2_stage.note_entities_llm_labs,standalone
tg_kinetics,note_entities_llm_tg_kinetics,note_entities_llm_tg_kinetics,all,followup,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_tg_kinetics.parquet,v2_stage.note_entities_llm_tg_kinetics,standalone
pathology,note_entities_llm_pathology,note_entities_llm_pathology,path_report,pathology,critical,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_pathology.parquet,v2_stage.note_entities_llm_pathology,standalone
synoptic_pathology_enrichment,note_entities_llm_synoptic_pathology_enrichment,note_entities_llm_synoptic_pathology_enrichment,path_report,pathology,critical,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_synoptic_pathology_enrichment.parquet,v2_stage.note_entities_llm_synoptic_pathology_enrichment,standalone
rai_detailed,note_entities_llm_rai_detailed,note_entities_llm_rai_detailed,all,rai,critical,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_rai_detailed.parquet,v2_stage.note_entities_llm_rai_detailed,standalone
rad_treatment,note_entities_llm_rad_treatment,note_entities_llm_rad_treatment,all,rai,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_rad_treatment.parquet,v2_stage.note_entities_llm_rad_treatment,standalone
parathyroid_detail,note_entities_llm_parathyroid_detail,note_entities_llm_parathyroid_detail,op_note,operative,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_parathyroid_detail.parquet,v2_stage.note_entities_llm_parathyroid_detail,standalone
recurrence,note_entities_llm_recurrence,note_entities_llm_recurrence,all,followup,critical,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_recurrence.parquet,v2_stage.note_entities_llm_recurrence,standalone
survival_followup,note_entities_llm_survival_followup,note_entities_llm_survival_followup,all,followup,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_survival_followup.parquet,v2_stage.note_entities_llm_survival_followup,standalone
cervical_ln_detail,note_entities_llm_cervical_ln_detail,note_entities_llm_cervical_ln_detail,all,pathology,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_cervical_ln_detail.parquet,v2_stage.note_entities_llm_cervical_ln_detail,standalone
functional_outcomes,note_entities_llm_functional_outcomes,note_entities_llm_functional_outcomes,all,followup,informational,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_functional_outcomes.parquet,v2_stage.note_entities_llm_functional_outcomes,standalone
past_medical_hx,note_entities_llm_past_medical_hx,note_entities_llm_past_medical_hx,all,demographics,informational,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_past_medical_hx.parquet,v2_stage.note_entities_llm_past_medical_hx,standalone
