script,fleet_key,fleet_prompt_file,registry_prompt_file,registry_domain,status
run_extraction_concurrent.py,airway_invasion,airway_invasion_extraction_v1.txt,airway_invasion_extraction_v1.txt,airway_invasion,match
run_extraction_concurrent.py,cervical_ln_detail,cervical_ln_detail_extraction_v1.txt,cervical_ln_detail_extraction_v1.txt,cervical_ln_detail,match
run_extraction_concurrent.py,complications,complications_extraction_v1.txt,complications_extraction_v1.txt,complications,match
run_extraction_concurrent.py,complications_rln_laryngoscopy,complications_rln_laryngoscopy_extraction_v1.txt,complications_rln_laryngoscopy_extraction_v1.txt,complications,match
run_extraction_concurrent.py,dynamic_risk_response,dynamic_risk_response_extraction_v1.txt,dynamic_risk_response_extraction_v1.txt,dynamic_risk_response,match
run_extraction_concurrent.py,frozen_section_detail,frozen_section_detail_extraction_v1.txt,frozen_section_detail_extraction_v1.txt,frozen_section_detail,match
run_extraction_concurrent.py,functional_outcomes,functional_outcomes_extraction_v1.txt,functional_outcomes_extraction_v1.txt,functional_outcomes,match
run_extraction_concurrent.py,genetics,genetics_extraction_v1.txt,genetics_extraction_v1.txt,genetics,match
run_extraction_concurrent.py,imaging,imaging_extraction_v1.txt,imaging_extraction_v1.txt,imaging,match
run_extraction_concurrent.py,labs,labs_extraction_v1.txt,labs_extraction_v1.txt,labs,match
run_extraction_concurrent.py,medication_management,medication_management_extraction_v1.txt,medication_management_extraction_v1.txt,medications,match
run_extraction_concurrent.py,medications,medications_extraction_v1.txt,medications_extraction_v1.txt,medications,match
run_extraction_concurrent.py,molecular_thyroseq_afirma,molecular_thyroseq_afirma_extraction_v1.txt,molecular_thyroseq_afirma_extraction_v1.txt,genetics,match
run_extraction_concurrent.py,operative_details,operative_details_extraction_v1.txt,operative_details_extraction_v1.txt,operative_detail,match
run_extraction_concurrent.py,operative_v2_enrichment,operative_v2_enrichment_extraction_v1.txt,operative_v2_enrichment_extraction_v1.txt,operative_detail,match
run_extraction_concurrent.py,parathyroid_detail,parathyroid_detail_extraction_v1.txt,parathyroid_detail_extraction_v1.txt,parathyroid_detail,match
run_extraction_concurrent.py,parathyroid_per_gland,parathyroid_per_gland_extraction_v1.txt,parathyroid_per_gland_extraction_v1.txt,parathyroid_detail,match
run_extraction_concurrent.py,past_medical_hx,past_medical_hx_extraction_v1.txt,past_medical_hx_extraction_v1.txt,past_medical_hx,match
