query_id,user_agent,session_name,query_text,end_time,execution_time
819d692d-784b-4827-bb05-64c74927ff8a,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM (SELECT research_id, COUNT(*) AS row_ct FROM gold_llm_verified_facts GROUP BY research_id HAVING COUNT(DISTINCT note_row_id) > 0) sub",2026-04-07 14:21:20.906546-04:00,0 days 00:00:00.060066
819d692d-76f3-4bf4-994d-e13c6b88f635,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT research_id, COUNT(*) AS row_ct FROM gold_llm_verified_facts GROUP BY research_id HAVING COUNT(DISTINCT note_row_id) > 0) TO 'exports/motherduck_gold_daily_ci/provenance_llm_gold_note_linkage.parquet' (FORMAT PARQUET)",2026-04-07 14:21:20.836079-04:00,0 days 00:00:00.333732
819d692d-761f-4e99-ba3a-ec7902f8c1dd,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_vascular_invasion""",2026-04-07 14:21:20.348427-04:00,0 days 00:00:00.055152
819d692d-75bc-4f1a-a0ed-f582e73273a7,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_vascular_invasion"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_vascular_invasion.parquet' (FORMAT PARQUET)",2026-04-07 14:21:20.256694-04:00,0 days 00:00:00.064289
819d692d-7526-4384-b646-b84f6ef4ed2a,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_us_nodule_dynamics""",2026-04-07 14:21:20.100734-04:00,0 days 00:00:00.055634
819d692d-74c1-4dde-8961-00857822ce5f,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_us_nodule_dynamics"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_us_nodule_dynamics.parquet' (FORMAT PARQUET)",2026-04-07 14:21:20.006409-04:00,0 days 00:00:00.064753
819d692d-7430-440c-b392-5f68ca18209e,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_tirads_granular""",2026-04-07 14:21:19.853521-04:00,0 days 00:00:00.055597
819d692d-73cf-4a60-882e-af8c3f2030e3,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_tirads_granular"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_tirads_granular.parquet' (FORMAT PARQUET)",2026-04-07 14:21:19.763387-04:00,0 days 00:00:00.063050
819d692d-733e-44c7-b16c-59c373773e7e,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_tg_kinetics""",2026-04-07 14:21:19.611356-04:00,0 days 00:00:00.055612
819d692d-72e0-4522-9bed-588cd7416951,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_tg_kinetics"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_tg_kinetics.parquet' (FORMAT PARQUET)",2026-04-07 14:21:19.522205-04:00,0 days 00:00:00.061514
819d692d-724f-4e95-99fb-70043cdeff3b,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_synoptic_pathology_enrichment""",2026-04-07 14:21:19.373796-04:00,0 days 00:00:00.055576
819d692d-71e9-428e-ab17-d00bc6b66f65,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_synoptic_pathology_enrichment"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_synoptic_pathology_enrichment.parquet' (FORMAT PARQUET)",2026-04-07 14:21:19.278386-04:00,0 days 00:00:00.063099
819d692d-7155-43d6-87df-e94c5bcecfb7,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_survival_followup""",2026-04-07 14:21:19.120952-04:00,0 days 00:00:00.055593
819d692d-70d9-4ba2-ac76-80497bfe43df,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_survival_followup"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_survival_followup.parquet' (FORMAT PARQUET)",2026-04-07 14:21:19.026021-04:00,0 days 00:00:00.081522
819d692d-7048-4a0e-9f32-97ca98739481,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_recurrence""",2026-04-07 14:21:18.853538-04:00,0 days 00:00:00.055634
819d692d-6fe0-4c24-8da6-ce0fb59f791b,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_recurrence"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_recurrence.parquet' (FORMAT PARQUET)",2026-04-07 14:21:18.756674-04:00,0 days 00:00:00.061884
819d692d-6f4f-41e0-bcfc-bbdddab593d8,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_rai_detailed""",2026-04-07 14:21:18.604883-04:00,0 days 00:00:00.055465
819d692d-6ee6-41aa-93ae-d60530c1d2fe,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_rai_detailed"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_rai_detailed.parquet' (FORMAT PARQUET)",2026-04-07 14:21:18.506993-04:00,0 days 00:00:00.063219
819d692d-6e53-4483-b615-b86e4a26243a,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_rad_treatment""",2026-04-07 14:21:18.353923-04:00,0 days 00:00:00.055627
819d692d-6ded-4170-b704-affb8a763be1,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_rad_treatment"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_rad_treatment.parquet' (FORMAT PARQUET)",2026-04-07 14:21:18.258754-04:00,0 days 00:00:00.063368
819d692d-6d5c-44ad-baf0-4c47fdaaea10,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_presenting_symptoms""",2026-04-07 14:21:18.106095-04:00,0 days 00:00:00.055899
819d692d-6ce8-4779-bdb2-187f9a05728e,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_presenting_symptoms"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_presenting_symptoms.parquet' (FORMAT PARQUET)",2026-04-07 14:21:18.016223-04:00,0 days 00:00:00.079667
819d692d-6c54-4c2d-b8fa-9338d4952fc6,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_physical_exam""",2026-04-07 14:21:17.841654-04:00,0 days 00:00:00.055439
819d692d-6bd8-40ef-ba88-828d04f06987,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_physical_exam"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_physical_exam.parquet' (FORMAT PARQUET)",2026-04-07 14:21:17.746524-04:00,0 days 00:00:00.080716
819d692d-6b49-4a0d-b28d-ae129fb5deae,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_patient_decision_adherence""",2026-04-07 14:21:17.573000-04:00,0 days 00:00:00.055184
819d692d-6ae8-470c-89c0-59799d72f8c9,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_patient_decision_adherence"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_patient_decision_adherence.parquet' (FORMAT PARQUET)",2026-04-07 14:21:17.483196-04:00,0 days 00:00:00.062369
819d692d-6a58-4a5b-80b2-171c4f05a5a9,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_pathology""",2026-04-07 14:21:17.334299-04:00,0 days 00:00:00.055494
819d692d-69d2-4476-b6ec-e8026eaad61f,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_pathology"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_pathology.parquet' (FORMAT PARQUET)",2026-04-07 14:21:17.230898-04:00,0 days 00:00:00.085181
819d692d-6943-4051-a2e6-8118f42a17fa,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_past_surgical_hx""",2026-04-07 14:21:17.056160-04:00,0 days 00:00:00.055953
819d692d-68cb-4273-a291-02766b308dcd,duckdb/v1.4.4(linux_amd64) python/3.11,,"COPY (SELECT * FROM ""v2_stage"".""note_entities_llm_past_surgical_hx"") TO 'exports/motherduck_gold_daily_ci/v2_stage__note_entities_llm_past_surgical_hx.parquet' (FORMAT PARQUET)",2026-04-07 14:21:16.961532-04:00,0 days 00:00:00.082638
819d692d-6839-4e29-bf53-aa99102eb3bf,duckdb/v1.4.4(linux_amd64) python/3.11,,"SELECT COUNT(*)::BIGINT FROM ""v2_stage"".""note_entities_llm_past_medical_hx""",2026-04-07 14:21:16.792131-04:00,0 days 00:00:00.057771
