comparison_domain,algorithm_comparison_status,llm_rows,unique_patients,structured_matches,baseline_matches,fill_candidates,review_conflicts
complications,concordant_existing_extraction_only,257,229,0,257,0,0
complications,existing_missing_fill_candidate,203,183,0,0,203,0
genetics,concordant_existing_extraction_only,517,372,0,517,0,0
genetics,existing_missing_fill_candidate,510,451,0,0,510,0
medications,concordant_existing,56,27,56,56,0,0
medications,concordant_existing_extraction_only,765,341,0,765,0,0
medications,discordant_existing,2,2,0,2,0,2
medications,existing_missing_fill_candidate,366,326,0,0,366,0
medications,source_limited,1,1,0,0,0,0
operative_detail,concordant_existing_extraction_only,66,39,0,66,0,0
operative_detail,existing_missing_fill_candidate,1980,1165,0,0,1980,0
problem_list,concordant_existing_extraction_only,252,167,0,252,0,0
problem_list,source_limited,110,93,0,0,0,0
procedures,concordant_existing_extraction_only,1334,981,0,1334,0,0
procedures,existing_missing_fill_candidate,1062,815,0,0,1062,0
procedures,source_limited,1,1,0,0,0,0
staging,concordant_existing_extraction_only,415,262,0,415,0,0
staging,existing_missing_fill_candidate,1499,1079,0,0,1499,0
unmapped,source_limited,46303,5035,0,0,0,0
