comparison_domain,algorithm_comparison_status,llm_rows,unique_patients,structured_matches,baseline_matches,fill_candidates,review_conflicts
complications,concordant_existing_extraction_only,183,162,0,183,0,0
complications,discordant_existing,3,2,0,3,0,3
complications,existing_missing_fill_candidate,274,250,0,0,274,0
genetics,concordant_existing,207,147,207,200,0,0
genetics,concordant_existing_extraction_only,299,219,0,299,0,0
genetics,discordant_existing,46,40,0,15,0,46
genetics,existing_missing_fill_candidate,475,421,0,0,475,0
medications,concordant_existing,56,27,56,56,0,0
medications,concordant_existing_extraction_only,765,341,0,765,0,0
medications,discordant_existing,2,2,0,2,0,2
medications,existing_missing_fill_candidate,366,326,0,0,366,0
medications,source_limited,1,1,0,0,0,0
operative_detail,concordant_existing,29,15,29,0,0,0
operative_detail,concordant_existing_extraction_only,1,1,0,1,0,0
operative_detail,discordant_existing,747,397,0,3,0,747
operative_detail,existing_missing_fill_candidate,1269,784,0,0,1269,0
problem_list,concordant_existing_extraction_only,252,167,0,252,0,0
problem_list,source_limited,110,93,0,0,0,0
procedures,concordant_existing,1247,936,1247,1054,0,0
procedures,concordant_existing_extraction_only,17,10,0,17,0,0
procedures,discordant_existing,1088,813,0,263,0,1088
procedures,existing_missing_fill_candidate,45,43,0,0,45,0
staging,concordant_existing,903,754,903,0,0,0
staging,discordant_existing,1011,653,0,415,0,1011
unmapped,source_limited,46303,5035,0,0,0,0
