domain_name,tier,qa_tier,parquet_stem,parquet_exists,parquet_path,canonical_output,linkage_anchor_family,note_scope,canonical_target,is_sub_prompt,classification
staging,v1,critical,note_entities_staging,False,,True,pathology,all,note_entities_staging,False,missing
genetics,v1,critical,note_entities_genetics,False,,True,molecular,all,note_entities_genetics,False,missing
procedures,v1,standard,note_entities_procedures,False,,True,operative,all,note_entities_procedures,False,missing
operative_detail,v1,standard,note_entities_operative_detail,False,,True,operative,op_note,note_entities_operative_detail,False,missing
complications,v1,critical,note_entities_complications,False,,True,operative,all,note_entities_complications,False,missing
medications,v1,standard,note_entities_medications,False,,True,followup,all,note_entities_medications,False,missing
problem_list,v1,informational,note_entities_problem_list,False,,True,demographics,all,note_entities_problem_list,False,missing
llm,v1_debug,debug,note_entities_llm,False,,False,audit,all,note_entities_llm,False,audit-only
imaging,v2,standard,note_entities_llm_imaging,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_imaging.parquet,True,imaging,all,note_entities_llm_imaging,False,standalone
tirads_granular,v2,standard,note_entities_llm_tirads_granular,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_tirads_granular.parquet,True,imaging,all,note_entities_llm_tirads_granular,False,standalone
us_nodule_dynamics,v2,standard,note_entities_llm_us_nodule_dynamics,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_us_nodule_dynamics.parquet,True,imaging,all,note_entities_llm_us_nodule_dynamics,False,standalone
labs,v2,standard,note_entities_llm_labs,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_labs.parquet,True,followup,all,note_entities_llm_labs,False,standalone
tg_kinetics,v2,standard,note_entities_llm_tg_kinetics,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_tg_kinetics.parquet,True,followup,all,note_entities_llm_tg_kinetics,False,standalone
pathology,v2,critical,note_entities_llm_pathology,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_pathology.parquet,True,pathology,path_report,note_entities_llm_pathology,False,standalone
synoptic_pathology_enrichment,v2,critical,note_entities_llm_synoptic_pathology_enrichment,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_synoptic_pathology_enrichment.parquet,True,pathology,path_report,note_entities_llm_synoptic_pathology_enrichment,False,standalone
rai_detailed,v2,critical,note_entities_llm_rai_detailed,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_rai_detailed.parquet,True,rai,all,note_entities_llm_rai_detailed,False,standalone
rad_treatment,v2,standard,note_entities_llm_rad_treatment,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_rad_treatment.parquet,True,rai,all,note_entities_llm_rad_treatment,False,standalone
parathyroid_detail,v2,standard,note_entities_llm_parathyroid_detail,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_parathyroid_detail.parquet,True,operative,op_note,note_entities_llm_parathyroid_detail,False,standalone
recurrence,v2,critical,note_entities_llm_recurrence,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_recurrence.parquet,True,followup,all,note_entities_llm_recurrence,False,standalone
survival_followup,v2,standard,note_entities_llm_survival_followup,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_survival_followup.parquet,True,followup,all,note_entities_llm_survival_followup,False,standalone
cervical_ln_detail,v2,standard,note_entities_llm_cervical_ln_detail,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_cervical_ln_detail.parquet,True,pathology,all,note_entities_llm_cervical_ln_detail,False,standalone
functional_outcomes,v2,informational,note_entities_llm_functional_outcomes,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_functional_outcomes.parquet,True,followup,all,note_entities_llm_functional_outcomes,False,standalone
past_medical_hx,v2,informational,note_entities_llm_past_medical_hx,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_past_medical_hx.parquet,True,demographics,all,note_entities_llm_past_medical_hx,False,standalone
past_surgical_hx,v2,informational,note_entities_llm_past_surgical_hx,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_past_surgical_hx.parquet,True,demographics,all,note_entities_llm_past_surgical_hx,False,standalone
presenting_symptoms,v2,informational,note_entities_llm_presenting_symptoms,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_presenting_symptoms.parquet,True,demographics,all,note_entities_llm_presenting_symptoms,False,standalone
physical_exam,v2,informational,note_entities_llm_physical_exam,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_physical_exam.parquet,True,demographics,all,note_entities_llm_physical_exam,False,standalone
vascular_invasion,v2,critical,note_entities_llm_vascular_invasion,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_vascular_invasion.parquet,True,pathology,path_report,note_entities_llm_vascular_invasion,False,standalone
airway_invasion,v2,standard,note_entities_llm_airway_invasion,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_airway_invasion.parquet,True,operative,op_note,note_entities_llm_airway_invasion,False,standalone
frozen_section_detail,v2,standard,note_entities_llm_frozen_section_detail,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_frozen_section_detail.parquet,True,operative,op_note,note_entities_llm_frozen_section_detail,False,standalone
dynamic_risk_response,v2,standard,note_entities_llm_dynamic_risk_response,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_dynamic_risk_response.parquet,True,followup,all,note_entities_llm_dynamic_risk_response,False,standalone
patient_decision_adherence,v2,informational,note_entities_llm_patient_decision_adherence,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_patient_decision_adherence.parquet,True,followup,all,note_entities_llm_patient_decision_adherence,False,standalone
recurrence__sub,v2,critical,note_entities_llm_recurrence_detailed,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_recurrence_detailed.parquet,False,followup,all,note_entities_llm_recurrence,True,child-enrichment
