dataset	table	authoritative_builder	port_tier	alternate_builders_csv
pub_canonical	__readme	ORPHAN_BUILDER	P1	
pub_canonical	canonical_airway_invasion_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_airway_invasion_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_benign_diagnosis_v1	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	P1	
pub_canonical	canonical_cervical_ln_clinical_events_v1	scripts/382_restore_7_cervical_ln_legacy_notes.py	P1	
pub_canonical	canonical_cervical_ln_clinical_patient_rollup_v1	scripts/382_restore_7_cervical_ln_legacy_notes.py	P1	
pub_canonical	canonical_column_verification_registry_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_complications_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_complications_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_ct_lymph_node_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_diagnosis_unified_v1	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	P1	
pub_canonical	canonical_esophageal_invasion_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_esophageal_invasion_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_ete_event_resolved_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_ete_inline_adjudication_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_ete_subgrade_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_ete_subgrade_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_fna_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_fna_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_fna_patient_rollup_v1_1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_frozen_section_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_frozen_section_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_histology_lookup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_invasion_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_invasion_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_labs_calcium_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_labs_pth_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_labs_thyroglobulin_v1	qc_framework_v1/migrations/sql/mig_340_thy_canonical_from_analyst_raw.sql	P1	
pub_canonical	canonical_labs_tsh_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_labs_vitamin_d_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_lymph_node_unified_VIEW_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_malignant_diagnosis_v1	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	P1	
pub_canonical	canonical_medications_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_medications_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_molecular_genetics_from_notes_v2	ORPHAN_BUILDER	P1	
pub_canonical	canonical_molecular_genetics_v2	ORPHAN_BUILDER	P1	
pub_canonical	canonical_molecular_tested_v1	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	P1	
pub_canonical	canonical_mri_lymph_node_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_nucmed_lymph_node_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_operative_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_operative_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_operative_patient_rollup_v1_1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_operative_procedure_codes_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_parathyroid_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_parathyroid_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_path_benign_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_path_benign_overrides_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_path_benign_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_path_gland_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_path_gland_patient_rollup_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_path_indeterminate_events_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_path_malignant_events_dedup_VIEW_v1	ORPHAN_BUILDER	P1	
pub_canonical	canonical_path_malignant_events_v1	scripts/361_op_path_consolidation.py	P0	
pub_canonical	canonical_path_malignant_events_v2	ORPHAN_BUILDER	P1	
