release_tag,git_sha,registry_version,tables_included,row_counts,created_at,created_by
20260408r3,a593544,entity_schema_v3_2026-04-03,"[""canonical_extracted_fact_long_v1"", ""canonical_extracted_fact_long_v2"", ""canonical_fact_quarantine_v1"", ""canonical_fact_quarantine_v2"", ""thyroglobulin_lab_canonical_v1"", ""note_extraction_runs"", ""longitudinal_lab_canonical_v1"", ""master_fact_long_verified_v1"", ""master_patient_rollup_verified_v1"", ""master_source_lineage_v1""]","{""canonical_extracted_fact_long_v1"": 68063, ""canonical_extracted_fact_long_v2"": 20188, ""canonical_fact_quarantine_v1"": 14, ""canonical_fact_quarantine_v2"": 103588, ""thyroglobulin_lab_canonical_v1"": 76971, ""note_extraction_runs"": 3, ""longitudinal_lab_canonical_v1"": 77960, ""master_fact_long_verified_v1"": 20188, ""master_patient_rollup_verified_v1"": 2702, ""master_source_lineage_v1"": 20188}",2026-04-08 05:20:40.752314,scripts/post_backfill_resnapshot
20260408r2,a593544,entity_schema_v3_2026-04-03,"[""canonical_extracted_fact_long_v1"", ""canonical_extracted_fact_long_v2"", ""canonical_fact_quarantine_v1"", ""canonical_fact_quarantine_v2"", ""thyroglobulin_lab_canonical_v1"", ""note_extraction_runs"", ""longitudinal_lab_canonical_v1"", ""master_fact_long_verified_v1"", ""master_patient_rollup_verified_v1"", ""master_source_lineage_v1""]","{""canonical_extracted_fact_long_v1"": 68063, ""canonical_extracted_fact_long_v2"": 20188, ""canonical_fact_quarantine_v1"": 14, ""canonical_fact_quarantine_v2"": 103588, ""thyroglobulin_lab_canonical_v1"": 76971, ""note_extraction_runs"": 3, ""longitudinal_lab_canonical_v1"": 77960, ""master_fact_long_verified_v1"": 20188, ""master_patient_rollup_verified_v1"": 2702, ""master_source_lineage_v1"": 20188}",2026-04-08 05:18:04.189662,scripts/126_completion_after_collision
20260411,de13c33,entity_schema_v3_2026-04-03,"[""canonical_extracted_fact_long_v1"", ""canonical_extracted_fact_long_v2"", ""canonical_fact_quarantine_v1"", ""canonical_fact_quarantine_v2"", ""thyroglobulin_lab_canonical_v1"", ""note_extraction_runs"", ""longitudinal_lab_canonical_v1"", ""master_fact_long_verified_v1"", ""master_patient_rollup_verified_v1"", ""master_source_lineage_v1""]","{""canonical_extracted_fact_long_v1"": 68077, ""canonical_extracted_fact_long_v2"": 123577, ""canonical_fact_quarantine_v1"": 0, ""canonical_fact_quarantine_v2"": 199, ""thyroglobulin_lab_canonical_v1"": 76971, ""note_extraction_runs"": 3, ""longitudinal_lab_canonical_v1"": 77960, ""master_fact_long_verified_v1"": 123577, ""master_patient_rollup_verified_v1"": 5574, ""master_source_lineage_v1"": 123577}",2026-04-07 19:15:39.106720,scripts/126_final_master_release.py
20260410,618086b,entity_schema_v3_2026-04-03,"[""canonical_extracted_fact_long_v1"", ""canonical_extracted_fact_long_v2"", ""canonical_fact_quarantine_v1"", ""canonical_fact_quarantine_v2"", ""thyroglobulin_lab_canonical_v1"", ""note_extraction_runs"", ""longitudinal_lab_canonical_v1"", ""master_fact_long_verified_v1"", ""master_patient_rollup_verified_v1"", ""master_source_lineage_v1""]","{""canonical_extracted_fact_long_v1"": 68077, ""canonical_extracted_fact_long_v2"": 123577, ""canonical_fact_quarantine_v1"": 0, ""canonical_fact_quarantine_v2"": 199, ""thyroglobulin_lab_canonical_v1"": 76971, ""note_extraction_runs"": 3, ""longitudinal_lab_canonical_v1"": 76971, ""master_fact_long_verified_v1"": 123577, ""master_patient_rollup_verified_v1"": 5574, ""master_source_lineage_v1"": 123577}",2026-04-07 16:22:53.465299,scripts/115_release_snapshot.py
20260407_tier,7793059,entity_schema_v3_2026-04-03,"[""canonical_extracted_fact_long_v1"", ""canonical_extracted_fact_long_v2"", ""canonical_fact_quarantine_v1"", ""canonical_fact_quarantine_v2"", ""thyroglobulin_lab_canonical_v1"", ""note_extraction_runs"", ""longitudinal_lab_canonical_v1"", ""master_fact_long_verified_v1"", ""master_patient_rollup_verified_v1"", ""master_source_lineage_v1""]","{""canonical_extracted_fact_long_v1"": 68077, ""canonical_extracted_fact_long_v2"": 123577, ""canonical_fact_quarantine_v1"": 0, ""canonical_fact_quarantine_v2"": 199, ""thyroglobulin_lab_canonical_v1"": 76971, ""note_extraction_runs"": 3, ""longitudinal_lab_canonical_v1"": 76971, ""master_fact_long_verified_v1"": 123577, ""master_patient_rollup_verified_v1"": 5574, ""master_source_lineage_v1"": 123577}",2026-04-07 15:25:17.363482,scripts/126_final_master_release.py
20260407_final2,4ad9052,entity_schema_v3_2026-04-03,"[""canonical_extracted_fact_long_v1"", ""canonical_extracted_fact_long_v2"", ""canonical_fact_quarantine_v1"", ""canonical_fact_quarantine_v2"", ""thyroglobulin_lab_canonical_v1"", ""note_extraction_runs"", ""longitudinal_lab_canonical_v1"", ""master_fact_long_verified_v1"", ""master_patient_rollup_verified_v1"", ""master_source_lineage_v1""]","{""canonical_extracted_fact_long_v1"": 68077, ""canonical_extracted_fact_long_v2"": 123577, ""canonical_fact_quarantine_v1"": 0, ""canonical_fact_quarantine_v2"": 199, ""thyroglobulin_lab_canonical_v1"": 76971, ""note_extraction_runs"": 3, ""longitudinal_lab_canonical_v1"": 76971, ""master_fact_long_verified_v1"": 123577, ""master_patient_rollup_verified_v1"": 5574, ""master_source_lineage_v1"": 123577}",2026-04-07 05:11:41.171561,scripts/115_release_snapshot.py
20260407_final,4ad9052,entity_schema_v3_2026-04-03,"[""canonical_extracted_fact_long_v1"", ""canonical_extracted_fact_long_v2"", ""canonical_fact_quarantine_v1"", ""canonical_fact_quarantine_v2"", ""thyroglobulin_lab_canonical_v1"", ""note_extraction_runs"", ""longitudinal_lab_canonical_v1"", ""master_fact_long_verified_v1"", ""master_patient_rollup_verified_v1"", ""master_source_lineage_v1""]","{""canonical_extracted_fact_long_v1"": 68077, ""canonical_extracted_fact_long_v2"": 123577, ""canonical_fact_quarantine_v1"": 0, ""canonical_fact_quarantine_v2"": 199, ""thyroglobulin_lab_canonical_v1"": 76971, ""note_extraction_runs"": 3, ""longitudinal_lab_canonical_v1"": 76971, ""master_fact_long_verified_v1"": 123577, ""master_patient_rollup_verified_v1"": 5574, ""master_source_lineage_v1"": 123577}",2026-04-07 05:08:12.328508,scripts/115_release_snapshot.py
20260406,4b2d076,entity_schema_v3_2026-04-03,"[""canonical_extracted_fact_long_v1"", ""canonical_extracted_fact_long_v2"", ""canonical_fact_quarantine_v1"", ""canonical_fact_quarantine_v2"", ""thyroglobulin_lab_canonical_v1"", ""note_extraction_runs""]","{""canonical_extracted_fact_long_v1"": 68077, ""canonical_extracted_fact_long_v2"": 123577, ""canonical_fact_quarantine_v1"": 0, ""canonical_fact_quarantine_v2"": 199, ""thyroglobulin_lab_canonical_v1"": 76971, ""note_extraction_runs"": 3}",2026-04-07 04:07:52.519215,scripts/115_release_snapshot.py
20260409,b77b4be,entity_schema_v3_2026-04-03,"[""canonical_extracted_fact_long_v1"", ""canonical_extracted_fact_long_v2"", ""canonical_fact_quarantine_v1"", ""canonical_fact_quarantine_v2"", ""thyroglobulin_lab_canonical_v1"", ""note_extraction_runs"", ""longitudinal_lab_canonical_v1"", ""master_fact_long_verified_v1"", ""master_patient_rollup_verified_v1"", ""master_source_lineage_v1""]","{""canonical_extracted_fact_long_v1"": 68077, ""canonical_extracted_fact_long_v2"": 123577, ""canonical_fact_quarantine_v1"": 0, ""canonical_fact_quarantine_v2"": 199, ""thyroglobulin_lab_canonical_v1"": 76971, ""note_extraction_runs"": 3, ""longitudinal_lab_canonical_v1"": 76971, ""master_fact_long_verified_v1"": 123577, ""master_patient_rollup_verified_v1"": 5574, ""master_source_lineage_v1"": 123577}",2026-04-07 02:05:07.189573,scripts/126_final_master_release.py
20260408,b77b4be,entity_schema_v3_2026-04-03,"[""canonical_extracted_fact_long_v1"", ""canonical_extracted_fact_long_v2"", ""canonical_fact_quarantine_v1"", ""canonical_fact_quarantine_v2"", ""thyroglobulin_lab_canonical_v1"", ""note_extraction_runs"", ""longitudinal_lab_canonical_v1"", ""master_fact_long_verified_v1"", ""master_patient_rollup_verified_v1"", ""master_source_lineage_v1""]","{""canonical_extracted_fact_long_v1"": 68077, ""canonical_extracted_fact_long_v2"": 123577, ""canonical_fact_quarantine_v1"": 0, ""canonical_fact_quarantine_v2"": 199, ""thyroglobulin_lab_canonical_v1"": 76971, ""note_extraction_runs"": 3, ""longitudinal_lab_canonical_v1"": 76971, ""master_fact_long_verified_v1"": 123577, ""master_patient_rollup_verified_v1"": 5574, ""master_source_lineage_v1"": 123577}",2026-04-07 02:03:20.732093,scripts/126_final_master_release.py
