tirads_category,size_bucket,n,n_with_size,size_mean_cm,size_median_cm,size_p25,size_p75,n_malignant,rom,rom_lo,rom_hi
TR1,ALL,340,340,1.05,1.06,0.85,1.25,96,28.24,,
TR2,ALL,299,299,1.46,1.44,1.23,1.68,96,32.11,,
TR3,ALL,845,843,1.75,1.76,1.45,2.04,233,27.57,,
TR4,ALL,492,492,1.97,1.99,1.64,2.26,233,47.36,,
TR5,ALL,1399,1399,2.3,2.29,1.92,2.66,821,58.68,,
TR1,<1cm,143,143,0.75,0.82,0.65,0.91,43,30.07,23.16,38.03
TR1,1-2cm,195,195,1.26,1.2,1.11,1.36,53,27.18,21.42,33.82
TR1,2-4cm,2,2,2.11,2.11,2.1,2.12,0,0.0,0.0,65.76
TR2,<1cm,28,28,0.86,0.9,0.85,0.94,12,42.86,26.51,60.93
TR2,1-2cm,252,252,1.47,1.45,1.29,1.64,78,30.95,25.57,36.91
TR2,2-4cm,19,19,2.14,2.15,2.04,2.23,6,31.58,15.36,53.99
TR3,<1cm,35,35,0.82,0.84,0.71,0.93,13,37.14,23.17,53.66
TR3,1-2cm,570,570,1.59,1.61,1.4,1.81,163,28.6,25.04,32.44
TR3,2-4cm,238,238,2.27,2.22,2.09,2.4,55,23.11,18.21,28.87
TR4,<1cm,13,13,0.77,0.77,0.63,0.89,6,46.15,23.21,70.86
TR4,1-2cm,236,236,1.61,1.66,1.42,1.82,108,45.76,39.53,52.14
TR4,2-4cm,243,243,2.38,2.28,2.13,2.56,119,48.97,42.75,55.22
TR5,<1cm,20,20,0.74,0.82,0.59,0.91,15,75.0,53.13,88.81
TR5,1-2cm,382,382,1.66,1.71,1.47,1.87,229,59.95,54.96,64.74
TR5,2-4cm,988,988,2.56,2.49,2.25,2.77,570,57.69,54.59,60.74
TR5,>4cm,9,9,4.19,4.2,4.08,4.28,7,77.78,45.26,93.68
