mol_platform_original,mol_platform_resolved,n
Afirma,Afirma_GEC,72
Afirma,Afirma_version_unknown,71
Afirma,Afirma_GSC,43
Afirma,ThyroSeq_v3,1
Afirma,ThyroSeq_version_unknown,1
Quest,Quest_unspecified,1
ThyroSeq,ThyroSeq_v3,520
ThyroSeq,ThyroSeq_version_unknown,77
ThyroSeq,ThyroSeq_v2,17
ThyroSeq,ThyroSeq_v3+Afirma_GSC,3
ThyroSeq,ThyroSeq_v2+Afirma_GEC,1
ThyroSeq+Afirma,ThyroSeq_v3+Afirma_GSC,112
ThyroSeq+Afirma,ThyroSeq_v3+Afirma_version_unknown,18
ThyroSeq+Afirma,ThyroSeq_version_unknown+Afirma_version_unknown,18
ThyroSeq+Afirma,ThyroSeq_version_unknown+Afirma_GSC,9
ThyroSeq+Afirma,ThyroSeq_v2+Afirma_GEC,2
ThyroSeq+Afirma,ThyroSeq_version_unknown+Afirma_GEC,2
ThyroSeq+Afirma,ThyroSeq_v3+Afirma_GEC,2
unknown,truly_unknown,168
unknown,multi_panel_unknown,66
unknown,single_gene_BRAF,55
unknown,ThyroSeq_v3,12
unknown,Afirma_GSC,10
unknown,ThyroSeq_version_unknown,4
unknown,Afirma_version_unknown,1
