year,mol_platform_family,n_tests,n_total,pct_of_year
2010,unknown,1,1,100.0
2012,single_gene,1,1,100.0
2013,multi_panel_unknown,1,2,50.0
2013,unknown,1,2,50.0
2014,Afirma,1,4,25.0
2014,multi_panel_unknown,2,4,50.0
2014,unknown,1,4,25.0
2015,Afirma,30,36,83.3
2015,ThyroSeq+Afirma,1,36,2.8
2015,multi_panel_unknown,2,36,5.6
2015,unknown,3,36,8.3
2016,Afirma,29,39,74.4
2016,ThyroSeq,5,39,12.8
2016,ThyroSeq+Afirma,3,39,7.7
2016,multi_panel_unknown,2,39,5.1
2017,Afirma,13,52,25.0
2017,ThyroSeq,35,52,67.3
2017,ThyroSeq+Afirma,2,52,3.8
2017,unknown,2,52,3.8
2018,Afirma,1,69,1.4
2018,ThyroSeq,60,69,87.0
2018,ThyroSeq+Afirma,3,69,4.3
2018,multi_panel_unknown,2,69,2.9
2018,single_gene,3,69,4.3
2019,Afirma,4,47,8.5
2019,ThyroSeq,20,47,42.6
2019,ThyroSeq+Afirma,10,47,21.3
2019,multi_panel_unknown,1,47,2.1
2019,single_gene,7,47,14.9
2019,unknown,5,47,10.6
2020,Afirma,4,39,10.3
2020,ThyroSeq,17,39,43.6
2020,ThyroSeq+Afirma,13,39,33.3
2020,multi_panel_unknown,1,39,2.6
2020,single_gene,1,39,2.6
2020,unknown,3,39,7.7
2021,Afirma,10,53,18.9
2021,ThyroSeq,22,53,41.5
2021,ThyroSeq+Afirma,17,53,32.1
2021,multi_panel_unknown,3,53,5.7
2021,unknown,1,53,1.9
2022,Afirma,8,91,8.8
2022,ThyroSeq,56,91,61.5
2022,ThyroSeq+Afirma,20,91,22.0
2022,multi_panel_unknown,3,91,3.3
2022,single_gene,1,91,1.1
2022,unknown,3,91,3.3
2023,Afirma,9,136,6.6
2023,ThyroSeq,80,136,58.8
2023,ThyroSeq+Afirma,29,136,21.3
2023,multi_panel_unknown,4,136,2.9
2023,single_gene,3,136,2.2
2023,unknown,11,136,8.1
2024,Afirma,11,125,8.8
2024,ThyroSeq,66,125,52.8
2024,ThyroSeq+Afirma,26,125,20.8
2024,multi_panel_unknown,6,125,4.8
2024,single_gene,2,125,1.6
2024,unknown,14,125,11.2
2025,Afirma,1,5,20.0
2025,Quest,1,5,20.0
2025,ThyroSeq,2,5,40.0
2025,ThyroSeq+Afirma,1,5,20.0
