ln_burden_cat,n,pct_of_ln_pos,recurrence_rate,mean_ln_positive,mean_ln_examined,mean_ln_ratio,n_recurred,section,predictor,variable,adj_or,ci_lo,ci_hi,pvalue,OR_fmt,p_fmt
1,322.0,28.749999999999996,14.285714285714285,0.9813664596273292,7.133540372670807,0.5066323928908568,,,,,,,,,,
2–4,339.0,30.267857142857142,15.339233038348082,2.7610619469026547,13.761061946902656,0.4161257001435664,,,,,,,,,,
5–9,232.0,20.714285714285715,15.948275862068966,6.728448275862069,23.504310344827587,0.42978105410733697,,,,,,,,,,
≥10,225.0,20.089285714285715,18.666666666666668,17.915555555555557,43.733333333333334,0.46718855650828633,,,,,,,,,,
Q1,280.0,,16.428571428571427,,,,46.0,ln_ratio_quartile,,,,,,,,
Q2,278.0,,14.748201438848922,,,,41.0,ln_ratio_quartile,,,,,,,,
Q3,288.0,,16.319444444444446,,,,47.0,ln_ratio_quartile,,,,,,,,
Q4,270.0,,15.555555555555555,,,,42.0,ln_ratio_quartile,,,,,,,,
,,,,,,,,high_burden_predictors,Age (per year),age_at_surgery,0.9827953633361681,0.9746435743630866,0.9910153327858974,4.4314278825385316e-05,0.98 (0.97–0.99),<0.001
,,,,,,,,high_burden_predictors,Male sex,sex_male,1.4322111223190075,1.0863610359871512,1.8881648282151127,0.010853809463367935,1.43 (1.09–1.89),0.011
,,,,,,,,high_burden_predictors,Tumor size (per cm),tumor_size_cm_dominant,1.129366954882672,1.0476272125085941,1.2174843336942205,0.0015047113154145826,1.13 (1.05–1.22),0.002
,,,,,,,,high_burden_predictors,PTC histology,ptc_flag,0.9028574328830007,0.5650385297429096,1.442647715515919,0.669118989017442,0.90 (0.57–1.44),0.669
,,,,,,,,high_burden_predictors,ETE gross,ete_gross,1.5672018739780118,1.1943491419631436,2.056452026886445,0.0011903871318393287,1.57 (1.19–2.06),0.001
,,,,,,,,high_burden_predictors,Vascular invasion,vi_binary,1.6057266224109268,1.2295263139871389,2.097033594635351,0.0005069405294822124,1.61 (1.23–2.10),<0.001
