predictor,variable,adj_or,ci_lo,ci_hi,pvalue,model,OR_fmt,p_fmt
Age (per year),age_at_surgery,0.9760086851989024,0.9708424257714575,0.9812024364579391,3.0225609477909917e-19,primary,0.98 (0.97–0.98),<0.001
Male sex,sex_male,1.6936412253855724,1.4157709960350775,2.026048427576683,8.290514125428523e-09,primary,1.69 (1.42–2.03),<0.001
Tumor size (per cm),tumor_size_cm_dominant,1.0861389321665311,1.0367228968592765,1.1379104132277917,0.0005052131430835487,primary,1.09 (1.04–1.14),<0.001
PTC histology,ptc_flag,5.459760229768094,4.144304800746683,7.192758061903805,1.554031596977241e-33,primary,5.46 (4.14–7.19),<0.001
Multifocal,mf,1.8103299958552679,1.539032622852788,2.1294510884496147,7.784848679428406e-13,primary,1.81 (1.54–2.13),<0.001
ETE microscopic,ete_micro,0.5879181849977079,0.3776636225238931,0.9152265975236505,0.018660093708210892,primary,0.59 (0.38–0.92),0.019
ETE gross,ete_gross,1.07055642738606,0.6824756898428088,1.679314122502411,0.7666089119770534,primary,1.07 (0.68–1.68),0.767
Vascular invasion,vi_binary,4.647997007039595,3.899852032258265,5.539665607502294,5.386513560162212e-66,primary,4.65 (3.90–5.54),<0.001
Age (per year),age_at_surgery,0.9704602925044306,0.950269462801987,0.9910801264209745,0.00518651953298207,secondary_molecular,0.97 (0.95–0.99),0.005
Male sex,sex_male,1.3496276786512338,0.6088205510612109,2.9918419603387942,0.46039160362628206,secondary_molecular,1.35 (0.61–2.99),0.460
Tumor size (per cm),tumor_size_cm_dominant,0.9794398151468635,0.7814997707802317,1.2275145654069437,0.8568765464675674,secondary_molecular,0.98 (0.78–1.23),0.857
PTC histology,ptc_flag,14.725823572833496,3.736819636459705,58.03059847535595,0.00012104981921986576,secondary_molecular,14.73 (3.74–58.03),<0.001
Multifocal,mf,1.988204200142783,1.0167443312925222,3.887856386118488,0.04459065538645845,secondary_molecular,1.99 (1.02–3.89),0.045
ETE microscopic,ete_micro,2.11173218647077,0.1955800820192007,22.800955911956436,0.538048541061589,secondary_molecular,2.11 (0.20–22.80),0.538
ETE gross,ete_gross,3.3158080783077333,0.30831001409243863,35.66080474075807,0.322624105025178,secondary_molecular,3.32 (0.31–35.66),0.323
Vascular invasion,vi_binary,5.499346267555924,2.619282998223566,11.54621680474861,6.657360280470424e-06,secondary_molecular,5.50 (2.62–11.55),<0.001
Molecular risk: high,mol_risk_high,2.0453362612643713,0.7256516928180308,5.765025373808332,0.17592202519508093,secondary_molecular,2.05 (0.73–5.77),0.176
Molecular risk: intermediate,mol_risk_inter,0.9891030814450541,0.4623969584275991,2.1157684709928404,0.9774688451355156,secondary_molecular,0.99 (0.46–2.12),0.977
Gene fusion,fus_flag,0.8312560620092999,0.3475204972362204,1.988333482837774,0.6778833631479197,secondary_molecular,0.83 (0.35–1.99),0.678
RAS mutation,ras_flag,0.2071474452636677,0.07121027575581461,0.6025824731588745,0.0038559155018022375,secondary_molecular,0.21 (0.07–0.60),0.004
