group,n,n_recurred,recurrence_rate,ci_lo,ci_hi,adj_or,pvalue,OR_fmt,p_fmt
LN negative,2899,324.0,11.17626767850983,10.080323133971003,12.374966556066383,,,,
LN positive,1120,178.0,15.892857142857142,13.868729722764995,18.150151232053542,,,,
LN burden: 0 (LN negative),1390,137.0,9.85611510791367,8.39803331647113,11.535471822325013,,,,
LN burden: 1–4,2153,275.0,12.772875058058522,11.428949742506923,14.24940767943917,,,,
LN burden: ≥5,476,90.0,18.907563025210084,15.644107331358741,22.668851134656492,,,,
MV_LN positive,620,,,1.2607356555312503,2.8605351242562174,1.8990467674729152,0.0021514425237645044,1.90 (1.26–2.86),0.002
MV_Age (per year),620,,,0.9769601077268723,1.001385960194611,0.9890976370146197,0.081839188219663,0.99 (0.98–1.00),0.082
MV_Male sex,620,,,0.5652754845513649,1.38769463247223,0.8856803914392979,0.596196629756476,0.89 (0.57–1.39),0.596
MV_Tumor size (per cm),620,,,1.089604405109749,1.3427610769503642,1.2095777711478612,0.0003567888264533051,1.21 (1.09–1.34),<0.001
MV_ETE microscopic,620,,,0.3085950220635185,3.344002097532139,1.0158456580939756,0.9793672557426625,1.02 (0.31–3.34),0.979
MV_ETE gross,620,,,0.2867718682806995,3.0960894423159284,0.9422692575570359,0.9219546472872027,0.94 (0.29–3.10),0.922
MV_Vascular invasion,620,,,0.9946942656980315,2.270006466616567,1.5026517944756694,0.053028324131788436,1.50 (0.99–2.27),0.053
MV_RAI received,620,,,0.05543991258930946,0.7639645055487883,0.20580117931868086,0.018162663303284053,0.21 (0.06–0.76),0.018
LN_ratio_vs_recurrence (per unit ratio),3745,,,0.8830716069377919,1.3594926510414564,1.0956867070359564,0.4064132191089691,1.10 (0.88–1.36),0.406
LN_count_vs_recurrence (per additional LN+),3756,,,1.0256816696191682,1.058671361110131,1.042045972710147,3.3997097455210156e-07,1.04 (1.03–1.06),<0.001
