predictor,type,n,or_,ci_lo,ci_hi,pvalue,n_tested,OR_fmt,p_fmt
"Age (continuous, per year)",continuous,4019,0.979032835691721,0.974602764672672,0.9834830436629162,5.304877574459304e-20,,0.98 (0.97–0.98),<0.001
Age 45–65 vs <45,categorical,3219,0.5571864533990413,0.47811917233200674,0.6493292087350564,6.813692416499544e-14,,0.56 (0.48–0.65),<0.001
Age >65 vs <45,categorical,2292,0.4834755886349708,0.39608623835910456,0.5901458373668804,7.393585303942397e-13,,0.48 (0.40–0.59),<0.001
Sex (male vs female),binary,4019,1.6841073368923325,1.4498826847937902,1.9561703522088516,9.151700766871087e-12,,1.68 (1.45–1.96),<0.001
"Tumor size (continuous, per cm)",continuous,3871,1.1080337113013774,1.0700864731088489,1.1473266284858636,7.93191173030556e-09,,1.11 (1.07–1.15),<0.001
Tumor size 1–2 cm vs <1 cm,categorical,2313,2.468526407777596,2.0263577437972295,3.0071800720026904,1.2567007133325454e-19,,2.47 (2.03–3.01),<0.001
Tumor size 2–4 cm vs <1 cm,categorical,2239,2.4692526711283316,2.0207072783427757,3.017363682123641,4.443408298687209e-19,,2.47 (2.02–3.02),<0.001
Tumor size >4 cm vs <1 cm,categorical,1817,2.1333308884651117,1.6870370219479525,2.6976886816771652,2.2510333116806247e-10,,2.13 (1.69–2.70),<0.001
PTC vs non-PTC,binary,4019,2.8401869158878505,2.285786350835203,3.5290532355454234,3.2136759499813144e-22,,2.84 (2.29–3.53),<0.001
Multifocal (yes vs no),binary,4019,1.8687344155513714,1.622663846011998,2.1521206160159343,3.297222995202997e-18,,1.87 (1.62–2.15),<0.001
ETE microscopic vs none,categorical,2723,0.2999946941157744,0.22405939568035868,0.401664997017156,5.2220193542758626e-17,,0.30 (0.22–0.40),<0.001
ETE gross vs none,categorical,1467,0.7567477599933424,0.5619818293617775,1.019013680398348,0.07793761831573956,,0.76 (0.56–1.02),0.078
Vascular invasion (any vs none),binary,4019,3.86053882725832,3.3338050972874798,4.470495305468024,7.034154392468405e-77,,3.86 (3.33–4.47),<0.001
BRAF+ vs BRAF− (among tested),binary,4019,1.0156347958602996,0.7742233797581427,1.3323209625682242,0.9660273198622487,4019.0,1.02 (0.77–1.33),0.966
RAS+ vs RAS− (among tested),binary,4019,0.1284355179704017,0.06547118465105009,0.2519533190707402,3.770893703187924e-12,,0.13 (0.07–0.25),<0.001
Gene fusion (yes vs no),binary,436,0.7332214765100671,0.39359578520900956,1.365903177367908,0.4165523173276291,,0.73 (0.39–1.37),0.417
Molecular risk intermediate vs low/wild-type,categorical,3782,0.9840912962016692,0.7372548512571697,1.3135697616753572,0.9717713903772898,,0.98 (0.74–1.31),0.972
Molecular risk high vs low/wild-type,categorical,3602,0.48776699029126214,0.24641684841392805,0.9655047467296016,0.04995684072280005,,0.49 (0.25–0.97),0.050
TIRADS TR3 vs TR1/TR2,categorical,425,0.7990196078431373,0.45898405770450024,1.390968429079582,0.5141652954093248,,0.80 (0.46–1.39),0.514
TIRADS TR4 vs TR1/TR2,categorical,428,1.6278500094215187,0.9878317550634639,2.682537425620008,0.07200869460806276,,1.63 (0.99–2.68),0.072
TIRADS TR5 vs TR1/TR2,categorical,1015,3.326752484492763,2.1868337038011925,5.060870460264735,7.800552776727025e-09,,3.33 (2.19–5.06),<0.001
Bethesda category (per unit),continuous,2333,1.8491484193253522,1.7148706186329061,1.9939404404860308,1.707673395219967e-57,,1.85 (1.71–1.99),<0.001
Imaging nodule size (per cm),continuous,1498,1.5469505491724183,1.3219464468475426,1.810251850437352,5.319912149349135e-08,,1.55 (1.32–1.81),<0.001
