race_strat,tr_category,n_total,n_malignant,rom_pct,rom_lo_95,rom_hi_95,grain
Asian,TR1,18,8.0,44.44,24.56,66.28,patient
Asian,TR2,20,8.0,40.0,21.88,61.34,patient
Asian,TR3,30,10.0,33.33,19.23,51.22,patient
Asian,TR4,33,26.0,78.79,62.25,89.32,patient
Asian,TR5,103,76.0,73.79,64.55,81.31,patient
Black,TR1,184,37.0,20.11,14.96,26.48,patient
Black,TR2,158,34.0,21.52,15.83,28.56,patient
Black,TR3,489,100.0,20.45,17.11,24.25,patient
Black,TR4,207,71.0,34.3,28.17,41.0,patient
Black,TR5,497,199.0,40.04,35.82,44.41,patient
Other,TR1,5,3.0,60.0,23.07,88.24,patient
Other,TR2,3,1.0,33.33,6.15,79.23,patient
Other,TR3,14,5.0,35.71,16.34,61.24,patient
Other,TR4,14,10.0,71.43,45.35,88.28,patient
Other,TR5,51,36.0,70.59,57.0,81.29,patient
Unknown,TR1,13,6.0,46.15,23.21,70.86,patient
Unknown,TR2,18,9.0,50.0,29.03,70.97,patient
Unknown,TR3,40,10.0,25.0,14.19,40.19,patient
Unknown,TR4,23,10.0,43.48,25.63,63.19,patient
Unknown,TR5,73,46.0,63.01,51.55,73.18,patient
White,TR1,120,42.0,35.0,27.05,43.88,patient
White,TR2,100,44.0,44.0,34.67,53.77,patient
White,TR3,272,108.0,39.71,34.07,45.63,patient
White,TR4,215,116.0,53.95,47.28,60.49,patient
White,TR5,675,464.0,68.74,65.15,72.12,patient
Asian,TR2,1,0.0,0.0,0.0,79.35,nodule_strict
Asian,TR3,61,13.0,21.31,12.9,33.12,nodule_strict
Asian,TR4,56,17.0,30.36,19.9,43.34,nodule_strict
Asian,TR5,87,47.0,54.02,43.6,64.1,nodule_strict
Black,TR2,20,0.0,0.0,0.0,16.11,nodule_strict
Black,TR3,893,48.0,5.38,4.08,7.05,nodule_strict
Black,TR4,354,33.0,9.32,6.71,12.8,nodule_strict
Black,TR5,434,63.0,14.52,11.51,18.14,nodule_strict
Other,TR3,25,6.0,24.0,11.5,43.43,nodule_strict
Other,TR4,18,7.0,38.89,20.3,61.38,nodule_strict
Other,TR5,44,11.0,25.0,14.57,39.44,nodule_strict
Unknown,TR2,2,0.0,0.0,0.0,65.76,nodule_strict
Unknown,TR3,56,6.0,10.71,5.0,21.47,nodule_strict
Unknown,TR4,37,9.0,24.32,13.36,40.12,nodule_strict
Unknown,TR5,67,16.0,23.88,15.27,35.33,nodule_strict
White,TR2,8,4.0,50.0,21.52,78.48,nodule_strict
White,TR3,520,69.0,13.27,10.62,16.46,nodule_strict
White,TR4,395,95.0,24.05,20.1,28.5,nodule_strict
White,TR5,609,187.0,30.71,27.17,34.48,nodule_strict
