grain,race_strat,threshold,tp,fp,fn,tn,sens_pct,spec_pct,ppv_pct,npv_pct,sens_lo_95,sens_hi_95,spec_lo_95,spec_hi_95,ppv_lo_95,ppv_hi_95,npv_lo_95,npv_hi_95
nodule,Asian,TR>=TR3,77.0,127.0,0.0,1.0,100.0,0.78,37.75,100.0,95.25,100.0,0.14,4.29,31.38,44.57,20.65,100.0
nodule,Asian,TR>=TR4,64.0,79.0,13.0,49.0,83.12,38.28,44.76,79.03,73.23,89.86,30.32,46.93,36.85,52.94,67.36,87.32
nodule,Asian,TR>=TR5,47.0,40.0,30.0,88.0,61.04,68.75,54.02,74.58,49.87,71.16,60.27,76.13,43.6,64.1,66.03,81.57
nodule,Black,TR>=TR3,144.0,1537.0,0.0,20.0,100.0,1.28,8.57,100.0,97.4,100.0,0.83,1.98,7.32,10.0,83.89,100.0
nodule,Black,TR>=TR4,96.0,692.0,48.0,865.0,66.67,55.56,12.18,94.74,58.62,73.84,53.08,58.01,10.08,14.65,93.1,96.01
nodule,Black,TR>=TR5,63.0,371.0,81.0,1186.0,43.75,76.17,14.52,93.61,35.91,51.91,73.99,78.22,11.51,18.14,92.12,94.83
nodule,Other,TR>=TR3,24.0,63.0,0.0,0.0,100.0,0.0,27.59,,86.2,100.0,0.0,5.75,19.29,37.77,,
nodule,Other,TR>=TR4,18.0,44.0,6.0,19.0,75.0,30.16,29.03,76.0,55.1,88.0,20.24,42.36,19.22,41.29,56.57,88.5
nodule,Other,TR>=TR5,11.0,33.0,13.0,30.0,45.83,47.62,25.0,69.77,27.89,64.93,35.78,59.73,14.57,39.44,54.89,81.4
nodule,Unknown,TR>=TR3,31.0,129.0,0.0,2.0,100.0,1.53,19.38,100.0,88.97,100.0,0.42,5.4,14.0,26.19,34.24,100.0
nodule,Unknown,TR>=TR4,25.0,79.0,6.0,52.0,80.65,39.69,24.04,89.66,63.72,90.81,31.72,48.25,16.85,33.08,79.21,95.17
nodule,Unknown,TR>=TR5,16.0,51.0,15.0,80.0,51.61,61.07,23.88,84.21,34.84,68.03,52.52,68.99,15.27,35.33,75.57,90.19
nodule,White,TR>=TR3,351.0,1173.0,4.0,4.0,98.87,0.34,23.03,50.0,97.14,99.56,0.13,0.87,20.99,25.21,21.52,78.48
nodule,White,TR>=TR4,282.0,722.0,73.0,455.0,79.44,38.66,28.09,86.17,74.93,83.32,35.92,41.47,25.4,30.95,82.97,88.86
nodule,White,TR>=TR5,187.0,422.0,168.0,755.0,52.68,64.15,30.71,81.8,47.48,57.81,61.36,66.84,27.17,34.48,79.18,84.15
patient,Asian,TR>=TR3,112.0,54.0,16.0,22.0,87.5,28.95,67.47,57.89,80.66,92.16,19.96,39.96,60.02,74.13,42.19,72.15
patient,Asian,TR>=TR4,102.0,34.0,26.0,42.0,79.69,55.26,75.0,61.76,71.9,85.74,44.1,65.92,67.1,81.52,49.88,72.39
patient,Asian,TR>=TR5,76.0,27.0,52.0,49.0,59.38,64.47,73.79,48.51,50.71,67.49,53.26,74.3,64.55,81.31,39.0,58.14
patient,Black,TR>=TR3,370.0,823.0,71.0,271.0,83.9,24.77,31.01,79.24,80.18,87.04,22.3,27.41,28.45,33.7,74.63,83.2
patient,Black,TR>=TR4,270.0,434.0,171.0,660.0,61.22,60.33,38.35,79.42,56.6,65.66,57.4,63.19,34.83,42.0,76.54,82.03
patient,Black,TR>=TR5,199.0,298.0,242.0,796.0,45.12,72.76,40.04,76.69,40.54,49.79,70.05,75.32,35.82,44.41,74.02,79.16
patient,Other,TR>=TR3,51.0,28.0,4.0,4.0,92.73,12.5,64.56,50.0,82.74,97.14,4.97,28.07,53.56,74.2,21.52,78.48
patient,Other,TR>=TR4,46.0,19.0,9.0,13.0,83.64,40.63,70.77,59.09,71.74,91.14,25.52,57.74,58.8,80.42,38.73,76.74
patient,Other,TR>=TR5,36.0,15.0,19.0,17.0,65.45,53.13,70.59,47.22,52.25,76.64,36.45,69.13,57.0,81.29,31.99,62.99
patient,Unknown,TR>=TR3,66.0,70.0,15.0,16.0,81.48,18.6,48.53,51.61,71.67,88.44,11.79,28.11,40.29,56.85,34.84,68.03
patient,Unknown,TR>=TR4,56.0,40.0,25.0,46.0,69.14,53.49,58.33,64.79,58.4,78.14,43.02,63.65,48.34,67.69,53.18,74.88
patient,Unknown,TR>=TR5,46.0,27.0,35.0,59.0,56.79,68.6,63.01,62.77,45.94,67.03,58.18,77.44,51.55,73.18,52.67,71.86
patient,White,TR>=TR3,688.0,474.0,86.0,134.0,88.89,22.04,59.21,60.91,86.48,90.91,18.93,25.5,56.36,62.0,54.33,67.12
patient,White,TR>=TR4,580.0,310.0,194.0,298.0,74.94,49.01,65.17,60.57,71.76,77.86,45.06,52.98,61.98,68.23,56.18,64.79
patient,White,TR>=TR5,464.0,211.0,310.0,397.0,59.95,65.3,68.74,56.15,56.46,63.34,61.43,68.97,65.15,72.12,52.47,59.77
