bethesda_bucket,interaction_term,coef,or,ci_lo,ci_hi,p,p_bonf,n,n_events
III_AUS,"C(race_strat, Treatment('White'))[T.Asian]:max_tr_int",-0.6377280958943223,0.5284917437199115,0.2348019557760777,1.1895280951001723,0.12339652146509288,1.0,389,188
III_AUS,"C(race_strat, Treatment('White'))[T.Black]:max_tr_int",-0.27438086663174116,0.7600425452840261,0.5429542737541501,1.0639287663170467,0.10985094405983266,1.0,389,188
II_benign,"C(race_strat, Treatment('White'))[T.Asian]:max_tr_int",0.1549304172516517,1.1675767150817542,0.6329946549236951,2.1536285891157045,0.6199000880737671,1.0,845,139
II_benign,"C(race_strat, Treatment('White'))[T.Black]:max_tr_int",-0.05478468183543027,0.9466889653403391,0.703741647500037,1.2735071176771795,0.7172977496716815,1.0,845,139
IV_FN,"C(race_strat, Treatment('White'))[T.Asian]:max_tr_int",-0.4043075769162075,0.6674388009265025,0.24447891986922,1.8221389116922915,0.43009984210196506,1.0,260,132
IV_FN,"C(race_strat, Treatment('White'))[T.Black]:max_tr_int",-0.016409562469527454,0.9837243409679419,0.6745723541553867,1.434558610431729,0.9320623063362713,1.0,260,132
I_nondiagnostic,"C(race_strat, Treatment('White'))[T.Asian]:max_tr_int",-2.915677634445797,0.0541673129565662,0.0,inf,0.999998186414685,1.0,84,23
I_nondiagnostic,"C(race_strat, Treatment('White'))[T.Black]:max_tr_int",-0.15973545870955422,0.8523692460038228,0.41108677961155016,1.7673478388666537,0.6676814294373405,1.0,84,23
VI_malig,"C(race_strat, Treatment('White'))[T.Asian]:max_tr_int",0.17833026847961167,1.1952199995483623,0.6357486729847908,2.247037088749948,0.5798059342600749,1.0,522,432
VI_malig,"C(race_strat, Treatment('White'))[T.Black]:max_tr_int",0.044098275172120456,1.0450850557556233,0.6979248556410013,1.5649288959061545,0.8304886905568084,1.0,522,432
V_susp_malig,"C(race_strat, Treatment('White'))[T.Asian]:max_tr_int",-14.130394085781138,7.298738793227376e-07,0.0,inf,0.9939285131798015,1.0,119,106
V_susp_malig,"C(race_strat, Treatment('White'))[T.Black]:max_tr_int",0.4378505164480414,1.549373284286171,0.5037432882690643,4.765438329329176,0.4449799913923743,1.0,119,106
missing,"C(race_strat, Treatment('White'))[T.Asian]:max_tr_int",0.11688243642970426,1.123987281964975,0.7683199534145967,1.64429858212636,0.5470593178048107,1.0,902,323
missing,"C(race_strat, Treatment('White'))[T.Black]:max_tr_int",-0.11760978510986872,0.8890429027157843,0.7027532821219246,1.124715178110228,0.3269305422021086,1.0,902,323
