race_strat,bethesda_bucket,tr_category,n,n_malignant,rom_pct
Asian,III_AUS,TR2,3,1.0,33.33
Asian,III_AUS,TR3,6,1.0,16.67
Asian,III_AUS,TR4,5,5.0,100.0
Asian,III_AUS,TR5,11,1.0,9.09
Asian,II_benign,TR1,3,1.0,33.33
Asian,II_benign,TR2,4,1.0,25.0
Asian,II_benign,TR3,5,1.0,20.0
Asian,II_benign,TR4,4,3.0,75.0
Asian,II_benign,TR5,11,5.0,45.45
Asian,IV_FN,TR1,2,1.0,50.0
Asian,IV_FN,TR3,1,0.0,0.0
Asian,IV_FN,TR4,1,0.0,0.0
Asian,IV_FN,TR5,3,1.0,33.33
Asian,I_nondiagnostic,TR4,1,0.0,0.0
Asian,VI_malig,TR1,3,1.0,33.33
Asian,VI_malig,TR2,2,2.0,100.0
Asian,VI_malig,TR3,6,4.0,66.67
Asian,VI_malig,TR4,10,8.0,80.0
Asian,VI_malig,TR5,40,38.0,95.0
Asian,V_susp_malig,TR2,1,1.0,100.0
Asian,V_susp_malig,TR4,3,3.0,100.0
Asian,V_susp_malig,TR5,7,6.0,85.71
Asian,missing,TR1,10,5.0,50.0
Asian,missing,TR2,10,3.0,30.0
Asian,missing,TR3,12,4.0,33.33
Asian,missing,TR4,9,7.0,77.78
Asian,missing,TR5,31,25.0,80.65
Black,III_AUS,TR1,16,7.0,43.75
Black,III_AUS,TR2,9,3.0,33.33
Black,III_AUS,TR3,41,15.0,36.59
Black,III_AUS,TR4,30,14.0,46.67
Black,III_AUS,TR5,66,31.0,46.97
Black,II_benign,TR1,65,9.0,13.85
Black,II_benign,TR2,60,7.0,11.67
Black,II_benign,TR3,205,20.0,9.76
Black,II_benign,TR4,78,11.0,14.1
Black,II_benign,TR5,158,23.0,14.56
Black,IV_FN,TR1,16,6.0,37.5
Black,IV_FN,TR2,9,3.0,33.33
Black,IV_FN,TR3,32,18.0,56.25
Black,IV_FN,TR4,13,8.0,61.54
Black,IV_FN,TR5,42,23.0,54.76
Black,I_nondiagnostic,TR1,7,2.0,28.57
Black,I_nondiagnostic,TR2,4,1.0,25.0
Black,I_nondiagnostic,TR3,7,1.0,14.29
Black,I_nondiagnostic,TR4,4,1.0,25.0
Black,I_nondiagnostic,TR5,9,2.0,22.22
Black,VI_malig,TR1,7,3.0,42.86
Black,VI_malig,TR2,8,7.0,87.5
Black,VI_malig,TR3,38,17.0,44.74
Black,VI_malig,TR4,26,21.0,80.77
Black,VI_malig,TR5,77,68.0,88.31
Black,V_susp_malig,TR1,2,2.0,100.0
Black,V_susp_malig,TR2,3,2.0,66.67
Black,V_susp_malig,TR3,8,6.0,75.0
Black,V_susp_malig,TR4,6,5.0,83.33
Black,V_susp_malig,TR5,18,16.0,88.89
Black,missing,TR1,71,8.0,11.27
Black,missing,TR2,65,11.0,16.92
Black,missing,TR3,158,23.0,14.56
Black,missing,TR4,50,11.0,22.0
Black,missing,TR5,127,36.0,28.35
Other,III_AUS,TR3,1,0.0,0.0
Other,III_AUS,TR5,5,2.0,40.0
Other,II_benign,TR1,2,1.0,50.0
Other,II_benign,TR3,2,0.0,0.0
Other,II_benign,TR4,3,0.0,0.0
Other,II_benign,TR5,7,3.0,42.86
Other,IV_FN,TR5,4,4.0,100.0
Other,I_nondiagnostic,TR3,1,1.0,100.0
Other,VI_malig,TR1,2,2.0,100.0
Other,VI_malig,TR3,2,2.0,100.0
Other,VI_malig,TR4,5,5.0,100.0
Other,VI_malig,TR5,16,16.0,100.0
Other,V_susp_malig,TR2,1,1.0,100.0
Other,V_susp_malig,TR3,1,1.0,100.0
Other,V_susp_malig,TR4,1,1.0,100.0
Other,V_susp_malig,TR5,3,3.0,100.0
Other,missing,TR1,1,0.0,0.0
Other,missing,TR2,2,0.0,0.0
Other,missing,TR3,7,1.0,14.29
Other,missing,TR4,5,4.0,80.0
Other,missing,TR5,16,8.0,50.0
Unknown,III_AUS,TR1,1,1.0,100.0
Unknown,III_AUS,TR2,1,1.0,100.0
Unknown,III_AUS,TR3,2,0.0,0.0
Unknown,III_AUS,TR4,3,2.0,66.67
Unknown,III_AUS,TR5,1,1.0,100.0
Unknown,II_benign,TR1,2,0.0,0.0
Unknown,II_benign,TR2,1,0.0,0.0
Unknown,II_benign,TR3,21,1.0,4.76
Unknown,II_benign,TR4,3,0.0,0.0
Unknown,II_benign,TR5,11,1.0,9.09
Unknown,IV_FN,TR1,1,1.0,100.0
Unknown,IV_FN,TR2,1,0.0,0.0
Unknown,IV_FN,TR3,3,3.0,100.0
Unknown,IV_FN,TR4,3,1.0,33.33
Unknown,IV_FN,TR5,3,1.0,33.33
Unknown,I_nondiagnostic,TR1,1,1.0,100.0
Unknown,I_nondiagnostic,TR4,2,1.0,50.0
Unknown,VI_malig,TR2,3,3.0,100.0
Unknown,VI_malig,TR3,5,1.0,20.0
Unknown,VI_malig,TR4,2,1.0,50.0
Unknown,VI_malig,TR5,31,30.0,96.77
Unknown,V_susp_malig,TR2,2,2.0,100.0
Unknown,V_susp_malig,TR5,2,2.0,100.0
Unknown,missing,TR1,8,3.0,37.5
Unknown,missing,TR2,10,3.0,30.0
Unknown,missing,TR3,9,5.0,55.56
Unknown,missing,TR4,10,5.0,50.0
Unknown,missing,TR5,25,11.0,44.0
White,III_AUS,TR1,15,5.0,33.33
White,III_AUS,TR2,12,4.0,33.33
White,III_AUS,TR3,45,20.0,44.44
White,III_AUS,TR4,42,24.0,57.14
White,III_AUS,TR5,88,57.0,64.77
White,II_benign,TR1,23,5.0,21.74
White,II_benign,TR2,31,6.0,19.35
White,II_benign,TR3,56,11.0,19.64
White,II_benign,TR4,40,8.0,20.0
White,II_benign,TR5,102,28.0,27.45
White,IV_FN,TR1,10,3.0,30.0
White,IV_FN,TR2,8,6.0,75.0
White,IV_FN,TR3,32,10.0,31.25
White,IV_FN,TR4,24,17.0,70.83
White,IV_FN,TR5,67,36.0,53.73
White,I_nondiagnostic,TR1,5,1.0,20.0
White,I_nondiagnostic,TR2,1,1.0,100.0
White,I_nondiagnostic,TR3,12,3.0,25.0
White,I_nondiagnostic,TR4,10,3.0,30.0
White,I_nondiagnostic,TR5,24,8.0,33.33
White,VI_malig,TR1,14,8.0,57.14
White,VI_malig,TR2,13,8.0,61.54
White,VI_malig,TR3,31,23.0,74.19
White,VI_malig,TR4,39,32.0,82.05
White,VI_malig,TR5,208,192.0,92.31
White,V_susp_malig,TR1,3,3.0,100.0
White,V_susp_malig,TR2,2,2.0,100.0
White,V_susp_malig,TR3,12,11.0,91.67
White,V_susp_malig,TR4,9,8.0,88.89
White,V_susp_malig,TR5,45,41.0,91.11
White,missing,TR1,50,17.0,34.0
White,missing,TR2,33,17.0,51.52
White,missing,TR3,84,30.0,35.71
White,missing,TR4,51,24.0,47.06
White,missing,TR5,141,102.0,72.34
