variable,versus_reference,race_strat,smd,flag_gt_010
max_tr_int,White,Black,-0.3383,True
max_tr_int,White,Asian,0.0081,False
age_at_surgery,White,Black,0.0324,False
age_at_surgery,White,Asian,-0.3714,True
surg_year,White,Black,0.0329,False
surg_year,White,Asian,0.1085,True
n_nodules_total,White,Black,0.21,True
n_nodules_total,White,Asian,-0.0401,False
n_fnas_total,White,Black,0.0755,False
n_fnas_total,White,Asian,-0.1561,True
days_us_to_surg_approx,White,Black,0.3883,True
days_us_to_surg_approx,White,Asian,0.0332,False
had_any_genetics,White,Black,-0.2461,True
had_any_genetics,White,Asian,-0.0338,False
had_any_nm,White,Black,-0.0774,False
had_any_nm,White,Asian,-0.062,False
had_any_fna,White,Black,-0.0982,False
had_any_fna,White,Asian,-0.2075,True
had_repeat_fna,White,Black,0.1181,True
had_repeat_fna,White,Asian,-0.0536,False
has_clt,White,Black,0.0,False
has_clt,White,Asian,0.0,False
has_mng,White,Black,0.0,False
has_mng,White,Asian,0.0,False
has_graves,White,Black,0.0,False
has_graves,White,Asian,0.0,False
has_niftp,White,Black,-0.0769,False
has_niftp,White,Asian,0.0439,False
has_ftump,White,Black,-0.1176,True
has_ftump,White,Asian,-0.0172,False
bethesda_III_AUS,White,Black,-0.1227,True
bethesda_III_AUS,White,Asian,-0.0693,False
bethesda_II_benign,White,Black,0.4266,True
bethesda_II_benign,White,Asian,-0.1376,True
bethesda_IV_FN,White,Black,-0.103,True
bethesda_IV_FN,White,Asian,-0.2711,True
bethesda_I_nondiagnostic,White,Black,-0.1042,True
bethesda_I_nondiagnostic,White,Asian,-0.2283,True
bethesda_VI_malig,White,Black,-0.3282,True
bethesda_VI_malig,White,Asian,0.1793,True
bethesda_V_susp_malig,White,Black,-0.1435,True
bethesda_V_susp_malig,White,Asian,0.0114,False
bethesda_missing,White,Black,0.1046,True
bethesda_missing,White,Asian,0.2032,True
