race_strat,fna_path_concordance_category,n,n_malignant,rom_pct
Asian,false_negative,9,9.0,100.0
Asian,indeterminate_malignant,10,10.0,100.0
Asian,true_positive,55,55.0,100.0
Asian,unclassifiable,60,12.0,20.0
Black,false_negative,69,69.0,100.0
Black,indeterminate_malignant,126,126.0,100.0
Black,true_positive,128,128.0,100.0
Black,unclassifiable,763,37.0,4.85
Other,false_negative,5,5.0,100.0
Other,indeterminate_malignant,5,5.0,100.0
Other,true_positive,25,25.0,100.0
Other,unclassifiable,21,7.0,33.33
Unknown,false_negative,4,4.0,100.0
Unknown,indeterminate_malignant,11,11.0,100.0
Unknown,true_positive,35,35.0,100.0
Unknown,unclassifiable,55,4.0,7.27
White,false_negative,62,61.0,98.39
White,indeterminate_malignant,178,178.0,100.0
White,true_positive,277,277.0,100.0
White,unclassifiable,521,81.0,15.55
