param,coef,or,ci_lo,ci_hi,p
Intercept,-0.6205563413980045,0.5376452400699161,0.31035956674847265,0.9313790684728754,0.026860442737944114
"C(race_strat, Treatment('White'))[T.Asian]",0.18453015135882514,1.2026532423676624,0.828084984129525,1.7466502220153965,0.33245018023131345
"C(race_strat, Treatment('White'))[T.Black]",-0.839469231193422,0.431939722728926,0.3580835591568574,0.5210290148769835,1.7216994487592451e-18
C(nodule_burden_cat)[T.5+],0.14941169205662377,1.1611509274340157,0.9387654387139551,1.436217632945579,0.16838210988985924
C(nodule_burden_cat)[T.solitary],-0.25928132608289906,0.7716059196357968,0.5605241232695727,1.0621767565401818,0.11182394291883405
C(bethesda_bucket)[T.II_benign],-1.1854860594242722,0.30559760479772313,0.21950995173583185,0.425447207835456,2.181036896663555e-12
C(bethesda_bucket)[T.IV_FN],0.14840537066982273,1.1599830241640137,0.8222830567811196,1.6363715696830423,0.3979080441012064
C(bethesda_bucket)[T.I_nondiagnostic],-0.866848583494868,0.4202739226550587,0.2310652900946491,0.7644167152561897,0.0045093236546359106
C(bethesda_bucket)[T.VI_malig],1.3658696243997952,3.9191297413569806,2.753427702494717,5.578348004442765,3.37054525121517e-14
C(bethesda_bucket)[T.V_susp_malig],1.964109097490798,7.128558909304286,3.6523715070556357,13.913248426468858,8.585680737864152e-09
C(bethesda_bucket)[T.missing],-0.4158905024637062,0.6597525078035807,0.46432205809638205,0.937438495465063,0.020318402214059162
C(sex)[T.male],0.3741900397169915,1.45381340649454,1.161488584984784,1.819710885002755,0.0010869704893380788
C(surg_procedure_type)[T.isthmusectomy],0.012855278044061468,1.0129382623450112,0.11612463386971297,8.835712881331535,0.9907186296080575
C(surg_procedure_type)[T.other],-0.7129735025429911,0.49018446352639744,0.13554847178800739,1.7726559740079701,0.2769970862706128
C(surg_procedure_type)[T.total_thyroidectomy],0.8006362231645072,2.226957319707407,1.841808725565469,2.692646003333375,1.409785702393027e-16
C(surg_procedure_type)[T.unknown],-0.026338841873437137,0.9740050000088782,0.049118365435882994,19.31427749322539,0.9862119985922472
max_tr_int,0.26731523093455273,1.3064522155789076,1.2148136045600684,1.405003520856306,5.835132818305118e-13
had_any_genetics,0.45005865362730324,1.5684041753863358,1.2178387471129104,2.019882897633923,0.0004888006288629115
had_any_nm,1.0013348291469073,2.7219126930259936,2.187483962171058,3.386908812397803,2.740915599593815e-19
had_repeat_fna,-0.1329223774914499,0.8755330505428867,0.6279257082059153,1.2207783700767925,0.4331940225033777
n_fnas_total,0.011755004202417632,1.0118243657797532,0.8664182715623393,1.1816331450853268,0.8819445042119194
days_us_to_surg_approx,-0.07286235496191605,0.92972879377403,0.8929305477577283,0.9680435193343192,0.0004058790998048172
age_at_surgery,-0.01627742407531387,0.9838543373112711,0.9777964902184021,0.9899497152316362,2.398972997059084e-07
surg_year,-0.022625040900322736,0.9776289859417087,0.945010588248359,1.0113732544785305,0.1912889004522862
