bethesda_bucket,race_level,or,ci_lo,ci_hi,p,n,n_events
III_AUS,Black,0.6483777668240139,0.4258304463849491,0.9872326699055733,0.0433973177907545,389,188
III_AUS,Asian,0.3810041700013598,0.1563142118758017,0.9286690942328659,0.03377387535859442,389,188
II_benign,Black,0.48609574304100167,0.3297635080858826,0.7165409925862539,0.0002688677953043277,845,139
II_benign,Asian,2.3231442389883825,1.0191554686855464,5.29556021723131,0.04495245165865564,845,139
IV_FN,Black,1.1080336800043245,0.6679778748836614,1.8379929668145896,0.6911486566303623,260,132
IV_FN,Asian,0.40992757138408215,0.07588844280655557,2.2143110013365,0.3000891405345495,260,132
I_nondiagnostic,Black,0.6669906135672878,0.23045497607371013,1.9304268719481894,0.45512452742753007,84,23
I_nondiagnostic,Asian,7.025904920001555e-06,0.0,inf,0.9832559503042946,84,23
VI_malig,Black,0.53502994435037,0.3200847035037859,0.8943165300249165,0.01702836286899524,522,432
VI_malig,Asian,1.067892923569038,0.4536381754683018,2.513887406040219,0.8804663607837917,522,432
V_susp_malig,Black,0.47496224667004827,0.13997324578676312,1.6116589602096167,0.23234282638058523,119,106
V_susp_malig,Asian,0.9249656909639228,0.10036674495707405,8.524352661095891,0.9451220012649166,119,106
missing,Black,0.2176847165623385,0.15835062975988626,0.2992513253447745,5.975788545907023e-21,902,323
missing,Asian,1.4279730105766317,0.835038793289517,2.4419307645606696,0.19311855514268794,902,323
